<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRUZ.US,D,20230209,000000,25.34,25.34,24.82,24.89,35976,0
KRUZ.US,D,20230210,000000,24.87,24.97,24.7785,24.96,27121,0
KRUZ.US,D,20230213,000000,25.05,25.235,25,25.2034,18686,0
KRUZ.US,D,20230214,000000,25.2,25.4083,25.03,25.2707,18480,0
KRUZ.US,D,20230215,000000,25.16,25.3188,25.05,25.3,18801,0
KRUZ.US,D,20230216,000000,25.11,25.27,25,25,14759,0
KRUZ.US,D,20230217,000000,24.97,24.97,24.77,24.897,20935,0
KRUZ.US,D,20230221,000000,24.78,24.78,24.44,24.4613,16679,0
KRUZ.US,D,20230222,000000,24.49,24.57,24.4077,24.4077,7284,0
KRUZ.US,D,20230223,000000,24.63,24.63,24.39,24.5557,2587,0
KRUZ.US,D,20230224,000000,24.34,24.4066,24.2425,24.4066,7128,0
KRUZ.US,D,20230227,000000,24.66,24.66,24.4481,24.4625,4709,0
KRUZ.US,D,20230228,000000,24.88,24.88,24.4745,24.4745,3045,0
KRUZ.US,D,20230301,000000,24.5,24.5155,24.4,24.4553,3849,0
KRUZ.US,D,20230302,000000,24.36,24.6389,24.3165,24.6389,2561,0
KRUZ.US,D,20230303,000000,24.8,24.97,24.69,24.9317,3351,0
KRUZ.US,D,20230306,000000,25.02,25.04,24.8427,24.8427,4334,0
KRUZ.US,D,20230307,000000,24.9,24.9,24.515,24.515,1824,0
KRUZ.US,D,20230308,000000,24.59,24.59,24.46,24.4861,3377,0
KRUZ.US,D,20230309,000000,24.87,24.87,24.0447,24.0447,4058,0
KRUZ.US,D,20230310,000000,24.08,24.08,23.6159,23.6159,6192,0
KRUZ.US,D,20230313,000000,23,23.6188,23,23.39,4893,0
KRUZ.US,D,20230314,000000,23.67,23.74,23.475,23.6464,2552,0
KRUZ.US,D,20230315,000000,23.1701,23.18,22.9346,23.0401,4038,0
KRUZ.US,D,20230316,000000,23.185,23.4748,23.185,23.4748,1471,0
KRUZ.US,D,20230317,000000,23.33,23.3435,23.1,23.1361,1407,0
KRUZ.US,D,20230320,000000,23,23.43,23,23.3747,1933,0
KRUZ.US,D,20230321,000000,23.7,23.717,23.62,23.717,1438,0
KRUZ.US,D,20230322,000000,24.45,24.45,23.2815,23.2815,1238,0
KRUZ.US,D,20230323,000000,23.242,23.242,23.242,23.242,687,0
KRUZ.US,D,20230324,000000,23.03,23.2882,23.03,23.2882,1200,0
KRUZ.US,D,20230327,000000,23.57,23.57,23.505,23.505,1155,0
KRUZ.US,D,20230328,000000,24.33,24.33,23.5542,23.5542,1031,0
KRUZ.US,D,20230329,000000,23.84,23.84,23.49,23.82,2229,0
KRUZ.US,D,20230330,000000,24.06,24.09,23.935,24.0188,1779,0
KRUZ.US,D,20230331,000000,24.1401,24.3317,24.1401,24.3317,3731,0
KRUZ.US,D,20230403,000000,24.76,24.76,24.385,24.4963,1480,0
KRUZ.US,D,20230404,000000,24.5,24.6,24.207,24.2197,1815,0
KRUZ.US,D,20230405,000000,24.25,24.25,24.0701,24.164,755,0
KRUZ.US,D,20230406,000000,24.1702,24.1702,24.1702,24.1702,969,0
KRUZ.US,D,20230410,000000,24.16,24.2879,24.16,24.2879,1737,0
KRUZ.US,D,20230411,000000,24.484,24.515,24.4276,24.4276,2457,0
KRUZ.US,D,20230412,000000,24.58,24.58,24.3052,24.3052,1947,0
KRUZ.US,D,20230413,000000,24.48,24.605,24.44,24.5695,1504,0
KRUZ.US,D,20230414,000000,24.55,24.55,24.36,24.4856,1350,0
KRUZ.US,D,20230417,000000,24.57,24.5958,24.4401,24.5958,1965,0
KRUZ.US,D,20230418,000000,24.5401,24.64,24.5401,24.6232,1487,0
KRUZ.US,D,20230419,000000,24.55,24.55,24.4401,24.5102,1056,0
KRUZ.US,D,20230420,000000,24.43,24.43,24.3201,24.3859,971,0
KRUZ.US,D,20230421,000000,24.37,24.3822,24.2503,24.3822,716,0
KRUZ.US,D,20230424,000000,24.45,24.45,24.324,24.4105,1268,0
KRUZ.US,D,20230425,000000,24.01,24.08,24.0073,24.0073,1662,0
KRUZ.US,D,20230426,000000,23.9399,23.94,23.79,23.79,1095,0
KRUZ.US,D,20230427,000000,23.905,24.1716,23.905,24.1716,3576,0
KRUZ.US,D,20230428,000000,24.22,24.42,24.22,24.4083,1567,0
KRUZ.US,D,20230501,000000,24.4997,24.4997,24.3682,24.3682,842,0
KRUZ.US,D,20230502,000000,24.38,24.38,23.75,23.9904,1854,0
KRUZ.US,D,20230503,000000,24.06,24.06,23.8154,23.8154,801,0
KRUZ.US,D,20230504,000000,23.7,23.7,23.6,23.6016,1266,0
KRUZ.US,D,20230505,000000,23.9,24.01,23.9,23.9702,925,0
KRUZ.US,D,20230508,000000,24.08,24.08,23.91,23.9152,1214,0
KRUZ.US,D,20230509,000000,23.87,23.87,23.8,23.8269,910,0
KRUZ.US,D,20230510,000000,23.8325,23.8325,23.8325,23.8325,388,0
KRUZ.US,D,20230511,000000,23.7348,23.7348,23.7348,23.7348,294,0
KRUZ.US,D,20230512,000000,23.77,23.77,23.7498,23.7498,848,0
KRUZ.US,D,20230515,000000,23.99,24.0055,23.92,24.0055,1810,0
KRUZ.US,D,20230516,000000,23.77,23.77,23.7271,23.7271,1154,0
KRUZ.US,D,20230517,000000,23.88,24.13,23.88,24.0455,811,0
KRUZ.US,D,20230518,000000,24.1237,24.3085,24.1237,24.3085,574,0
KRUZ.US,D,20230519,000000,24.33,24.3301,24.23,24.23,1198,0
KRUZ.US,D,20230522,000000,24.28,24.3085,24.2772,24.2772,1165,0
KRUZ.US,D,20230523,000000,24.27,24.3057,24.1028,24.113,2280,0
KRUZ.US,D,20230524,000000,23.8601,23.92,23.8601,23.8694,1052,0
KRUZ.US,D,20230525,000000,23.91,23.91,23.77,23.8053,1109,0
KRUZ.US,D,20230526,000000,24.01,24.053,23.98,24.053,1222,0
KRUZ.US,D,20230530,000000,24.07,24.07,23.96,23.98,3870,0
KRUZ.US,D,20230531,000000,23.85,23.85,23.7301,23.8431,542,0
KRUZ.US,D,20230601,000000,23.94,24.1198,23.81,24.0252,2186,0
