<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHYT-WS.US,D,20211220,000000,0.55,0.55,0.499376,0.499899,15360,0
PHYT-WS.US,D,20211221,000000,0.5,0.6,0.485,0.6,102000,0
PHYT-WS.US,D,20211223,000000,0.56,0.59,0.56,0.59,101500,0
PHYT-WS.US,D,20211227,000000,0.58,0.6,0.57,0.6,280772,0
PHYT-WS.US,D,20211229,000000,0.5899,0.59,0.5052,0.5052,755,0
PHYT-WS.US,D,20211231,000000,0.5658,0.5658,0.5658,0.5658,250,0
PHYT-WS.US,D,20220104,000000,0.6,0.6,0.6,0.6,3701,0
PHYT-WS.US,D,20220105,000000,0.7,0.7,0.5838,0.5838,4660,0
PHYT-WS.US,D,20220107,000000,0.5141,0.5141,0.5,0.5,79880,0
PHYT-WS.US,D,20220111,000000,0.5,0.51,0.5,0.5,5991,0
PHYT-WS.US,D,20220112,000000,0.53,0.53,0.5,0.5,130451,0
PHYT-WS.US,D,20220113,000000,0.5,0.5001,0.4998,0.5,124700,0
PHYT-WS.US,D,20220114,000000,0.5001,0.5001,0.5,0.5,22000,0
PHYT-WS.US,D,20220118,000000,0.5,0.5,0.5,0.5,17299,0
PHYT-WS.US,D,20220119,000000,0.5,0.5,0.5,0.5,1001,0
PHYT-WS.US,D,20220120,000000,0.5,0.5,0.5,0.5,4792,0
PHYT-WS.US,D,20220124,000000,0.5,0.5,0.5,0.5,560,0
PHYT-WS.US,D,20220125,000000,0.5,0.5,0.5,0.5,13032,0
PHYT-WS.US,D,20220126,000000,0.51,0.51,0.5,0.5,400,0
PHYT-WS.US,D,20220127,000000,0.5,0.5,0.48,0.48,94160,0
PHYT-WS.US,D,20220128,000000,0.4892,0.4892,0.479951,0.479951,20251,0
PHYT-WS.US,D,20220131,000000,0.48,0.48,0.48,0.48,2100,0
PHYT-WS.US,D,20220201,000000,0.54,0.54,0.46505,0.4799,48260,0
PHYT-WS.US,D,20220202,000000,0.4705,0.4799,0.4705,0.4799,300,0
