<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PULT.US,D,20230123,000000,50.04,50.045,50.04,50.045,615,0
PULT.US,D,20230124,000000,50.05,50.065,50.05,50.065,408,0
PULT.US,D,20230125,000000,50.08,50.085,50.08,50.085,716,0
PULT.US,D,20230126,000000,50.1046,50.11,50.1046,50.11,700,0
PULT.US,D,20230127,000000,50.11,50.11,50.1,50.1,408,0
PULT.US,D,20230131,000000,50.13,50.13,50.13,50.13,2700,0
PULT.US,D,20230202,000000,50.1799,50.185,50.1799,50.185,6200,0
PULT.US,D,20230203,000000,50.17,50.17,50.17,50.17,401,0
PULT.US,D,20230206,000000,50.09,50.09,50.08,50.08,200,0
PULT.US,D,20230207,000000,50.09,50.1,50.09,50.1,1500,0
PULT.US,D,20230208,000000,50.095,50.095,50.095,50.095,1,0
PULT.US,D,20230209,000000,50.115,50.115,50.115,50.115,1,0
PULT.US,D,20230210,000000,50.13,50.13,50.115,50.115,2601501,0
PULT.US,D,20230214,000000,50.13,50.15,50.13,50.15,33056,0
PULT.US,D,20230215,000000,50.145,50.16,50.145,50.155,1142,0
PULT.US,D,20230216,000000,50.16,50.16,50.125,50.16,1443,0
PULT.US,D,20230217,000000,50.17,50.17,50.16,50.16,15798,0
PULT.US,D,20230221,000000,50.18,50.19,50.16,50.16,5294,0
PULT.US,D,20230222,000000,50.15,50.17,50.15,50.17,143,0
PULT.US,D,20230223,000000,50.18,50.18,50.15,50.15,1110,0
PULT.US,D,20230224,000000,50.175,50.185,50.175,50.185,21339,0
PULT.US,D,20230227,000000,50.19,50.19,50.185,50.185,38984,0
PULT.US,D,20230228,000000,50.18,50.2,50.18,50.2,7403,0
PULT.US,D,20230301,000000,50.23,50.23,50.19,50.19,13169,0
PULT.US,D,20230302,000000,50.23,50.23,50.19,50.23,4709,0
PULT.US,D,20230303,000000,50.24,50.24,50.18,50.24,1000,0
PULT.US,D,20230306,000000,50.1,50.1,50.1,50.1,416768,0
PULT.US,D,20230307,000000,50.14,50.14,50.09,50.09,3859,0
PULT.US,D,20230308,000000,50.15,50.15,50.07,50.14,6013,0
PULT.US,D,20230309,000000,50.15,50.15,50.1,50.14,8406,0
PULT.US,D,20230310,000000,50.2,50.2,50.15,50.175,14080,0
PULT.US,D,20230313,000000,50.2493,50.2493,50.17,50.2,9010,0
PULT.US,D,20230314,000000,50.26,50.26,50.21,50.21,3379,0
PULT.US,D,20230315,000000,50.22,50.22,50.2,50.2,1872,0
PULT.US,D,20230316,000000,50.2,50.22,50.135,50.135,6721,0
PULT.US,D,20230317,000000,50.04,50.09,50.04,50.09,2786,0
PULT.US,D,20230320,000000,50.13,50.13,50.105,50.105,4615,0
PULT.US,D,20230321,000000,50.08,50.08,50.06,50.07,2936,0
PULT.US,D,20230322,000000,50,50.07,50,50.0416,12416,0
PULT.US,D,20230323,000000,50.1,50.11,50.05,50.08,2007,0
PULT.US,D,20230324,000000,50.07,50.095,50.07,50.095,1697,0
PULT.US,D,20230327,000000,50.06,50.085,50.06,50.085,489,0
PULT.US,D,20230328,000000,50.08,50.08,50.05,50.065,4255,0
PULT.US,D,20230329,000000,50.055,50.055,50.055,50.055,2,0
PULT.US,D,20230330,000000,50.09,50.1,50.075,50.075,2600,0
PULT.US,D,20230331,000000,50.1,50.12,50.09,50.11,119314,0
PULT.US,D,20230403,000000,50.09,50.095,50.09,50.095,487,0
PULT.US,D,20230404,000000,50.14,50.16,50.14,50.15,5556,0
PULT.US,D,20230405,000000,50.18,50.19,50.15,50.19,2017,0
PULT.US,D,20230406,000000,50.03,50.03,50.01,50.01,4235,0
PULT.US,D,20230410,000000,49.98,50,49.98,50,1683,0
PULT.US,D,20230411,000000,50.01,50.02,50.01,50.01,1824,0
PULT.US,D,20230412,000000,50.04,50.04,50.03,50.03,5885,0
PULT.US,D,20230413,000000,50.06,50.06,50.045,50.045,1826,0
PULT.US,D,20230414,000000,50.055,50.055,50.055,50.055,33,0
PULT.US,D,20230417,000000,50.08,50.08,50.05,50.07,4308,0
PULT.US,D,20230418,000000,50.07,50.075,50.07,50.075,101,0
PULT.US,D,20230419,000000,50.07,50.09,50.07,50.09,1572,0
PULT.US,D,20230420,000000,50.1,50.115,50.1,50.115,2527,0
PULT.US,D,20230421,000000,50.14,50.14,50.14,50.14,155,0
PULT.US,D,20230424,000000,50.15,50.15,50.13,50.13,6182,0
PULT.US,D,20230425,000000,50.17,50.17,50.15,50.155,4867,0
PULT.US,D,20230426,000000,50.19,50.21,50.19,50.205,5740,0
PULT.US,D,20230427,000000,50.21,50.21,50.2,50.2,1622,0
PULT.US,D,20230428,000000,50.2,50.2,50.2,50.2,131,0
PULT.US,D,20230501,000000,50.2,50.21,50.2,50.205,3030,0
PULT.US,D,20230502,000000,50.21,50.2396,50.21,50.22,2928,0
PULT.US,D,20230503,000000,50.22,50.235,50.22,50.235,1439,0
PULT.US,D,20230504,000000,50.05,50.055,50.05,50.055,977,0
PULT.US,D,20230505,000000,50.05,50.09,50.05,50.07,6062,0
PULT.US,D,20230508,000000,50.06,50.06,50.03,50.035,4329,0
PULT.US,D,20230509,000000,50.07,50.07,50,50.068,3568,0
PULT.US,D,20230510,000000,50.06,50.06,50.02,50.056,3463,0
PULT.US,D,20230511,000000,50.09,50.1,50.085,50.085,7165,0
PULT.US,D,20230512,000000,50.1,50.1,50.07,50.09,4589,0
PULT.US,D,20230515,000000,50.09,50.09,50.07,50.09,603,0
PULT.US,D,20230516,000000,50.11,50.12,50.09,50.105,2612,0
PULT.US,D,20230517,000000,50.109,50.13,50.095,50.13,5641,0
PULT.US,D,20230518,000000,50.13,50.14,50.1172,50.125,6452,0
PULT.US,D,20230519,000000,50.12,50.12,50.09,50.11,4396,0
PULT.US,D,20230522,000000,50.1,50.17,50.1,50.16,21030,0
PULT.US,D,20230523,000000,50.1502,50.17,50.15,50.165,7799,0
PULT.US,D,20230524,000000,50.165,50.165,50.165,50.165,1,0
PULT.US,D,20230525,000000,50.18,50.18,50.165,50.165,2024,0
PULT.US,D,20230526,000000,50.15,50.16,50.1455,50.1552,4241,0
PULT.US,D,20230530,000000,50.15,50.18,50.15,50.17,5164,0
PULT.US,D,20230531,000000,50.23,50.23,50.2,50.215,5690,0
PULT.US,D,20230601,000000,50.24,50.27,50.24,50.26,2845,0
PULT.US,D,20230602,000000,50.27,50.27,50.25,50.25,988,0
PULT.US,D,20230605,000000,50.23,50.27,50.23,50.25,7518,0
PULT.US,D,20230606,000000,50.04,50.07,50.04,50.05,4045,0
PULT.US,D,20230607,000000,50.04,50.07,50.04,50.05,4260,0
PULT.US,D,20230608,000000,50.09,50.1,50.04,50.1,4891,0
PULT.US,D,20230609,000000,50.07,50.08,50.06,50.06,848,0
PULT.US,D,20230612,000000,50.05,50.07,50.05,50.07,1441,0
PULT.US,D,20230613,000000,50.08,50.09,50.05,50.075,4768,0
PULT.US,D,20230614,000000,50.0708,50.08,50.07,50.07,1787,0
PULT.US,D,20230615,000000,50.1,50.1,50.07,50.085,3375,0
PULT.US,D,20230616,000000,50.12,50.12,50.09,50.09,4446,0
PULT.US,D,20230620,000000,50.115,50.13,50.115,50.115,665,0
PULT.US,D,20230621,000000,50.16,50.16,50.15,50.15,200,0
PULT.US,D,20230622,000000,50.15,50.17,50.15,50.15,5499,0
PULT.US,D,20230623,000000,50.17,50.17,50.15,50.16,2096,0
PULT.US,D,20230626,000000,50.161,50.19,50.15,50.165,3690,0
PULT.US,D,20230627,000000,50.189,50.19,50.18,50.18,1749,0
PULT.US,D,20230628,000000,50.21,50.22,50.18,50.2,5588,0
PULT.US,D,20230629,000000,50.19,50.21,50.19,50.205,460,0
PULT.US,D,20230630,000000,50.2,50.23,50.19,50.21,70867,0
PULT.US,D,20230703,000000,50.23,50.23,50.2,50.215,733,0
PULT.US,D,20230705,000000,50.229,50.23,50.215,50.215,793,0
PULT.US,D,20230706,000000,50.26,50.26,50.24,50.24,2410,0
PULT.US,D,20230707,000000,50.01,50.035,50.01,50.035,1934,0
PULT.US,D,20230710,000000,50.08,50.08,50.04,50.06,3079,0
PULT.US,D,20230711,000000,50.09,50.1,50.06,50.08,9062,0
PULT.US,D,20230712,000000,50.1,50.1,50.06,50.085,2991,0
PULT.US,D,20230713,000000,50.14,50.14,50.12,50.12,189,0
PULT.US,D,20230714,000000,50.16,50.18,50.15,50.16,10399,0
PULT.US,D,20230717,000000,50.12,50.14,50.11,50.125,5864,0
PULT.US,D,20230718,000000,50.169,50.169,50.16,50.16,141,0
PULT.US,D,20230719,000000,50.16,50.16,50.16,50.16,59,0
PULT.US,D,20230720,000000,50.17,50.18,50.17,50.18,1228,0
PULT.US,D,20230721,000000,50.19,50.21,50.19,50.21,6402,0
PULT.US,D,20230724,000000,50.18,50.19,50.18,50.19,7564,0
PULT.US,D,20230725,000000,50.19,50.2,50.16,50.2,1390,0
PULT.US,D,20230726,000000,50.2,50.23,50.2,50.23,525831,0
PULT.US,D,20230727,000000,50.22,50.25,50.22,50.225,3235,0
PULT.US,D,20230728,000000,50.26,50.26,50.24,50.255,3068,0
PULT.US,D,20230731,000000,50.2599,50.28,50.2599,50.28,3625,0
PULT.US,D,20230801,000000,50.28,50.29,50.28,50.285,6077,0
PULT.US,D,20230802,000000,50.31,50.31,50.2986,50.3,895,0
PULT.US,D,20230803,000000,50.31,50.32,50.3057,50.31,2200,0
PULT.US,D,20230804,000000,50.07,50.09,50.06,50.0757,9059,0
