<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLND.US,D,20210716,000000,20,21.04,19.2,20.9,10160357,0
BLND.US,D,20210719,000000,20.4,20.68,17.75,17.93,4593548,0
BLND.US,D,20210720,000000,18,18.8,17.15,17.5,1279584,0
BLND.US,D,20210721,000000,17.75,17.85,17.05,17.54,1572124,0
BLND.US,D,20210722,000000,17.53,18.48,17.05,17.26,1251183,0
BLND.US,D,20210723,000000,17.26,17.48,16.0501,17.48,745824,0
BLND.US,D,20210726,000000,17.92,18.1099,17.37,17.6,728176,0
BLND.US,D,20210727,000000,17.72,17.9,16.76,17,489731,0
BLND.US,D,20210728,000000,17.05,18,17,17.8,485138,0
BLND.US,D,20210729,000000,17.8,18.39,17.8,18.07,319852,0
BLND.US,D,20210730,000000,18.07,18.34,17.4,18.06,403652,0
BLND.US,D,20210802,000000,18.24,18.25,17.69,18,231020,0
BLND.US,D,20210803,000000,17.97,18.075,17.79,17.9,169043,0
BLND.US,D,20210804,000000,17.96,18.21,17.64,18.08,677558,0
BLND.US,D,20210805,000000,18.1,18.71,17.86,18,451693,0
BLND.US,D,20210806,000000,18.1,18.47,18,18.45,233564,0
BLND.US,D,20210809,000000,18.6,19.83,18.5501,19.5,891320,0
BLND.US,D,20210810,000000,19.81,20.15,18,18.09,1024264,0
BLND.US,D,20210811,000000,18.13,18.95,18.13,18.23,530179,0
BLND.US,D,20210812,000000,18.65,18.85,18.2,18.32,438317,0
BLND.US,D,20210813,000000,18.54,18.775,17.52,18,744233,0
BLND.US,D,20210816,000000,18.25,18.46,18.0552,18.43,305479,0
BLND.US,D,20210817,000000,18.34,18.77,18.01,18.73,501036,0
BLND.US,D,20210818,000000,18.5,19.51,18.15,19.5,848076,0
BLND.US,D,20210819,000000,19.38,20.35,19.38,19.78,965423,0
BLND.US,D,20210820,000000,17.66,18.48,17.36,18.05,2163457,0
BLND.US,D,20210823,000000,18.06,18.175,16.86,17.43,964103,0
BLND.US,D,20210824,000000,17.37,17.6,16.8,16.95,583317,0
BLND.US,D,20210825,000000,17.08,17.178,15.72,15.92,920730,0
BLND.US,D,20210826,000000,15.92,16.49,15.905,16.36,727070,0
BLND.US,D,20210827,000000,16.36,16.36,15.78,15.92,442910,0
BLND.US,D,20210830,000000,15.92,16.35,15.61,16.16,254914,0
BLND.US,D,20210831,000000,16.23,16.33,15.95,16.19,318337,0
BLND.US,D,20210901,000000,16.1,17.48,16.02,17.13,1009998,0
BLND.US,D,20210902,000000,17.52,17.81,16.89,16.97,1033943,0
BLND.US,D,20210903,000000,16.88,17.63,16.87,17.46,701833,0
BLND.US,D,20210907,000000,17.5,17.6462,16.05,16.11,813097,0
BLND.US,D,20210908,000000,16.15,16.3322,15.55,15.88,752489,0
BLND.US,D,20210909,000000,16,16.8,15.71,16.7,721716,0
BLND.US,D,20210910,000000,16.88,17.15,16.34,16.4,565734,0
BLND.US,D,20210913,000000,16.5,16.78,16.1,16.28,468333,0
BLND.US,D,20210914,000000,16.28,16.41,15.92,16.29,449186,0
BLND.US,D,20210915,000000,16.23,16.29,15.81,15.95,508510,0
BLND.US,D,20210916,000000,15.79,16.16,15.7,16.11,411393,0
BLND.US,D,20210917,000000,16.13,16.35,15.83,16.1,1276710,0
BLND.US,D,20210920,000000,15.72,15.8,15.01,15.19,663152,0
BLND.US,D,20210921,000000,15.25,15.66,14.85,15.16,585759,0
BLND.US,D,20210922,000000,15.36,15.59,14.96,15.24,670245,0
BLND.US,D,20210923,000000,15.35,15.3738,14.64,14.64,839355,0
BLND.US,D,20210924,000000,14.64,14.7482,14.34,14.47,372949,0
