<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PORT-U.US,D,20211213,000000,10,10.03,10,10.01,250260,0
PORT-U.US,D,20211214,000000,10.02,10.05,10,10.02,337869,0
PORT-U.US,D,20211215,000000,10.02,10.02,10,10,130033,0
PORT-U.US,D,20211216,000000,10,10.0002,9.9904,10,22044,0
PORT-U.US,D,20211217,000000,10,10.0087,10,10.0087,9308,0
PORT-U.US,D,20211220,000000,10.02,10.02,10.01,10.01,36275,0
PORT-U.US,D,20211221,000000,10.01,10.01,10.01,10.01,7188,0
PORT-U.US,D,20211222,000000,10,10.01,10,10.01,5841,0
PORT-U.US,D,20211227,000000,10.02,10.02,10.01,10.02,9050,0
PORT-U.US,D,20211228,000000,10,10,9.96,10,3415,0
PORT-U.US,D,20211229,000000,10,10,10,10,237,0
PORT-U.US,D,20211230,000000,10,10.01,9.96,10,3271,0
PORT-U.US,D,20211231,000000,10,10.01,10,10,126479,0
PORT-U.US,D,20220103,000000,10.005,10.015,9.98,9.98,27565,0
PORT-U.US,D,20220104,000000,10,10,10,10,10900,0
PORT-U.US,D,20220107,000000,10.02,10.02,10.01,10.02,47955,0
PORT-U.US,D,20220110,000000,10.0109,10.015,10.0087,10.01,120856,0
PORT-U.US,D,20220112,000000,10.03,10.04,10.03,10.04,56649,0
PORT-U.US,D,20220113,000000,10.05,10.05,10.05,10.05,20051,0
PORT-U.US,D,20220121,000000,10.05,10.05,9.99,9.99,65201,0
PORT-U.US,D,20220126,000000,10.08,10.08,10.08,10.08,100,0
PORT-U.US,D,20220127,000000,9.96,10.02,9.96,10.01,16360,0
PORT-U.US,D,20220128,000000,9.97,9.97,9.78,9.78,60131,0
PORT-U.US,D,20220131,000000,10,10.07,10,10.07,2000,0
PORT-U.US,D,20220201,000000,10.08,10.08,10.02,10.03,7657,0
PORT-U.US,D,20220207,000000,9.96,9.96,9.96,9.96,718,0
PORT-U.US,D,20220209,000000,10.01,10.01,9.98,10,3670,0
PORT-U.US,D,20220210,000000,9.99,10,9.95,9.95,3100,0
PORT-U.US,D,20220214,000000,10.02,10.02,9.9606,9.9606,643,0
PORT-U.US,D,20220215,000000,10.02,10.045,10.02,10.045,7730,0
PORT-U.US,D,20220216,000000,10.01,10.01,10.01,10.01,50000,0
PORT-U.US,D,20220222,000000,9.99,9.99,9.99,9.99,122,0
PORT-U.US,D,20220223,000000,10.01,10.03,10,10,38072,0
