<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STRV.US,D,20220916,000000,24.55,24.6339,24.41,24.6339,4565,0
STRV.US,D,20220919,000000,24.55,24.79,24.5,24.771,34141,0
STRV.US,D,20220920,000000,24.74,24.74,24.35,24.51,150291,0
STRV.US,D,20220921,000000,24.78,24.98,24.1,24.11,970062,0
STRV.US,D,20220922,000000,24,24.16,23.82,23.89,233388,0
STRV.US,D,20220923,000000,23.69,23.69,23.18,23.49,123969,0
STRV.US,D,20220926,000000,23.64,23.64,23.16,23.24,89194,0
STRV.US,D,20220927,000000,23.6,23.61,23.0354,23.21,49375,0
STRV.US,D,20220928,000000,23.36,23.75,23.165,23.66,154506,0
STRV.US,D,20220929,000000,23.28,23.3701,22.9301,23.15,85253,0
STRV.US,D,20220930,000000,23.32,23.35,22.79,22.8,81673,0
STRV.US,D,20221003,000000,23.2,23.495,22.98,23.398,86255,0
STRV.US,D,20221004,000000,23.94,24.13,23.73,24.13,86904,0
STRV.US,D,20221005,000000,24.13,24.21,23.69,24.0516,95847,0
STRV.US,D,20221006,000000,24.17,24.17,23.83,23.8599,85977,0
STRV.US,D,20221007,000000,23.53,23.61,23.05,23.16,53843,0
STRV.US,D,20221010,000000,23.33,23.33,22.82,22.99,40686,0
STRV.US,D,20221011,000000,22.97,23.135,22.68,22.81,97822,0
STRV.US,D,20221012,000000,22.96,22.96,22.69,22.758,66641,0
STRV.US,D,20221013,000000,22.46,23.4199,22.215,23.3339,125483,0
STRV.US,D,20221014,000000,23.6,23.6,22.73,22.74,176140,0
STRV.US,D,20221017,000000,23.33,23.44,23.22,23.39,73627,0
STRV.US,D,20221018,000000,23.95,23.9999,23.44,23.6011,66239,0
STRV.US,D,20221019,000000,23.62,23.67,23.32,23.48,40249,0
STRV.US,D,20221020,000000,23.53,23.7499,23.27,23.32,106684,0
STRV.US,D,20221021,000000,23.38,23.9,23.23,23.86,92090,0
STRV.US,D,20221024,000000,24.03,24.18,23.76,24.13,81271,0
STRV.US,D,20221025,000000,24.3,24.55,24.11,24.5114,47057,0
STRV.US,D,20221026,000000,24.47,24.7,24.31,24.3404,232638,0
STRV.US,D,20221027,000000,24.52,24.52,24.1784,24.19,67034,0
STRV.US,D,20221028,000000,24.29,24.795,24.22,24.7616,71921,0
STRV.US,D,20221031,000000,24.58,24.74,24.54,24.595,115691,0
STRV.US,D,20221101,000000,24.91,24.91,24.42,24.5,80799,0
STRV.US,D,20221102,000000,24.57,24.72,23.86,23.86,210152,0
STRV.US,D,20221103,000000,23.67,23.78,23.47,23.6201,74947,0
STRV.US,D,20221104,000000,24.08,24.08,23.54,23.8841,68660,0
STRV.US,D,20221107,000000,24.03,24.18,23.88,24.1246,138817,0
STRV.US,D,20221108,000000,24.3,24.477,24.065,24.275,64506,0
STRV.US,D,20221109,000000,24.19,24.19,23.74,23.7607,62811,0
STRV.US,D,20221110,000000,24.69,25.1,24.57,25.1,79781,0
STRV.US,D,20221111,000000,25.26,25.4,25.06,25.348,125940,0
STRV.US,D,20221114,000000,25.32,25.45,25.12,25.12,45975,0
STRV.US,D,20221115,000000,25.69,25.69,25.21,25.3376,124619,0
STRV.US,D,20221116,000000,25.36,25.36,25.13,25.3174,105530,0
STRV.US,D,20221117,000000,24.74,25.11,24.74,25.015,131500,0
STRV.US,D,20221118,000000,25.35,25.35,25,25.1392,67454,0
STRV.US,D,20221121,000000,25.15,25.15,24.98,25.05,56265,0
STRV.US,D,20221122,000000,25.28,25.3804,25.09,25.3804,78719,0
STRV.US,D,20221123,000000,25.47,25.59,25.37,25.5325,36319,0
STRV.US,D,20221125,000000,25.58,25.58,25.51,25.5214,5562,0
STRV.US,D,20221128,000000,25.4,25.4586,25.1,25.1474,109249,0
STRV.US,D,20221129,000000,25.08,25.21,24.985,25.0886,100955,0
STRV.US,D,20221130,000000,25.16,25.8498,24.9896,25.8488,93191,0
STRV.US,D,20221201,000000,26.02,26.03,25.75,25.8916,40372,0
STRV.US,D,20221202,000000,25.7,25.89,25.5,25.8411,62731,0
STRV.US,D,20221205,000000,25.85,25.85,25.3,25.3899,124343,0
STRV.US,D,20221206,000000,25.47,25.47,24.885,25.03,44514,0
STRV.US,D,20221207,000000,25.05,25.09,24.91,24.9561,15628,0
STRV.US,D,20221208,000000,25.05,25.2206,25,25.1605,18968,0
STRV.US,D,20221209,000000,25.14,25.24,24.97,24.9731,71703,0
STRV.US,D,20221212,000000,25.07,25.3096,25,25.3096,60697,0
STRV.US,D,20221213,000000,26.1,26.1,25.4,25.5314,89942,0
STRV.US,D,20221214,000000,25.56,25.7324,25.24,25.4048,40306,0
STRV.US,D,20221215,000000,25.13,25.13,24.63,24.725,48684,0
