<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WUCT.US,D,20230328,000000,25.12,25.12,25.0442,25.0442,100,0
WUCT.US,D,20230329,000000,25.265,25.32,25.265,25.32,275,0
WUCT.US,D,20230330,000000,25.54,25.54,25.54,25.54,102,0
WUCT.US,D,20230331,000000,25.88,25.88,25.88,25.88,100,0
WUCT.US,D,20230403,000000,25.94,25.981,25.94,25.981,421,0
WUCT.US,D,20230404,000000,25.9,25.9,25.8781,25.8781,120,0
WUCT.US,D,20230410,000000,25.72,25.9266,25.72,25.9266,100,0
WUCT.US,D,20230414,000000,26.25,26.25,26.0428,26.1083,4050,0
WUCT.US,D,20230417,000000,26.21,27.94,26.2,27.504,3518,0
WUCT.US,D,20230418,000000,26.1487,26.1487,26.1487,26.1487,2,0
WUCT.US,D,20230420,000000,26.07,26.075,25.9386,25.9386,326,0
WUCT.US,D,20230421,000000,26.05,26.05,26.0463,26.0463,568,0
WUCT.US,D,20230425,000000,25.53,25.53,25.53,25.53,100,0
WUCT.US,D,20230505,000000,25.7299,25.7299,25.7299,25.7299,14,0
WUCT.US,D,20230510,000000,25.737,25.737,25.737,25.737,6,0
WUCT.US,D,20230523,000000,25.8495,25.8495,25.8495,25.8495,21,0
WUCT.US,D,20230526,000000,25.96,25.96,25.96,25.96,200,0
WUCT.US,D,20230601,000000,26.17,26.17,26.04,26.04,300,0
WUCT.US,D,20230602,000000,26.38,26.38,26.36,26.36,452,0
WUCT.US,D,20230605,000000,26.44,26.44,26.4385,26.4385,200,0
WUCT.US,D,20230612,000000,26.73,26.73,26.73,26.73,200,0
WUCT.US,D,20230613,000000,26.8875,26.8875,26.8875,26.8875,1,0
WUCT.US,D,20230614,000000,26.885,26.885,26.885,26.885,1,0
WUCT.US,D,20230615,000000,27.19,27.2931,27.19,27.2931,200,0
WUCT.US,D,20230616,000000,27.1867,27.1867,27.1867,27.1867,2,0
WUCT.US,D,20230621,000000,26.88,26.88,26.8292,26.8292,400,0
WUCT.US,D,20230623,000000,26.6917,26.6917,26.6917,26.6917,4,0
WUCT.US,D,20230627,000000,26.74,26.74,26.74,26.74,200,0
WUCT.US,D,20230630,000000,27.11,27.1253,27.11,27.1253,200,0
WUCT.US,D,20230705,000000,27.0529,27.0529,27.0529,27.0529,2,0
WUCT.US,D,20230710,000000,26.7639,26.7639,26.7639,26.7639,25,0
WUCT.US,D,20230711,000000,27.0057,27.0057,27.0057,27.0057,25,0
WUCT.US,D,20230712,000000,27.1869,27.1869,27.1869,27.1869,25,0
WUCT.US,D,20230713,000000,27.5467,27.5467,27.5467,27.5467,1,0
WUCT.US,D,20230714,000000,27.4387,27.4387,27.4387,27.4387,25,0
WUCT.US,D,20230717,000000,27.4873,27.4873,27.4873,27.4873,25,0
WUCT.US,D,20230718,000000,27.6035,27.6035,27.6035,27.6035,25,0
WUCT.US,D,20230719,000000,27.6798,27.6798,27.6798,27.6798,1,0
WUCT.US,D,20230720,000000,27.5348,27.5348,27.5348,27.5348,1,0
WUCT.US,D,20230721,000000,27.7063,27.7063,27.7063,27.7063,1,0
WUCT.US,D,20230724,000000,27.7319,27.7319,27.7319,27.7319,1,0
WUCT.US,D,20230725,000000,27.8208,27.8208,27.8208,27.8208,1,0
WUCT.US,D,20230726,000000,27.7991,27.7991,27.7991,27.7991,1,0
WUCT.US,D,20230727,000000,27.6075,27.6075,27.6075,27.6075,1,0
WUCT.US,D,20230728,000000,27.9305,27.9305,27.9305,27.9305,1,0
WUCT.US,D,20230731,000000,27.9803,27.9803,27.9803,27.9803,23,0
WUCT.US,D,20230801,000000,27.8896,27.8896,27.8896,27.8896,22,0
WUCT.US,D,20230802,000000,27.4082,27.4082,27.4082,27.4082,22,0
WUCT.US,D,20230803,000000,27.3058,27.3058,27.3058,27.3058,7,0
