<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOUS.US,D,20230616,000000,25.409,25.409,25.2751,25.2751,3764,0
TOUS.US,D,20230620,000000,25.25,25.25,24.9462,24.9462,377,0
TOUS.US,D,20230621,000000,25.13,25.13,24.9,24.9749,2612,0
TOUS.US,D,20230622,000000,24.82,24.82,24.7898,24.7898,703,0
TOUS.US,D,20230623,000000,24.475,24.475,24.4373,24.4373,400,0
TOUS.US,D,20230626,000000,24.47,24.47,24.435,24.4434,1250,0
TOUS.US,D,20230627,000000,24.6441,24.6441,24.6441,24.6441,33,0
TOUS.US,D,20230628,000000,24.7057,24.7057,24.7057,24.7057,3,0
TOUS.US,D,20230629,000000,24.64,24.71,24.64,24.71,2406,0
TOUS.US,D,20230630,000000,25,25,24.9503,24.9503,250,0
TOUS.US,D,20230703,000000,24.9565,24.9565,24.9565,24.9565,100,0
TOUS.US,D,20230705,000000,24.645,24.645,24.645,24.645,2,0
TOUS.US,D,20230706,000000,24.2103,24.2103,24.2103,24.2103,1,0
TOUS.US,D,20230707,000000,24.4144,24.4144,24.4144,24.4144,87,0
TOUS.US,D,20230710,000000,24.46,24.5053,24.46,24.5053,664,0
TOUS.US,D,20230711,000000,24.579,24.682,24.579,24.682,140,0
TOUS.US,D,20230712,000000,25.17,25.17,25.146,25.146,100,0
TOUS.US,D,20230713,000000,25.519,25.5482,25.519,25.5482,3213,0
TOUS.US,D,20230714,000000,25.4461,25.4461,25.4461,25.4461,150,0
TOUS.US,D,20230717,000000,25.469,25.4721,25.469,25.4721,1505,0
TOUS.US,D,20230718,000000,25.59,25.72,25.5787,25.658,16736,0
TOUS.US,D,20230719,000000,25.58,25.69,25.58,25.67,218013,0
TOUS.US,D,20230720,000000,25.51,25.51,25.4619,25.4619,75737,0
TOUS.US,D,20230721,000000,25.55,25.58,25.48,25.51,37113,0
TOUS.US,D,20230724,000000,25.445,25.445,25.445,25.445,318,0
TOUS.US,D,20230725,000000,25.495,25.5188,25.49,25.4922,1135,0
TOUS.US,D,20230726,000000,25.59,25.59,25.567,25.567,12219,0
TOUS.US,D,20230727,000000,25.9,25.9,25.4816,25.4816,1761,0
TOUS.US,D,20230728,000000,25.75,25.7574,25.61,25.66,9943,0
TOUS.US,D,20230731,000000,25.71,25.8,25.6786,25.6786,3263,0
TOUS.US,D,20230801,000000,25.48,25.48,25.27,25.339,5535,0
TOUS.US,D,20230802,000000,24.79,24.8983,24.79,24.8194,84051,0
TOUS.US,D,20230803,000000,24.73,24.7645,24.73,24.7645,19796,0
TOUS.US,D,20230804,000000,24.8501,24.8501,24.83,24.83,1996,0
