<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WEAV.US,D,20211111,000000,21.8,22.4,18.5,18.79,3472519,0
WEAV.US,D,20211112,000000,18.68,19.29,18.44,18.5,998186,0
WEAV.US,D,20211115,000000,18.58,21.48,18.58,21.13,654554,0
WEAV.US,D,20211116,000000,21.25,21.4,19.5,20.25,482211,0
WEAV.US,D,20211117,000000,20.62,20.62,19.5,20,182660,0
WEAV.US,D,20211118,000000,20,20.27,19.5,19.98,202990,0
WEAV.US,D,20211119,000000,20,20.25,19.59,19.6,198541,0
WEAV.US,D,20211122,000000,19.99,20.32,19.62,20,244821,0
WEAV.US,D,20211123,000000,19.95,20.025,18.75,19.49,395363,0
WEAV.US,D,20211124,000000,19.24,20.91,19.24,20.67,207403,0
WEAV.US,D,20211126,000000,20.65,20.885,20,20.49,208291,0
WEAV.US,D,20211129,000000,20.07,20.5,19,19.04,282121,0
WEAV.US,D,20211130,000000,19.01,19.13,17.6,17.77,372353,0
WEAV.US,D,20211201,000000,18,18.28,17.05,17.58,214361,0
WEAV.US,D,20211202,000000,17.53,17.75,16.5,16.68,131406,0
WEAV.US,D,20211203,000000,16.68,17.2,16,16.24,121240,0
WEAV.US,D,20211206,000000,16.26,16.6591,15.17,15.78,372117,0
WEAV.US,D,20211207,000000,15.81,16.6399,15.81,16.54,296553,0
WEAV.US,D,20211208,000000,16.04,16.08,13.21,15.11,813800,0
WEAV.US,D,20211209,000000,14.98,15,13.52,13.54,323925,0
WEAV.US,D,20211210,000000,15.35,15.35,14.37,14.55,737225,0
WEAV.US,D,20211213,000000,15.02,15.79,14.23,14.98,544132,0
WEAV.US,D,20211214,000000,14.97,15.02,14.04,14.87,266221,0
WEAV.US,D,20211215,000000,15.23,15.23,14.35,15.21,198175,0
WEAV.US,D,20211216,000000,15.3,15.3,13.79,13.83,247429,0
WEAV.US,D,20211217,000000,13.63,14.07,13.21,13.28,1022945,0
WEAV.US,D,20211220,000000,13.39,14.0583,13.23,13.88,170850,0
WEAV.US,D,20211221,000000,14.03,14.71,14,14.67,112118,0
WEAV.US,D,20211222,000000,14.51,15.5865,14.51,15.48,137165,0
WEAV.US,D,20211223,000000,15.37,15.68,15.1436,15.37,70775,0
WEAV.US,D,20211227,000000,15.32,15.7098,15.21,15.58,73224,0
