<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NSTC.US,D,20210428,000000,9.97,9.97,9.97,9.97,2201,0
NSTC.US,D,20210429,000000,9.95,9.99,9.94,9.95,10364,0
NSTC.US,D,20210430,000000,9.83,9.83,9.82,9.83,6135,0
NSTC.US,D,20210503,000000,9.82,9.8581,9.8,9.841,14262,0
NSTC.US,D,20210506,000000,9.8556,9.95,9.84,9.9,15868,0
NSTC.US,D,20210507,000000,9.8636,9.8636,9.8636,9.8636,148,0
NSTC.US,D,20210512,000000,9.818,9.818,9.818,9.818,230,0
NSTC.US,D,20210513,000000,9.81,9.81,9.81,9.81,412,0
NSTC.US,D,20210514,000000,9.81,9.828,9.8,9.828,101233,0
NSTC.US,D,20210518,000000,9.83,9.83,9.74,9.75,6487,0
NSTC.US,D,20210520,000000,9.8,9.8,9.7,9.7,107821,0
NSTC.US,D,20210521,000000,9.7,9.745,9.7,9.71,91269,0
NSTC.US,D,20210524,000000,9.72,9.8,9.72,9.72,19123,0
NSTC.US,D,20210525,000000,9.7,9.72,9.7,9.71,17399,0
NSTC.US,D,20210526,000000,9.8009,9.845,9.8,9.8,1503,0
NSTC.US,D,20210528,000000,9.8,9.8,9.71,9.77,5490,0
NSTC.US,D,20210601,000000,9.77,9.78,9.77,9.78,1501,0
NSTC.US,D,20210602,000000,9.74,9.77,9.74,9.77,4578,0
NSTC.US,D,20210603,000000,9.75,9.79,9.75,9.79,2956,0
NSTC.US,D,20210604,000000,9.8,9.8,9.75,9.79,5401,0
NSTC.US,D,20210607,000000,9.77,9.77,9.77,9.77,1215,0
NSTC.US,D,20210608,000000,9.91,9.91,9.8,9.8,960,0
NSTC.US,D,20210609,000000,9.85,9.85,9.81,9.83,33616,0
NSTC.US,D,20210610,000000,9.83,9.85,9.83,9.85,1449,0
NSTC.US,D,20210614,000000,9.84,9.88,9.82,9.83,39183,0
NSTC.US,D,20210615,000000,9.83,9.83,9.83,9.83,305,0
NSTC.US,D,20210616,000000,9.84,9.88,9.83,9.85,8255,0
NSTC.US,D,20210617,000000,9.83,9.84,9.81,9.83,37425,0
NSTC.US,D,20210618,000000,9.83,9.85,9.82,9.82,2400,0
NSTC.US,D,20210621,000000,9.81,9.83,9.81,9.83,2640,0
NSTC.US,D,20210623,000000,9.81,9.8337,9.81,9.8337,1080,0
NSTC.US,D,20210628,000000,9.77,9.77,9.71,9.73,4142,0
NSTC.US,D,20210629,000000,9.75,9.75,9.74,9.75,87769,0
NSTC.US,D,20210630,000000,9.78,9.83,9.78,9.78,4190,0
NSTC.US,D,20210701,000000,9.76,9.78,9.75,9.75,28529,0
NSTC.US,D,20210702,000000,9.735,9.74,9.735,9.74,600,0
NSTC.US,D,20210706,000000,9.75,9.79,9.75,9.79,36053,0
NSTC.US,D,20210707,000000,9.82,9.835,9.82,9.835,282,0
NSTC.US,D,20210708,000000,9.79,9.85,9.77,9.8,6352,0
NSTC.US,D,20210709,000000,9.8,9.8,9.76,9.76,12532,0
NSTC.US,D,20210712,000000,9.76,9.77,9.75,9.77,15448,0
NSTC.US,D,20210714,000000,9.76,9.76,9.75,9.75,1994,0
NSTC.US,D,20210715,000000,9.75,9.75,9.75,9.75,709,0
NSTC.US,D,20210716,000000,9.75,9.76,9.75,9.76,700,0
NSTC.US,D,20210719,000000,9.74,9.74,9.73,9.73,12834,0
NSTC.US,D,20210720,000000,9.7301,9.75,9.7301,9.75,2200,0
NSTC.US,D,20210721,000000,9.74,9.75,9.74,9.75,100731,0
NSTC.US,D,20210727,000000,9.7,9.74,9.7,9.74,2372,0
NSTC.US,D,20210730,000000,9.73,9.73,9.73,9.73,500004,0
NSTC.US,D,20210802,000000,9.73,9.73,9.73,9.73,669,0
NSTC.US,D,20210805,000000,9.69,9.69,9.69,9.69,102,0
NSTC.US,D,20210806,000000,9.71,9.76,9.68,9.76,2144,0
NSTC.US,D,20210810,000000,9.78,9.78,9.7104,9.7104,388,0
NSTC.US,D,20210811,000000,9.69,9.69,9.69,9.69,147,0
NSTC.US,D,20210812,000000,9.71,9.73,9.69,9.73,3796,0
NSTC.US,D,20210813,000000,9.87,9.88,9.7,9.75,1403,0
NSTC.US,D,20210817,000000,9.73,9.74,9.73,9.73,922,0
NSTC.US,D,20210819,000000,9.66,9.66,9.66,9.66,200,0
NSTC.US,D,20210820,000000,9.65,9.65,9.65,9.65,601,0
NSTC.US,D,20210823,000000,9.68,9.74,9.66,9.74,56867,0
