<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OAIA.US,D,20221222,000000,25.03,25.14,25.02,25.1,23012,0
OAIA.US,D,20221223,000000,25.03,25.065,25,25.065,11683,0
OAIA.US,D,20221227,000000,25.03,25.12,25.0299,25.12,2718,0
OAIA.US,D,20221228,000000,25.02,25.1237,25.02,25.12,2742,0
OAIA.US,D,20221229,000000,24.97,25.095,24.97,25.095,2119,0
OAIA.US,D,20221230,000000,25.02,25.0899,25.02,25.0899,1879,0
OAIA.US,D,20230103,000000,25.02,25.03,25,25,6195,0
OAIA.US,D,20230104,000000,24.9951,24.9951,24.9951,24.9951,347,0
OAIA.US,D,20230105,000000,25.01,25.06,24.95,25.035,11634,0
OAIA.US,D,20230106,000000,25.1764,25.239,25.12,25.1719,15813,0
OAIA.US,D,20230109,000000,25.03,25.04,25.025,25.04,5723,0
OAIA.US,D,20230110,000000,24.9,25,24.835,24.835,27159,0
OAIA.US,D,20230111,000000,24.94,24.94,24.905,24.905,231,0
OAIA.US,D,20230112,000000,24.98,25.1,24.96,25.1,629,0
OAIA.US,D,20230113,000000,25.02,25.02,25.02,25.02,28,0
OAIA.US,D,20230117,000000,25.045,25.045,25.045,25.045,61,0
OAIA.US,D,20230118,000000,24.89,24.9,24.89,24.9,424,0
OAIA.US,D,20230119,000000,24.87,24.87,24.751,24.7539,21901,0
OAIA.US,D,20230120,000000,24.86,24.86,24.86,24.86,77,0
OAIA.US,D,20230123,000000,24.71,24.71,24.6651,24.6651,4595,0
OAIA.US,D,20230124,000000,24.68,24.72,24.68,24.69,1329,0
OAIA.US,D,20230125,000000,24.7201,24.7201,24.7201,24.7201,69,0
OAIA.US,D,20230126,000000,24.77,24.77,24.77,24.77,20,0
OAIA.US,D,20230127,000000,24.64,24.64,24.64,24.64,36,0
OAIA.US,D,20230130,000000,24.77,24.79,24.75,24.75,938,0
OAIA.US,D,20230131,000000,24.65,24.82,24.65,24.82,1002,0
OAIA.US,D,20230201,000000,24.77,24.77,24.6599,24.73,817,0
OAIA.US,D,20230202,000000,24.88,24.88,24.88,24.88,6,0
OAIA.US,D,20230203,000000,24.87,24.87,24.87,24.87,6,0
OAIA.US,D,20230206,000000,24.8215,24.85,24.815,24.815,1486,0
OAIA.US,D,20230207,000000,24.82,24.86,24.7847,24.7901,1087,0
OAIA.US,D,20230208,000000,24.86,24.86,24.825,24.825,470,0
OAIA.US,D,20230209,000000,24.8,24.8,24.8,24.8,7,0
OAIA.US,D,20230210,000000,25.0501,25.0501,25.0501,25.0501,1578,0
OAIA.US,D,20230213,000000,25.14,25.14,25.13,25.13,405,0
OAIA.US,D,20230214,000000,25.09,25.1,25.09,25.0999,273,0
OAIA.US,D,20230215,000000,25.09,25.09,25.03,25.0501,1276,0
OAIA.US,D,20230216,000000,25.055,25.055,25.055,25.055,3,0
OAIA.US,D,20230217,000000,25.071,25.14,24.975,24.975,3235,0
OAIA.US,D,20230221,000000,25.1099,25.1099,25.1099,25.1099,22,0
OAIA.US,D,20230222,000000,25.034,25.034,25.03,25.03,346,0
OAIA.US,D,20230223,000000,24.9,24.9,24.85,24.85,420,0
OAIA.US,D,20230224,000000,24.635,24.635,24.635,24.635,255,0
OAIA.US,D,20230227,000000,24.5445,24.5799,24.435,24.435,2105,0
OAIA.US,D,20230228,000000,24.245,24.245,24.245,24.245,65,0
OAIA.US,D,20230301,000000,24.205,24.205,24.18,24.18,690,0
OAIA.US,D,20230302,000000,24.36,24.4199,24.36,24.4199,427,0
OAIA.US,D,20230303,000000,24.43,24.43,24.415,24.415,250,0
OAIA.US,D,20230306,000000,24.45,24.45,24.44,24.44,285,0
OAIA.US,D,20230307,000000,24.4306,24.4306,24.4306,24.4306,18,0
OAIA.US,D,20230308,000000,24.42,24.42,24.37,24.37,535,0
OAIA.US,D,20230309,000000,24.2199,24.2199,24.2199,24.2199,21,0
OAIA.US,D,20230310,000000,24.3399,24.4198,24.3399,24.3851,770,0
OAIA.US,D,20230313,000000,24.42,24.42,24.4,24.405,1089,0
OAIA.US,D,20230314,000000,24.34,24.42,24.315,24.42,804,0
OAIA.US,D,20230315,000000,24.39,24.45,24.389,24.45,1445,0
OAIA.US,D,20230316,000000,24.22,24.29,24.2199,24.29,1157,0
OAIA.US,D,20230317,000000,24.24,24.24,24.1278,24.1278,2115,0
OAIA.US,D,20230320,000000,24.08,24.135,24.08,24.135,1412,0
OAIA.US,D,20230321,000000,24.02,24.02,23.76,23.76,267,0
OAIA.US,D,20230322,000000,23.47,23.51,23.35,23.3849,10022,0
OAIA.US,D,20230323,000000,23.25,23.25,23.0649,23.0649,149,0
OAIA.US,D,20230324,000000,23.38,23.42,23.38,23.42,395,0
OAIA.US,D,20230327,000000,23.525,23.525,23.525,23.525,4,0
OAIA.US,D,20230328,000000,23.68,23.7,23.68,23.7,412,0
OAIA.US,D,20230329,000000,23.7301,23.7301,23.7301,23.7301,190,0
OAIA.US,D,20230330,000000,23.5,23.5,23.5,23.5,5,0
OAIA.US,D,20230331,000000,23.41,23.41,23.4051,23.4051,225,0
OAIA.US,D,20230403,000000,23.4853,23.4853,23.4853,23.4853,47,0
OAIA.US,D,20230404,000000,23.3849,23.3849,23.3849,23.3849,110,0
OAIA.US,D,20230405,000000,23.265,23.265,23.265,23.265,171,0
OAIA.US,D,20230406,000000,23.16,23.16,23.16,23.16,96,0
OAIA.US,D,20230410,000000,23.1651,23.1651,23.1651,23.1651,87,0
OAIA.US,D,20230411,000000,23.06,23.08,23.0551,23.0551,114397,0
OAIA.US,D,20230412,000000,23.11,23.11,23.11,23.11,29,0
OAIA.US,D,20230413,000000,23.0623,23.0796,23.035,23.075,1872,0
OAIA.US,D,20230414,000000,23.1051,23.1051,23.1051,23.1051,37,0
OAIA.US,D,20230417,000000,23.1,23.155,23.1,23.155,234,0
OAIA.US,D,20230418,000000,23.23,23.23,23.1951,23.1951,509,0
OAIA.US,D,20230419,000000,23.0799,23.0799,23.05,23.05,421,0
OAIA.US,D,20230420,000000,22.94,22.94,22.74,22.74,342,0
OAIA.US,D,20230421,000000,22.685,22.685,22.5952,22.5952,538,0
OAIA.US,D,20230424,000000,22.341,22.345,22.31,22.345,897,0
OAIA.US,D,20230425,000000,22.271,22.271,22.1817,22.195,457,0
OAIA.US,D,20230426,000000,22.145,22.145,22.145,22.145,15,0
OAIA.US,D,20230427,000000,21.9878,21.9878,21.895,21.895,136,0
OAIA.US,D,20230428,000000,21.85,22.005,21.85,22.005,1002,0
OAIA.US,D,20230501,000000,22.12,22.12,22.11,22.11,360,0
OAIA.US,D,20230502,000000,22.07,22.07,22.07,22.07,13,0
OAIA.US,D,20230503,000000,22.22,22.29,22.22,22.29,1000,0
OAIA.US,D,20230504,000000,22.19,22.19,22.19,22.19,3,0
OAIA.US,D,20230505,000000,22.3099,22.3099,22.3099,22.3099,28,0
OAIA.US,D,20230508,000000,22.23,22.2304,22.23,22.2304,606,0
OAIA.US,D,20230509,000000,21.9751,21.9751,21.9751,21.9751,96,0
OAIA.US,D,20230510,000000,21.9001,21.9001,21.9001,21.9001,54,0
OAIA.US,D,20230511,000000,21.82,21.8878,21.81,21.85,11322,0
OAIA.US,D,20230512,000000,21.74,21.74,21.74,21.74,54,0
OAIA.US,D,20230515,000000,21.961,22.01,21.961,22.01,158,0
OAIA.US,D,20230516,000000,21.76,21.76,21.76,21.76,2,0
OAIA.US,D,20230517,000000,21.59,21.59,21.52,21.52,108,0
OAIA.US,D,20230518,000000,21.42,21.5289,21.42,21.5,380,0
OAIA.US,D,20230519,000000,21.65,21.65,21.4,21.4,929,0
OAIA.US,D,20230522,000000,21.551,21.6,21.551,21.58,964,0
OAIA.US,D,20230523,000000,21.675,21.675,21.675,21.675,59,0
OAIA.US,D,20230524,000000,21.67,21.67,21.67,21.67,1,0
OAIA.US,D,20230525,000000,21.635,21.635,21.635,21.635,115,0
OAIA.US,D,20230526,000000,21.845,21.845,21.845,21.845,3,0
OAIA.US,D,20230530,000000,21.515,21.515,21.515,21.515,1,0
OAIA.US,D,20230531,000000,21.4801,21.4801,21.4801,21.4801,52,0
OAIA.US,D,20230601,000000,21.7351,21.7351,21.7351,21.7351,75,0
OAIA.US,D,20230602,000000,21.8751,21.8751,21.8751,21.8751,42,0
OAIA.US,D,20230605,000000,21.8899,21.8899,21.8899,21.8899,37,0
OAIA.US,D,20230606,000000,21.94,21.94,21.94,21.94,33,0
OAIA.US,D,20230607,000000,21.78,21.78,21.78,21.78,37,0
OAIA.US,D,20230608,000000,21.81,21.81,21.785,21.785,515,0
OAIA.US,D,20230609,000000,21.835,21.835,21.835,21.835,29,0
OAIA.US,D,20230612,000000,21.98,21.98,21.98,21.98,100,0
OAIA.US,D,20230613,000000,22.12,22.125,22.12,22.125,476,0
OAIA.US,D,20230614,000000,22,22.025,22,22.025,436,0
OAIA.US,D,20230615,000000,22.36,22.36,22.36,22.36,173,0
OAIA.US,D,20230616,000000,22.89,22.89,22.86,22.86,456,0
OAIA.US,D,20230620,000000,22.8,22.9,22.8,22.89,4185,0
OAIA.US,D,20230621,000000,23.315,23.315,23.315,23.315,15,0
OAIA.US,D,20230622,000000,23.38,23.395,23.34,23.395,2798,0
OAIA.US,D,20230623,000000,23.39,23.39,23.38,23.38,2537,0
OAIA.US,D,20230626,000000,23.38,23.46,23.37,23.4176,8841,0
OAIA.US,D,20230627,000000,23.255,23.255,23.255,23.255,12,0
OAIA.US,D,20230628,000000,23.27,23.29,23.27,23.29,1124,0
OAIA.US,D,20230629,000000,23.41,23.41,23.385,23.385,280,0
OAIA.US,D,20230630,000000,23.26,23.295,23.2201,23.295,637,0
OAIA.US,D,20230703,000000,23.234,23.234,23.234,23.234,12,0
OAIA.US,D,20230705,000000,23.0601,23.085,23.0601,23.085,514,0
OAIA.US,D,20230706,000000,23.191,23.191,23.19,23.19,625,0
