<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MKFG-WS.US,D,20210716,000000,1.69,1.91,1.67,1.8,57231,0
MKFG-WS.US,D,20210719,000000,1.72,1.9,1.72,1.75,45465,0
MKFG-WS.US,D,20210720,000000,1.71,1.95,1.71,1.7899,63905,0
MKFG-WS.US,D,20210721,000000,2.0276,2.0276,1.63,1.8,101265,0
MKFG-WS.US,D,20210722,000000,1.75,2.2387,1.75,2.2,199915,0
MKFG-WS.US,D,20210723,000000,2.05,2.35,2.05,2.26,51600,0
MKFG-WS.US,D,20210726,000000,2.15,2.155,2.05,2.0699,10357,0
MKFG-WS.US,D,20210727,000000,1.9,2.27,1.89,2.13,30808,0
MKFG-WS.US,D,20210728,000000,2.11,2.11,2.07,2.1,56179,0
MKFG-WS.US,D,20210729,000000,2.1,2.1,1.92,1.9201,64877,0
MKFG-WS.US,D,20210730,000000,1.85,2.14,1.85,2.105,127397,0
MKFG-WS.US,D,20210802,000000,2.19,2.23,2.085,2.14,29478,0
MKFG-WS.US,D,20210803,000000,2.04,2.04,1.9951,1.9951,2440,0
MKFG-WS.US,D,20210804,000000,1.99,2,1.9,1.945,5646,0
MKFG-WS.US,D,20210805,000000,1.8822,1.89,1.795,1.795,53474,0
MKFG-WS.US,D,20210806,000000,1.72,1.9199,1.72,1.9001,78697,0
MKFG-WS.US,D,20210809,000000,1.85,1.85,1.76,1.81,11718,0
MKFG-WS.US,D,20210810,000000,1.96,1.96,1.7388,1.7457,137083,0
MKFG-WS.US,D,20210811,000000,1.72,1.8,1.55,1.69,68753,0
MKFG-WS.US,D,20210812,000000,1.6777,1.68,1.41,1.59,42742,0
MKFG-WS.US,D,20210813,000000,1.51,1.51,1.12,1.46,117530,0
MKFG-WS.US,D,20210816,000000,1.45,1.46,1.2201,1.46,59506,0
MKFG-WS.US,D,20210817,000000,1.28,1.39,1.22,1.3,34191,0
MKFG-WS.US,D,20210818,000000,1.49,1.49,1.32,1.3599,23439,0
MKFG-WS.US,D,20210819,000000,1.25,1.32,1.23,1.23,14971,0
MKFG-WS.US,D,20210820,000000,1.21,1.29,1.13,1.29,28278,0
MKFG-WS.US,D,20210823,000000,1.29,1.39,1.28,1.37,19579,0
MKFG-WS.US,D,20210824,000000,1.35,1.47,1.29,1.4664,94378,0
MKFG-WS.US,D,20210825,000000,1.4443,1.77,1.4443,1.55,46070,0
MKFG-WS.US,D,20210826,000000,1.505,1.51,1.4,1.4,65121,0
MKFG-WS.US,D,20210827,000000,1.45,1.51,1.45,1.45,11527,0
MKFG-WS.US,D,20210830,000000,1.42,1.56,1.35,1.47,57465,0
MKFG-WS.US,D,20210831,000000,1.46,1.57,1.3601,1.57,10289,0
MKFG-WS.US,D,20210901,000000,1.57,1.68,1.57,1.68,1893,0
MKFG-WS.US,D,20210902,000000,1.655,1.75,1.635,1.695,12954,0
