<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEMX.US,D,20230112,000000,25.76,25.94,25.76,25.8889,5376,0
MEMX.US,D,20230113,000000,25.8,25.9,25.8,25.8787,3668,0
MEMX.US,D,20230117,000000,25.87,25.95,25.87,25.907,3704,0
MEMX.US,D,20230118,000000,26.18,26.18,25.7848,25.7848,4607,0
MEMX.US,D,20230119,000000,25.88,25.88,25.7808,25.7808,2307,0
MEMX.US,D,20230120,000000,25.98,26.08,25.98,26.0765,2450,0
MEMX.US,D,20230123,000000,26.15,26.36,26.08,26.3179,3281,0
MEMX.US,D,20230124,000000,26.25,26.25,26.22,26.2337,1357,0
MEMX.US,D,20230125,000000,26,26.135,25.979,26.135,604,0
MEMX.US,D,20230126,000000,26.45,26.45,26.239,26.39,3787,0
MEMX.US,D,20230127,000000,26.06,26.249,26.06,26.2335,1470,0
MEMX.US,D,20230130,000000,26.01,26.01,25.9471,25.9471,1872,0
MEMX.US,D,20230131,000000,25.99,26.1086,25.97,26.1086,980,0
MEMX.US,D,20230201,000000,26.265,26.4301,26.11,26.3601,2413,0
MEMX.US,D,20230202,000000,26.4,26.4,26.3199,26.3928,1075,0
MEMX.US,D,20230203,000000,26.22,26.22,25.97,26.0144,2541,0
MEMX.US,D,20230206,000000,25.7285,25.76,25.67,25.7226,1923,0
MEMX.US,D,20230207,000000,25.915,25.9484,25.885,25.92,10617,0
MEMX.US,D,20230208,000000,25.8,25.8252,25.786,25.786,1025,0
MEMX.US,D,20230209,000000,25.93,25.93,25.83,25.8357,10060,0
MEMX.US,D,20230210,000000,25.94,25.94,25.72,25.7824,15684,0
MEMX.US,D,20230213,000000,26.049,26.0588,25.99,26.0245,7621,0
MEMX.US,D,20230214,000000,25.88,26.04,25.88,26.001,10334,0
MEMX.US,D,20230215,000000,25.84,25.9195,25.82,25.9081,870,0
MEMX.US,D,20230216,000000,25.78,26.03,25.78,25.8779,9491,0
MEMX.US,D,20230217,000000,25.735,25.79,25.73,25.7515,4979,0
MEMX.US,D,20230221,000000,25.4416,25.4416,25.38,25.386,1035,0
MEMX.US,D,20230222,000000,25.225,25.225,25.1324,25.1324,1099,0
MEMX.US,D,20230223,000000,25.4099,25.41,25.3001,25.3103,7289,0
MEMX.US,D,20230224,000000,24.9,24.92,24.9,24.9144,1752,0
MEMX.US,D,20230227,000000,25.13,25.13,24.965,24.9733,5851,0
MEMX.US,D,20230228,000000,25.0021,25.04,24.995,24.9954,11609,0
MEMX.US,D,20230301,000000,25.135,25.199,25.135,25.1832,4244,0
MEMX.US,D,20230302,000000,25.2066,25.21,25.1625,25.1625,1546,0
MEMX.US,D,20230303,000000,25.38,25.51,25.38,25.5002,1878,0
MEMX.US,D,20230306,000000,25.46,25.53,25.4302,25.4586,3167,0
MEMX.US,D,20230307,000000,25.51,25.51,25.1252,25.1359,3650,0
MEMX.US,D,20230308,000000,25.3499,25.3499,25.225,25.3133,4164,0
MEMX.US,D,20230309,000000,24.985,25.0191,24.7916,24.7916,2734,0
MEMX.US,D,20230310,000000,24.78,24.78,24.545,24.5461,1628,0
MEMX.US,D,20230313,000000,24.0851,24.42,24.08,24.243,3063,0
MEMX.US,D,20230314,000000,24.54,24.55,24.3806,24.4633,6518,0
MEMX.US,D,20230315,000000,23.92,23.92,23.735,23.811,4255,0
MEMX.US,D,20230316,000000,23.7999,24.2545,23.7999,24.2545,633,0
MEMX.US,D,20230317,000000,24.05,24.05,23.9663,23.9663,671,0
MEMX.US,D,20230320,000000,23.98,24.1292,23.98,24.0782,1707,0
MEMX.US,D,20230321,000000,24.369,24.39,24.35,24.3509,4930,0
MEMX.US,D,20230322,000000,24.4241,24.4241,24.3382,24.3382,775,0
MEMX.US,D,20230323,000000,24.35,24.52,24.27,24.3469,1159,0
MEMX.US,D,20230324,000000,24.18,24.3199,24.13,24.2765,3254,0
MEMX.US,D,20230327,000000,24.45,24.47,24.3969,24.3993,7977,0
