<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATEK.US,D,20220204,000000,9.97,9.97,9.97,9.97,121,0
ATEK.US,D,20220209,000000,9.97,9.97,9.76,9.76,1173,0
ATEK.US,D,20220211,000000,9.76,9.76,9.76,9.76,105,0
ATEK.US,D,20220217,000000,9.76,9.76,9.76,9.76,149,0
ATEK.US,D,20220222,000000,9.92,9.92,9.76,9.76,302,0
ATEK.US,D,20220225,000000,9.76,9.76,9.76,9.76,1167,0
ATEK.US,D,20220228,000000,9.78,9.78,9.76,9.76,2009,0
ATEK.US,D,20220303,000000,9.75,9.75,9.75,9.75,505,0
ATEK.US,D,20220309,000000,9.76,9.76,9.75,9.75,6059,0
ATEK.US,D,20220316,000000,9.76,9.78,9.75,9.78,28761,0
ATEK.US,D,20220321,000000,9.7,9.7,9.7,9.7,105,0
ATEK.US,D,20220325,000000,9.82,9.82,9.76,9.79,518711,0
ATEK.US,D,20220328,000000,9.84,9.84,9.78,9.78,1358,0
ATEK.US,D,20220329,000000,9.78,9.78,9.78,9.78,61002,0
ATEK.US,D,20220330,000000,9.785,9.785,9.77,9.78,49816,0
ATEK.US,D,20220401,000000,9.78,9.79,9.77,9.79,185993,0
ATEK.US,D,20220404,000000,9.83,9.83,9.78,9.8,123223,0
ATEK.US,D,20220405,000000,9.83,9.83,9.77,9.77,31048,0
ATEK.US,D,20220406,000000,9.78,9.83,9.78,9.83,153174,0
ATEK.US,D,20220407,000000,9.79,9.79,9.79,9.79,100,0
ATEK.US,D,20220408,000000,9.8,9.8,9.79,9.79,500,0
ATEK.US,D,20220411,000000,9.79,9.83,9.79,9.83,432,0
ATEK.US,D,20220412,000000,9.85,9.85,9.8,9.8,10622,0
ATEK.US,D,20220413,000000,9.8,9.8,9.8,9.8,15077,0
ATEK.US,D,20220414,000000,9.8,9.8,9.8,9.8,608611,0
ATEK.US,D,20220418,000000,9.82,9.82,9.8,9.82,6342,0
ATEK.US,D,20220419,000000,9.8,9.82,9.8,9.82,10138,0
ATEK.US,D,20220420,000000,9.82,9.82,9.81,9.82,296303,0
ATEK.US,D,20220428,000000,9.88,9.88,9.88,9.88,111,0
ATEK.US,D,20220502,000000,9.835,9.835,9.835,9.835,1705,0
ATEK.US,D,20220510,000000,9.84,9.84,9.84,9.84,202,0
ATEK.US,D,20220511,000000,9.79,9.79,9.79,9.79,796,0
ATEK.US,D,20220516,000000,9.8166,9.8166,9.8166,9.8166,557,0
ATEK.US,D,20220520,000000,9.7916,9.7916,9.7916,9.7916,1200,0
ATEK.US,D,20220531,000000,9.76,9.9,9.76,9.77,126135,0
ATEK.US,D,20220601,000000,9.7992,9.7992,9.7992,9.7992,545,0
ATEK.US,D,20220603,000000,9.81,9.81,9.78,9.78,518,0
ATEK.US,D,20220607,000000,9.78,9.79,9.78,9.79,208,0
ATEK.US,D,20220608,000000,9.83,9.83,9.79,9.79,506,0
ATEK.US,D,20220610,000000,9.8,9.8,9.79,9.79,204,0
ATEK.US,D,20220613,000000,9.79,9.81,9.79,9.81,4742,0
ATEK.US,D,20220616,000000,9.79,9.79,9.79,9.79,607,0
ATEK.US,D,20220617,000000,9.81,9.81,9.79,9.79,1015,0
ATEK.US,D,20220621,000000,9.78,9.78,9.78,9.78,900000,0
ATEK.US,D,20220622,000000,9.79,9.79,9.79,9.79,100,0
ATEK.US,D,20220624,000000,9.9,9.9,9.85,9.85,255,0
ATEK.US,D,20220628,000000,9.81,9.81,9.81,9.81,100,0
ATEK.US,D,20220630,000000,9.8,9.85,9.8,9.8,850,0
ATEK.US,D,20220705,000000,9.825,9.825,9.825,9.825,286979,0
ATEK.US,D,20220713,000000,9.83,9.83,9.83,9.83,2118,0
ATEK.US,D,20220714,000000,9.83,9.83,9.83,9.83,12919,0
ATEK.US,D,20220715,000000,9.83,9.83,9.83,9.83,76711,0
ATEK.US,D,20220718,000000,9.83,9.83,9.83,9.83,25009,0
ATEK.US,D,20220719,000000,9.83,9.83,9.83,9.83,25137,0
ATEK.US,D,20220720,000000,9.82,9.82,9.82,9.82,875,0
ATEK.US,D,20220721,000000,9.82,9.82,9.82,9.82,10915,0
ATEK.US,D,20220722,000000,9.83,9.84,9.83,9.83,1925199,0
ATEK.US,D,20220725,000000,9.85,9.85,9.85,9.85,167962,0
ATEK.US,D,20220726,000000,9.84,9.84,9.84,9.84,100,0
ATEK.US,D,20220727,000000,9.86,9.88,9.83,9.83,2580,0
ATEK.US,D,20220729,000000,9.83,9.83,9.83,9.83,110,0
ATEK.US,D,20220801,000000,9.83,9.83,9.83,9.83,100,0
ATEK.US,D,20220803,000000,9.93,9.93,9.86,9.865,62420,0
ATEK.US,D,20220804,000000,9.875,9.89,9.87,9.89,46559,0
ATEK.US,D,20220805,000000,9.89,9.89,9.89,9.89,18531,0
