<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUBS.US,D,20230615,000000,25.2671,25.3435,25.2671,25.3435,222,0
DUBS.US,D,20230616,000000,25.375,25.3793,25.2642,25.2642,880,0
DUBS.US,D,20230620,000000,25.1492,25.1492,25.1492,25.1492,2,0
DUBS.US,D,20230621,000000,25.0036,25.0036,25.0036,25.0036,1,0
DUBS.US,D,20230622,000000,25.04,25.11,25.04,25.0858,659,0
DUBS.US,D,20230623,000000,24.9212,24.9212,24.9212,24.9212,4,0
DUBS.US,D,20230626,000000,24.797,24.797,24.797,24.797,4,0
DUBS.US,D,20230627,000000,24.8728,25.0795,24.8728,25.0795,103,0
DUBS.US,D,20230628,000000,25.07,25.07,25.0543,25.0543,124,0
DUBS.US,D,20230629,000000,25.1647,25.1647,25.1647,25.1647,1,0
DUBS.US,D,20230630,000000,25.48,25.5148,25.48,25.5148,169,0
DUBS.US,D,20230703,000000,25.5261,25.5261,25.5261,25.5261,23,0
DUBS.US,D,20230705,000000,25.4852,25.4852,25.4852,25.4852,4,0
DUBS.US,D,20230706,000000,25.2739,25.2739,25.2739,25.2739,1,0
DUBS.US,D,20230707,000000,25.3889,25.3889,25.2083,25.2083,850,0
DUBS.US,D,20230710,000000,25.2447,25.2447,25.2447,25.2447,4,0
DUBS.US,D,20230711,000000,25.28,25.4407,25.2687,25.4407,202,0
DUBS.US,D,20230712,000000,25.6295,25.6295,25.6295,25.6295,4,0
DUBS.US,D,20230713,000000,25.839,25.8778,25.839,25.8778,5600,0
DUBS.US,D,20230714,000000,25.8311,25.8311,25.8311,25.8311,4,0
DUBS.US,D,20230717,000000,25.9557,25.9557,25.9557,25.9557,4,0
DUBS.US,D,20230718,000000,26.135,26.1455,26.135,26.1455,100,0
DUBS.US,D,20230719,000000,26.1951,26.1951,26.1951,26.1951,4,0
DUBS.US,D,20230720,000000,25.998,25.998,25.998,25.998,4,0
DUBS.US,D,20230721,000000,26.0105,26.0105,26.0105,26.0105,4,0
DUBS.US,D,20230724,000000,26.13,26.13,26.086,26.086,100,0
DUBS.US,D,20230725,000000,26.2,26.2,26.1744,26.1917,1790,0
DUBS.US,D,20230726,000000,26.14,26.19,26.13,26.1431,137598,0
DUBS.US,D,20230727,000000,26.33,26.34,26,26.0006,200675,0
DUBS.US,D,20230728,000000,26.2754,26.2754,26.269,26.2721,165005,0
DUBS.US,D,20230731,000000,26.25,26.291,26.25,26.291,357775,0
DUBS.US,D,20230801,000000,26.28,26.28,26.2299,26.2654,222414,0
DUBS.US,D,20230802,000000,25.9053,25.93,25.855,25.882,1164298,0
DUBS.US,D,20230803,000000,25.79,26.28,25.7441,25.855,284771,0
DUBS.US,D,20230804,000000,25.97,25.97,25.68,25.68,104257,0
