<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESACW.US,D,20211214,000000,0.5,0.55,0.49,0.5381,52537,0
ESACW.US,D,20211215,000000,0.65,0.65,0.4612,0.5,12474,0
ESACW.US,D,20211216,000000,0.5,0.52,0.4711,0.49,20590,0
ESACW.US,D,20211217,000000,0.487484,0.49,0.48,0.49,57350,0
ESACW.US,D,20211220,000000,0.53,0.55,0.53,0.53,2750,0
ESACW.US,D,20211222,000000,0.5,0.5,0.5,0.5,100,0
ESACW.US,D,20211223,000000,0.5,0.5,0.488,0.4888,5125,0
ESACW.US,D,20211227,000000,0.5,0.5,0.4999,0.4999,210500,0
ESACW.US,D,20211228,000000,0.4999,0.4999,0.4999,0.4999,1900,0
ESACW.US,D,20211229,000000,0.5,0.5,0.4999,0.4999,1300,0
ESACW.US,D,20211230,000000,0.4999,0.4999,0.4999,0.4999,100,0
ESACW.US,D,20211231,000000,0.5,0.5,0.4999,0.4999,1450,0
ESACW.US,D,20220103,000000,0.4998,0.4998,0.4898,0.4898,59800,0
ESACW.US,D,20220104,000000,0.4898,0.4898,0.4501,0.4891,7801,0
ESACW.US,D,20220105,000000,0.4891,0.4891,0.46,0.4755,78699,0
ESACW.US,D,20220106,000000,0.4756,0.4757,0.4501,0.4685,84704,0
ESACW.US,D,20220107,000000,0.48,0.48,0.4673,0.4678,5551,0
ESACW.US,D,20220110,000000,0.47,0.47,0.45,0.4671,7398,0
ESACW.US,D,20220111,000000,0.47,0.47,0.4671,0.47,69900,0
ESACW.US,D,20220112,000000,0.48,0.48,0.48,0.48,998,0
ESACW.US,D,20220114,000000,0.4669,0.4669,0.45,0.45,39121,0
ESACW.US,D,20220119,000000,0.4602,0.4602,0.4198,0.4198,245751,0
ESACW.US,D,20220120,000000,0.4299,0.4299,0.4297,0.4297,500,0
ESACW.US,D,20220121,000000,0.41,0.41,0.3407,0.35,41275,0
ESACW.US,D,20220124,000000,0.3401,0.3452,0.34,0.3452,16700,0
ESACW.US,D,20220125,000000,0.35,0.36,0.3,0.35,112896,0
ESACW.US,D,20220126,000000,0.3499,0.3599,0.3499,0.35,25708,0
ESACW.US,D,20220127,000000,0.3499,0.35,0.3499,0.35,15467,0
ESACW.US,D,20220128,000000,0.330001,0.330001,0.330001,0.330001,1101,0
ESACW.US,D,20220131,000000,0.33,0.35,0.3299,0.35,13095,0
ESACW.US,D,20220201,000000,0.3549,0.3549,0.33,0.35,19031,0
ESACW.US,D,20220207,000000,0.300201,0.3499,0.300201,0.32,56717,0
ESACW.US,D,20220208,000000,0.3799,0.38,0.2803,0.3,33342,0
ESACW.US,D,20220209,000000,0.28,0.28,0.28,0.28,259616,0
ESACW.US,D,20220210,000000,0.2803,0.2803,0.21,0.2501,67066,0
ESACW.US,D,20220211,000000,0.289951,0.29,0.26,0.28,24316,0
ESACW.US,D,20220214,000000,0.29,0.32,0.2601,0.2601,12516,0
ESACW.US,D,20220216,000000,0.2401,0.294951,0.24,0.270001,2490,0
ESACW.US,D,20220218,000000,0.27,0.3199,0.27,0.3199,1402,0
ESACW.US,D,20220223,000000,0.3097,0.3097,0.3097,0.3097,200,0
ESACW.US,D,20220224,000000,0.28,0.3199,0.2601,0.2601,700,0
ESACW.US,D,20220225,000000,0.3099,0.3099,0.3099,0.3099,200,0
ESACW.US,D,20220228,000000,0.3099,0.3099,0.3099,0.3099,400,0
ESACW.US,D,20220301,000000,0.2851,0.299435,0.2851,0.299435,410,0
ESACW.US,D,20220302,000000,0.285001,0.3099,0.285001,0.3099,300,0
ESACW.US,D,20220303,000000,0.2971,0.3,0.2504,0.3,14675,0
ESACW.US,D,20220304,000000,0.3,0.3,0.3,0.3,200,0
ESACW.US,D,20220307,000000,0.2999,0.3,0.2999,0.3,600,0
ESACW.US,D,20220308,000000,0.3,0.3,0.3,0.3,400,0
ESACW.US,D,20220309,000000,0.2999,0.2999,0.2999,0.2999,800,0
ESACW.US,D,20220310,000000,0.2999,0.3,0.2999,0.3,600,0
ESACW.US,D,20220311,000000,0.3,0.3,0.3,0.3,400,0
ESACW.US,D,20220314,000000,0.2999,0.3,0.2401,0.2999,2800,0
ESACW.US,D,20220315,000000,0.2719,0.3,0.2701,0.2701,2700,0
ESACW.US,D,20220316,000000,0.289535,0.289535,0.27,0.27,1300,0
ESACW.US,D,20220317,000000,0.29,0.29,0.27,0.272,4462,0
