<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTAIP.US,D,20220427,000000,24.12,24.5362,24.12,24.2,6110,0
FTAIP.US,D,20220428,000000,24.39,24.9,24.2,24.85,16378,0
FTAIP.US,D,20220429,000000,24.65,24.7922,24,24.07,16263,0
FTAIP.US,D,20220502,000000,24.16,24.3,23.43,23.43,9604,0
FTAIP.US,D,20220503,000000,23.74,23.8,23.6,23.6363,16966,0
FTAIP.US,D,20220504,000000,23.8,24.02,23.8,23.97,2830,0
FTAIP.US,D,20220505,000000,23.95,24.14,23.65,23.98,9371,0
FTAIP.US,D,20220506,000000,23.96,24,23.6512,23.72,21869,0
FTAIP.US,D,20220509,000000,24.25,24.35,24,24.1,89206,0
FTAIP.US,D,20220510,000000,24.207,24.63,24,24.33,50625,0
FTAIP.US,D,20220511,000000,24.3,24.63,24.2,24.315,12205,0
FTAIP.US,D,20220512,000000,24.395,24.395,24,24.2699,9249,0
FTAIP.US,D,20220513,000000,24.33,24.6,24,24.38,13987,0
FTAIP.US,D,20220516,000000,24.74,24.74,24.175,24.2,3477,0
FTAIP.US,D,20220517,000000,24.19,24.3,24.12,24.15,10322,0
FTAIP.US,D,20220518,000000,24.22,24.315,24.12,24.24,13932,0
FTAIP.US,D,20220519,000000,24.17,24.47,24.11,24.272,4824,0
FTAIP.US,D,20220520,000000,24.15,24.31,23.8,24.01,19551,0
FTAIP.US,D,20220523,000000,24.3558,24.3558,23.81,23.92,11585,0
FTAIP.US,D,20220524,000000,23.95,24.25,23.8,24.18,7859,0
FTAIP.US,D,20220525,000000,24.25,24.3973,24.0092,24.33,12063,0
FTAIP.US,D,20220526,000000,24.4,24.475,24.13,24.45,3317,0
FTAIP.US,D,20220527,000000,24.37,25.16,24.21,25.045,10673,0
FTAIP.US,D,20220531,000000,24.63,25.27,23.85,25.27,18890,0
FTAIP.US,D,20220601,000000,25.2,25.38,25.01,25.25,15490,0
FTAIP.US,D,20220602,000000,25.02,25.15,24.8,25.11,11486,0
FTAIP.US,D,20220603,000000,25,25,24.56,24.95,5219,0
FTAIP.US,D,20220606,000000,24.8999,24.8999,24.4466,24.78,38539,0
FTAIP.US,D,20220607,000000,24.56,24.7,24.56,24.7,998,0
FTAIP.US,D,20220608,000000,24.535,24.72,24.535,24.65,3036,0
FTAIP.US,D,20220609,000000,24.64,24.69,24.564,24.69,1690,0
FTAIP.US,D,20220610,000000,24.68,24.68,24.01,24.33,6641,0
FTAIP.US,D,20220613,000000,24.13,24.1815,23.21,23.63,13272,0
FTAIP.US,D,20220614,000000,23.3846,24.18,22.98,23.34,11813,0
FTAIP.US,D,20220615,000000,23.38,24.39,22.6022,23,1299,0
FTAIP.US,D,20220616,000000,22.6991,23.4,21.43,22.19,16144,0
FTAIP.US,D,20220617,000000,22.15,22.445,21.22,21.81,28869,0
FTAIP.US,D,20220621,000000,21.99,22.63,21.99,22.34,19008,0
FTAIP.US,D,20220622,000000,22.5,22.65,22.46,22.65,6776,0
FTAIP.US,D,20220623,000000,22.25,22.25,22.07,22.21,10010,0
FTAIP.US,D,20220624,000000,21.94,22.64,21.93,22.5292,22782,0
FTAIP.US,D,20220627,000000,22.5,22.5899,22.05,22.53,3925,0
FTAIP.US,D,20220629,000000,22.06,22.09,21.32,21.74,35741,0
