<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLAC.US,D,20230322,000000,10.11,10.11,10.1,10.1,139600,0
BLAC.US,D,20230323,000000,10.11,10.11,10.1,10.1,111291,0
BLAC.US,D,20230324,000000,10.1,10.11,10.1,10.11,916,0
BLAC.US,D,20230327,000000,10.13,10.13,10.11,10.11,11166,0
BLAC.US,D,20230328,000000,10.11,10.11,10.1,10.1,9295,0
BLAC.US,D,20230329,000000,10.095,10.1,10.09,10.1,126373,0
BLAC.US,D,20230330,000000,10.095,10.095,10.09,10.09,118300,0
BLAC.US,D,20230331,000000,10.09,10.1,10.09,10.1,91224,0
BLAC.US,D,20230403,000000,10.12,10.12,10.09,10.0984,52879,0
BLAC.US,D,20230404,000000,10.1,10.11,10.09,10.09,23357,0
BLAC.US,D,20230405,000000,10.11,10.11,10.1,10.1,90502,0
BLAC.US,D,20230406,000000,10.1,10.1,10.1,10.1,821,0
BLAC.US,D,20230411,000000,10.11,10.11,10.11,10.11,950,0
BLAC.US,D,20230412,000000,10.115,10.115,10.11,10.11,47922,0
BLAC.US,D,20230413,000000,10.11,10.11,10.11,10.11,1618,0
BLAC.US,D,20230417,000000,10.11,10.11,10.11,10.11,816,0
BLAC.US,D,20230419,000000,10.11,10.11,10.11,10.11,600,0
BLAC.US,D,20230420,000000,10.12,10.13,10.115,10.13,11017,0
BLAC.US,D,20230427,000000,10.11,10.13,10.11,10.11,1004,0
BLAC.US,D,20230501,000000,10.13,10.13,10.13,10.13,5083,0
BLAC.US,D,20230502,000000,10.13,10.13,10.13,10.13,2360,0
BLAC.US,D,20230503,000000,10.145,10.3,10.14,10.14,18924,0
BLAC.US,D,20230504,000000,10.14,10.16,10.14,10.16,300,0
BLAC.US,D,20230505,000000,10.13,10.525,10.13,10.145,10592,0
BLAC.US,D,20230508,000000,10.15,10.16,10.15,10.15,1076,0
BLAC.US,D,20230509,000000,10.15,10.15,10.15,10.15,2099,0
BLAC.US,D,20230510,000000,10.15,10.15,10.15,10.15,983,0
BLAC.US,D,20230515,000000,10.18,10.18,10.18,10.18,68738,0
BLAC.US,D,20230516,000000,10.18,10.18,10.18,10.18,1343,0
BLAC.US,D,20230517,000000,10.18,10.18,10.18,10.18,225,0
BLAC.US,D,20230518,000000,10.2,10.2,10.2,10.2,2174,0
BLAC.US,D,20230519,000000,10.17,10.1871,10.17,10.17,10446,0
BLAC.US,D,20230522,000000,10.19,10.1933,10.19,10.19,18928,0
BLAC.US,D,20230523,000000,10.195,10.2,10.195,10.2,4560,0
BLAC.US,D,20230524,000000,10.19,10.22,10.18,10.22,53347,0
BLAC.US,D,20230525,000000,10.19,10.33,10.18,10.18,28665,0
BLAC.US,D,20230526,000000,10.2,10.2,10.19,10.19,392,0
BLAC.US,D,20230530,000000,10.185,10.185,10.185,10.185,144,0
BLAC.US,D,20230601,000000,10.19,10.705,10.19,10.23,2807,0
BLAC.US,D,20230605,000000,10.19,10.25,10.19,10.25,2166,0
BLAC.US,D,20230606,000000,10.19,10.2,10.19,10.2,342,0
BLAC.US,D,20230607,000000,10.22,10.22,10.2,10.2,1092,0
BLAC.US,D,20230608,000000,10.345,10.345,10.2,10.2175,1118,0
BLAC.US,D,20230609,000000,10.2,10.2,10.2,10.2,109,0
BLAC.US,D,20230612,000000,10.21,10.21,10.21,10.21,28093,0
BLAC.US,D,20230616,000000,10.21,10.35,10.21,10.35,900,0
BLAC.US,D,20230620,000000,10.21,10.25,10.21,10.24,31616,0
BLAC.US,D,20230621,000000,10.25,10.25,10.24,10.2499,2075,0
BLAC.US,D,20230623,000000,10.24,10.24,10.24,10.24,695,0
BLAC.US,D,20230626,000000,10.25,10.26,10.25,10.26,5604,0
BLAC.US,D,20230627,000000,10.25,10.25,10.25,10.25,200,0
BLAC.US,D,20230628,000000,10.26,10.26,10.26,10.26,101,0
BLAC.US,D,20230629,000000,10.26,10.26,10.26,10.26,50100,0
BLAC.US,D,20230630,000000,10.261,10.261,10.26,10.2601,300,0
BLAC.US,D,20230705,000000,10.26,10.26,10.26,10.26,175000,0
BLAC.US,D,20230711,000000,10.26,10.27,10.26,10.27,9786,0
BLAC.US,D,20230712,000000,10.34,10.34,10.34,10.34,105,0
BLAC.US,D,20230713,000000,10.31,10.31,10.27,10.27,307,0
BLAC.US,D,20230717,000000,10.3,10.3,10.3,10.3,900,0
BLAC.US,D,20230724,000000,10.39,10.39,10.3,10.3,419,0
BLAC.US,D,20230726,000000,10.3127,10.3127,10.3127,10.3127,105,0
BLAC.US,D,20230803,000000,10.32,10.32,10.32,10.32,100,0
BLAC.US,D,20230804,000000,10.32,10.32,10.32,10.32,100,0
