<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BYNO.US,D,20220406,000000,9.918,9.918,9.918,9.918,112,0
BYNO.US,D,20220407,000000,9.901,9.91,9.901,9.91,2988,0
BYNO.US,D,20220408,000000,9.91,9.91,9.89,9.9,9983,0
BYNO.US,D,20220411,000000,9.93,9.93,9.915,9.93,1499,0
BYNO.US,D,20220414,000000,9.93,9.93,9.93,9.93,6575,0
BYNO.US,D,20220427,000000,9.95,9.95,9.95,9.95,300,0
BYNO.US,D,20220428,000000,9.94,9.98,9.94,9.98,33600,0
BYNO.US,D,20220503,000000,9.94,9.94,9.94,9.94,24519,0
BYNO.US,D,20220509,000000,9.98,9.98,9.94,9.94,4125,0
BYNO.US,D,20220510,000000,9.97,9.97,9.94,9.94,9250,0
BYNO.US,D,20220511,000000,9.92,9.92,9.92,9.92,5100,0
BYNO.US,D,20220512,000000,9.9452,9.9452,9.9,9.9,506405,0
BYNO.US,D,20220513,000000,9.9,9.9,9.9,9.9,381,0
BYNO.US,D,20220516,000000,9.9,9.94,9.9,9.9,71681,0
BYNO.US,D,20220517,000000,9.91,9.91,9.9,9.9,1262,0
BYNO.US,D,20220518,000000,9.9,9.95,9.9,9.95,294070,0
BYNO.US,D,20220523,000000,9.9,10.04,9.9,10.04,219640,0
BYNO.US,D,20220527,000000,9.9,9.9,9.9,9.9,100,0
BYNO.US,D,20220602,000000,9.99,10.05,9.92,9.92,550,0
BYNO.US,D,20220608,000000,9.93,9.95,9.93,9.93,28262,0
BYNO.US,D,20220614,000000,9.99,9.99,9.99,9.99,177,0
BYNO.US,D,20220616,000000,9.94,9.94,9.94,9.94,337,0
BYNO.US,D,20220617,000000,9.97,10.12,9.9699,10,20701,0
BYNO.US,D,20220627,000000,9.96,9.96,9.95,9.95,201,0
BYNO.US,D,20220629,000000,9.91,9.91,9.91,9.91,100,0
BYNO.US,D,20220701,000000,9.92,9.92,9.92,9.92,400,0
BYNO.US,D,20220705,000000,9.925,9.925,9.925,9.925,479502,0
BYNO.US,D,20220707,000000,9.93,9.93,9.93,9.93,500,0
BYNO.US,D,20220711,000000,9.95,9.95,9.95,9.95,100,0
BYNO.US,D,20220714,000000,9.98,9.98,9.98,9.98,603,0
BYNO.US,D,20220715,000000,9.98,10.07,9.94,9.94,11196,0
BYNO.US,D,20220718,000000,9.99,9.99,9.99,9.99,853,0
BYNO.US,D,20220720,000000,9.98,9.98,9.98,9.98,100,0
BYNO.US,D,20220721,000000,9.98,10.1,9.94,9.97,4539,0
BYNO.US,D,20220722,000000,9.97,10.01,9.96,9.96,449308,0
BYNO.US,D,20220728,000000,9.97,9.97,9.95,9.97,8817,0
BYNO.US,D,20220801,000000,10.0199,10.02,10.0199,10.02,698,0
BYNO.US,D,20220810,000000,9.9601,9.97,9.9601,9.97,319,0
BYNO.US,D,20220811,000000,9.97,9.97,9.97,9.97,163,0
BYNO.US,D,20220815,000000,10,10,10,10,141,0
BYNO.US,D,20220816,000000,10,10,10,10,112,0
BYNO.US,D,20220818,000000,9.98,9.98,9.98,9.98,826,0
BYNO.US,D,20220824,000000,10,10,10,10,100,0
BYNO.US,D,20220829,000000,10,10,10,10,110,0
BYNO.US,D,20220906,000000,9.98,10,9.98,10,402,0
BYNO.US,D,20220908,000000,9.97,9.97,9.94,9.97,25429,0
BYNO.US,D,20220912,000000,10.01,10.02,10,10,1298,0
BYNO.US,D,20220916,000000,9.95,9.97,9.935,9.97,5557,0
BYNO.US,D,20220920,000000,9.96,9.97,9.95,9.97,4600,0
BYNO.US,D,20220923,000000,9.99,9.99,9.99,9.99,44901,0
BYNO.US,D,20220926,000000,10,10.02,10,10.01,3600,0
BYNO.US,D,20220927,000000,10,10.01,10,10,1603,0
BYNO.US,D,20220928,000000,10.05,10.05,10.05,10.05,500,0
BYNO.US,D,20220929,000000,10,10,10,10,4850,0
BYNO.US,D,20220930,000000,10.05,10.05,10.05,10.05,44043,0
BYNO.US,D,20221004,000000,10.015,10.015,10.015,10.015,996,0
BYNO.US,D,20221005,000000,9.98,9.98,9.97,9.97,1761,0
BYNO.US,D,20221011,000000,10.03,10.03,10.01,10.01,995,0
BYNO.US,D,20221012,000000,10.005,10.03,10,10.03,1196,0
BYNO.US,D,20221018,000000,10.06,10.06,10.06,10.06,400,0
BYNO.US,D,20221021,000000,10.01,10.01,10.01,10.01,100,0
BYNO.US,D,20221025,000000,10.005,10.01,10,10.01,46300,0
BYNO.US,D,20221026,000000,9.99,10.04,9.99,10.04,21401,0
BYNO.US,D,20221027,000000,10,10.02,9.99,10,223011,0
BYNO.US,D,20221101,000000,10.04,10.04,10.04,10.04,22536,0
BYNO.US,D,20221107,000000,10,10,10,10,100,0
BYNO.US,D,20221109,000000,10.12,10.12,10.12,10.12,100,0
BYNO.US,D,20221110,000000,10.1,10.1,10.1,10.1,100,0
BYNO.US,D,20221111,000000,10.1,10.1,10.1,10.1,100,0
BYNO.US,D,20221114,000000,10.11,10.11,10.11,10.11,100,0
BYNO.US,D,20221115,000000,10.11,10.11,10.11,10.11,100,0
BYNO.US,D,20221116,000000,10.09,10.11,10.09,10.1,3235,0
BYNO.US,D,20221121,000000,10.01,10.01,10.01,10.01,102,0
BYNO.US,D,20221122,000000,10.07,10.07,10.07,10.07,1004,0
BYNO.US,D,20221201,000000,10.08,10.08,10.08,10.08,500,0
BYNO.US,D,20221202,000000,10.08,10.11,10.08,10.08,1762,0
BYNO.US,D,20221208,000000,10.09,10.09,10.06,10.06,2832,0
BYNO.US,D,20221209,000000,10.06,10.06,10.06,10.06,2450,0
BYNO.US,D,20221214,000000,10.1,10.11,10.1,10.11,4280,0
BYNO.US,D,20221223,000000,10.15,10.15,10.15,10.15,100,0
BYNO.US,D,20221227,000000,10.15,10.15,10.15,10.15,100,0
BYNO.US,D,20221228,000000,10.15,10.21,10.15,10.21,600,0
BYNO.US,D,20221229,000000,10.21,10.21,10.2,10.2,329,0
BYNO.US,D,20230104,000000,10.205,10.205,10.205,10.205,200,0
BYNO.US,D,20230105,000000,10.22,10.22,10.22,10.22,329,0
BYNO.US,D,20230106,000000,10.22,10.22,10.22,10.22,1419,0
BYNO.US,D,20230111,000000,10.22,10.22,10.22,10.22,1000,0
BYNO.US,D,20230112,000000,10.23,10.23,10.23,10.23,100,0
BYNO.US,D,20230113,000000,10.225,10.23,10.225,10.23,3853,0
BYNO.US,D,20230117,000000,10.225,10.23,10.22,10.23,5979,0
BYNO.US,D,20230118,000000,10.215,10.22,10.215,10.22,70597,0
BYNO.US,D,20230119,000000,10.24,10.26,10.24,10.26,210918,0
BYNO.US,D,20230123,000000,10.27,10.27,10.2575,10.26,500,0
BYNO.US,D,20230124,000000,10.265,10.265,10.26,10.26,1580,0
BYNO.US,D,20230126,000000,10.25,10.27,10.25,10.27,1175,0
BYNO.US,D,20230130,000000,10.27,10.27,10.27,10.27,4800,0
BYNO.US,D,20230202,000000,10.275,10.29,10.27,10.28,35458,0
BYNO.US,D,20230203,000000,10.28,10.285,10.28,10.285,36101,0
BYNO.US,D,20230206,000000,10.2814,10.295,10.2814,10.29,194731,0
