<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZVZZT.US,D,20220517,000000,10.02,10.22,9.99,10.02,561798,0
ZVZZT.US,D,20220518,000000,10.02,10.04,9.94,10.02,928332,0
ZVZZT.US,D,20220519,000000,10.02,10.22,9.99,10.02,518494,0
ZVZZT.US,D,20220520,000000,10.015,10.05,9.96,10.02,1520668,0
ZVZZT.US,D,20220523,000000,10.02,10.1,9.99,9.99,1236846,0
ZVZZT.US,D,20220524,000000,10,10.02,9.99,10.02,1050895,0
ZVZZT.US,D,20220525,000000,10.02,10.02,10,10.02,689134,0
ZVZZT.US,D,20220526,000000,10.02,10.02,9.99,10.02,1407184,0
ZVZZT.US,D,20220527,000000,10.02,10.2,10,10.02,877161,0
ZVZZT.US,D,20220531,000000,10.01,10.025,9.99,10.02,728955,0
ZVZZT.US,D,20220601,000000,10.02,10.04,10,10.02,850389,0
ZVZZT.US,D,20220602,000000,10.01,12.1,9.99,10,4137125,0
ZVZZT.US,D,20220603,000000,10.03,10.04,10.02,10.03,441507,0
ZVZZT.US,D,20220606,000000,10.015,10.03,10,10.03,699907,0
ZVZZT.US,D,20220607,000000,10.015,10.035,10,10.02,888011,0
ZVZZT.US,D,20220608,000000,10.02,10.07,9.9999,10,559623,0
ZVZZT.US,D,20220609,000000,10.02,10.03,10,10.02,778107,0
ZVZZT.US,D,20220610,000000,10.02,10.02,9.99,10.02,958518,0
ZVZZT.US,D,20220613,000000,10.015,10.02,9.99,9.99,1489750,0
ZVZZT.US,D,20220614,000000,10.02,10.03,10,10.02,446313,0
ZVZZT.US,D,20220615,000000,10.02,10.02,9.98,10.02,577809,0
ZVZZT.US,D,20220616,000000,10.02,10.02,9.99,10.02,754772,0
ZVZZT.US,D,20220617,000000,10.005,10.02,10,10.02,684799,0
ZVZZT.US,D,20220621,000000,10,10.1,9.99,10.02,735059,0
ZVZZT.US,D,20220622,000000,10.02,10.05,9.99,10,912739,0
