<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MARXU.US,D,20230214,000000,10.16,10.2,10.16,10.17,5048975,0
MARXU.US,D,20230215,000000,10.17,10.1816,10.17,10.17,96096,0
MARXU.US,D,20230216,000000,10.19,10.2,10.17,10.17,36503,0
MARXU.US,D,20230217,000000,10.17,10.185,10.17,10.18,28022,0
MARXU.US,D,20230221,000000,10.18,10.1835,10.18,10.18,1645,0
MARXU.US,D,20230222,000000,10.181,10.181,10.18,10.18,1303,0
MARXU.US,D,20230223,000000,10.16,10.18,10.16,10.1709,13763,0
MARXU.US,D,20230224,000000,10.17,10.2,10.17,10.17,223128,0
MARXU.US,D,20230227,000000,10.19,10.2,10.19,10.19,103438,0
MARXU.US,D,20230228,000000,10.19,10.19,10.185,10.19,99384,0
MARXU.US,D,20230301,000000,10.21,10.21,10.17,10.21,12653,0
MARXU.US,D,20230302,000000,10.21,10.21,10.21,10.21,12970,0
MARXU.US,D,20230308,000000,10.2,10.22,10.2,10.22,7704,0
MARXU.US,D,20230309,000000,10.23,10.43,10.2299,10.28,19254,0
MARXU.US,D,20230310,000000,10.2456,10.25,10.2456,10.25,2501,0
MARXU.US,D,20230313,000000,10.26,10.29,10.26,10.29,28011,0
MARXU.US,D,20230314,000000,10.4,10.4,10.31,10.36,71976,0
MARXU.US,D,20230315,000000,10.35,10.38,10.35,10.38,66810,0
MARXU.US,D,20230316,000000,10.38,10.38,10.35,10.35,800,0
MARXU.US,D,20230317,000000,10.34,10.359,10.34,10.359,600,0
MARXU.US,D,20230320,000000,10.35,10.355,10.33,10.355,608,0
MARXU.US,D,20230321,000000,10.355,10.38,10.355,10.38,455,0
MARXU.US,D,20230322,000000,10.3623,10.3623,10.32,10.33,5544,0
MARXU.US,D,20230330,000000,10.33,10.33,10.33,10.33,100,0
MARXU.US,D,20230404,000000,10.38,10.38,10.38,10.38,100,0
MARXU.US,D,20230405,000000,10.38,10.38,10.38,10.38,300,0
MARXU.US,D,20230406,000000,10.38,10.38,10.34,10.34,258,0
MARXU.US,D,20230410,000000,10.38,10.38,10.34,10.38,620,0
MARXU.US,D,20230411,000000,10.38,10.38,10.34,10.34,10587,0
MARXU.US,D,20230412,000000,10.4,10.4,10.35,10.35,4448,0
MARXU.US,D,20230413,000000,10.35,10.35,10.35,10.35,210,0
MARXU.US,D,20230414,000000,10.35,10.35,10.35,10.35,563,0
MARXU.US,D,20230424,000000,10.35,10.35,10.35,10.35,200,0
MARXU.US,D,20230425,000000,10.35,10.3591,10.35,10.35,848,0
MARXU.US,D,20230427,000000,10.39,10.39,10.39,10.39,464,0
MARXU.US,D,20230505,000000,10.37,10.37,10.37,10.37,7009,0
MARXU.US,D,20230508,000000,10.4,10.4,10.3999,10.3999,7269,0
MARXU.US,D,20230509,000000,10.41,10.5,10.39,10.39,3208,0
MARXU.US,D,20230515,000000,10.44,10.45,10.44,10.4452,1445,0
MARXU.US,D,20230517,000000,10.42,10.4692,10.42,10.4692,2348,0
MARXU.US,D,20230518,000000,10.579,11.51,10.42,10.58,1120,0
MARXU.US,D,20230519,000000,10.52,10.52,10.42,10.42,6804,0
MARXU.US,D,20230522,000000,10.42,10.43,10.42,10.43,150044,0
MARXU.US,D,20230523,000000,10.52,10.52,10.43,10.43,1972,0
MARXU.US,D,20230525,000000,10.45,10.845,10.45,10.845,638,0
MARXU.US,D,20230526,000000,10.49,10.49,10.45,10.45,726,0
MARXU.US,D,20230606,000000,10.48,10.48,10.48,10.48,100,0
MARXU.US,D,20230607,000000,10.48,10.48,10.48,10.48,100,0
MARXU.US,D,20230608,000000,10.51,10.51,10.51,10.51,100,0
MARXU.US,D,20230609,000000,10.48,10.48,10.48,10.48,100,0
MARXU.US,D,20230614,000000,10.85,10.85,10.85,10.85,481,0
MARXU.US,D,20230623,000000,10.76,10.76,10.76,10.76,177,0
MARXU.US,D,20230714,000000,10.56,10.56,10.56,10.56,288,0
