<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GHIXW.US,D,20220322,000000,0.674243,0.699899,0.674243,0.699899,1300,0
GHIXW.US,D,20220328,000000,0.7,0.74,0.6,0.74,68067,0
GHIXW.US,D,20220329,000000,0.74,0.75,0.65,0.65,83734,0
GHIXW.US,D,20220330,000000,0.67,0.67,0.67,0.67,83332,0
GHIXW.US,D,20220401,000000,0.75,0.75,0.75,0.75,100,0
GHIXW.US,D,20220407,000000,0.76,0.76,0.73,0.75,117133,0
GHIXW.US,D,20220408,000000,0.749899,0.75,0.7301,0.7301,351,0
GHIXW.US,D,20220412,000000,0.749899,0.749899,0.749899,0.749899,351,0
GHIXW.US,D,20220413,000000,0.72,0.72,0.72,0.72,310,0
GHIXW.US,D,20220414,000000,0.75,0.75,0.7,0.7,151696,0
GHIXW.US,D,20220418,000000,0.75,0.75,0.75,0.75,33201,0
GHIXW.US,D,20220419,000000,0.75,0.75,0.725,0.75,66717,0
GHIXW.US,D,20220420,000000,0.75,0.75,0.73,0.735,39200,0
GHIXW.US,D,20220425,000000,0.75,0.75,0.7,0.72,2366,0
GHIXW.US,D,20220426,000000,0.7201,0.7202,0.7,0.7,102016,0
GHIXW.US,D,20220428,000000,0.7,0.7,0.6702,0.6702,400,0
GHIXW.US,D,20220429,000000,0.7,0.7,0.7,0.7,251,0
GHIXW.US,D,20220504,000000,0.65,0.65,0.6,0.6,6002,0
GHIXW.US,D,20220505,000000,0.5401,0.6005,0.52,0.56,36743,0
GHIXW.US,D,20220506,000000,0.55,0.62,0.5251,0.619,50800,0
GHIXW.US,D,20220509,000000,0.5101,0.65,0.5101,0.65,350,0
GHIXW.US,D,20220510,000000,0.5,0.56,0.4881,0.52,330266,0
GHIXW.US,D,20220511,000000,0.55,0.55,0.5,0.5,64068,0
GHIXW.US,D,20220516,000000,0.46,0.46,0.46,0.46,200,0
GHIXW.US,D,20220517,000000,0.4699,0.479999,0.4698,0.479999,2400,0
GHIXW.US,D,20220518,000000,0.3434,0.4501,0.3434,0.4501,600,0
GHIXW.US,D,20220531,000000,0.5201,0.54895,0.47615,0.54895,344220,0
GHIXW.US,D,20220601,000000,0.51,0.5364,0.45,0.504,347967,0
GHIXW.US,D,20220602,000000,0.49,0.5099,0.49,0.5099,25396,0
GHIXW.US,D,20220603,000000,0.5,0.5,0.49,0.5,163949,0
GHIXW.US,D,20220606,000000,0.49,0.49,0.49,0.49,251,0
GHIXW.US,D,20220610,000000,0.48,0.48,0.48,0.48,37450,0
GHIXW.US,D,20220614,000000,0.49,0.49,0.49,0.49,101,0
GHIXW.US,D,20220615,000000,0.49,0.49,0.49,0.49,1766,0
GHIXW.US,D,20220617,000000,0.499799,0.499799,0.49,0.49,1202,0
GHIXW.US,D,20220621,000000,0.49,0.5,0.49,0.5,220601,0
GHIXW.US,D,20220623,000000,0.49,0.4901,0.48,0.48,70299,0
GHIXW.US,D,20220627,000000,0.4901,0.4901,0.49,0.49,586664,0
GHIXW.US,D,20220706,000000,0.4899,0.49,0.4899,0.49,110000,0
GHIXW.US,D,20220707,000000,0.48,0.49,0.48,0.49,81536,0
GHIXW.US,D,20220711,000000,0.49,0.49,0.49,0.49,2001,0
GHIXW.US,D,20220712,000000,0.49,0.49,0.49,0.49,1843,0
GHIXW.US,D,20220713,000000,0.5,0.5,0.45,0.45,26355,0
GHIXW.US,D,20220718,000000,0.45,0.4501,0.45,0.4501,2879,0
GHIXW.US,D,20220721,000000,0.4999,0.4999,0.4459,0.4459,95767,0
GHIXW.US,D,20220722,000000,0.45,0.45,0.425,0.425,1649,0
GHIXW.US,D,20220726,000000,0.44,0.45,0.42,0.42,63951,0
GHIXW.US,D,20220801,000000,0.44,0.44,0.44,0.44,333,0
GHIXW.US,D,20220803,000000,0.44,0.44,0.44,0.44,1036,0
GHIXW.US,D,20220808,000000,0.42,0.42,0.4,0.4024,89760,0
GHIXW.US,D,20220809,000000,0.4005,0.41,0.4,0.4,116568,0
GHIXW.US,D,20220810,000000,0.4,0.4,0.4,0.4,100,0
GHIXW.US,D,20220811,000000,0.4,0.4,0.4,0.4,111,0
GHIXW.US,D,20220812,000000,0.4,0.4,0.4,0.4,642,0
GHIXW.US,D,20220815,000000,0.41,0.41,0.41,0.41,110,0
GHIXW.US,D,20220816,000000,0.41,0.41,0.4,0.4,14876,0
GHIXW.US,D,20220817,000000,0.42,0.42,0.42,0.42,12901,0
GHIXW.US,D,20220818,000000,0.41,0.41,0.41,0.41,2110,0
GHIXW.US,D,20220822,000000,0.39,0.39,0.39,0.39,20000,0
GHIXW.US,D,20220826,000000,0.4,0.4,0.35,0.36,4250,0
GHIXW.US,D,20220829,000000,0.35,0.39,0.35,0.39,10578,0
GHIXW.US,D,20220830,000000,0.39,0.39,0.39,0.39,3300,0
GHIXW.US,D,20220902,000000,0.3832,0.3832,0.3816,0.3832,4899,0
GHIXW.US,D,20220906,000000,0.3899,0.3899,0.3699,0.3899,2767,0
GHIXW.US,D,20220908,000000,0.39,0.39,0.3514,0.3514,1917,0
GHIXW.US,D,20220915,000000,0.3317,0.3317,0.3,0.3,2972,0
GHIXW.US,D,20220916,000000,0.380999,0.380999,0.380999,0.380999,1000,0
GHIXW.US,D,20220920,000000,0.35,0.35,0.35,0.35,161,0
GHIXW.US,D,20220921,000000,0.35,0.35,0.35,0.35,100,0
GHIXW.US,D,20220926,000000,0.335449,0.335449,0.335449,0.335449,400,0
GHIXW.US,D,20220930,000000,0.3499,0.3499,0.3459,0.3459,200,0
GHIXW.US,D,20221003,000000,0.35,0.35,0.35,0.35,100,0
GHIXW.US,D,20221010,000000,0.3,0.3,0.274899,0.2998,3950,0
GHIXW.US,D,20221011,000000,0.2597,0.26,0.25,0.2501,900,0
GHIXW.US,D,20221018,000000,0.27,0.27,0.25,0.26,201412,0
GHIXW.US,D,20221021,000000,0.18,0.195,0.17,0.195,4234,0
GHIXW.US,D,20221028,000000,0.225,0.225,0.225,0.225,423367,0
GHIXW.US,D,20221101,000000,0.201,0.2505,0.201,0.201,80944,0
GHIXW.US,D,20221111,000000,0.24,0.24,0.24,0.24,600,0
GHIXW.US,D,20221201,000000,0.2001,0.2001,0.2001,0.2001,217,0
GHIXW.US,D,20221202,000000,0.21,0.245,0.2001,0.24,7557,0
GHIXW.US,D,20221205,000000,0.2001,0.202098,0.2001,0.202098,7000,0
GHIXW.US,D,20221206,000000,0.22,0.22,0.22,0.22,419,0
GHIXW.US,D,20221207,000000,0.2212,1,0.211,0.2743,118018,0
GHIXW.US,D,20221208,000000,0.3,0.3,0.2997,0.2997,500,0
GHIXW.US,D,20221209,000000,0.22,0.22,0.22,0.22,200,0
GHIXW.US,D,20221212,000000,0.25,0.25,0.25,0.25,700,0
GHIXW.US,D,20221213,000000,0.25,0.25,0.25,0.25,20000,0
GHIXW.US,D,20221214,000000,0.26,0.26,0.25,0.25,100123,0
GHIXW.US,D,20221216,000000,0.250101,0.26,0.250101,0.26,1033,0
GHIXW.US,D,20221219,000000,0.3,0.3,0.3,0.3,212,0
GHIXW.US,D,20221222,000000,0.28,0.2935,0.28,0.2935,860,0
GHIXW.US,D,20221223,000000,0.1514,0.2047,0.1514,0.2047,1117,0
GHIXW.US,D,20221227,000000,0.25,0.27,0.25,0.26,101002,0
GHIXW.US,D,20221228,000000,0.26,0.26,0.1417,0.1901,35252,0
GHIXW.US,D,20230103,000000,0.1447,0.2999,0.1447,0.243,4613,0
GHIXW.US,D,20230111,000000,0.24,0.25,0.22,0.22,19900,0
GHIXW.US,D,20230112,000000,0.24,0.25,0.1327,0.21,38521,0
GHIXW.US,D,20230113,000000,0.24,0.2455,0.1895,0.2455,31878,0
GHIXW.US,D,20230117,000000,0.25,0.25,0.205,0.24,30515,0
GHIXW.US,D,20230118,000000,0.2104,0.245,0.2104,0.245,8229,0
