<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AZ.US,D,20220106,000000,10.3,10.7,9.2,9.54,92569,0
AZ.US,D,20220107,000000,9.3,9.84,8.7964,9.04,69863,0
AZ.US,D,20220110,000000,9.25,9.25,8.4886,8.88,52502,0
AZ.US,D,20220111,000000,8.98,9.2,8.7,9.15,43876,0
AZ.US,D,20220112,000000,9.2,9.2643,8.7501,9.04,40051,0
AZ.US,D,20220113,000000,8.9011,9.0788,8.57,8.79,45634,0
AZ.US,D,20220114,000000,8.91,9.2018,8.7278,8.97,15026,0
AZ.US,D,20220118,000000,8.92,8.92,8.5,8.85,57807,0
AZ.US,D,20220119,000000,8.88,9.29,8.68,8.82,100190,0
AZ.US,D,20220120,000000,8.8,9.2073,7.8577,8.05,135322,0
AZ.US,D,20220121,000000,8.05,8.05,7.1154,7.17,35638,0
AZ.US,D,20220124,000000,7.2,7.2,5.26,6.34,130309,0
AZ.US,D,20220125,000000,5.93,6.13,5.65,5.66,38253,0
AZ.US,D,20220126,000000,5.75,6.14,5.5,5.5,73266,0
AZ.US,D,20220127,000000,5.5,5.5,4.62,4.87,93996,0
AZ.US,D,20220128,000000,4.97,5.4,4.7522,5.31,44113,0
AZ.US,D,20220131,000000,5.71,5.8,5.575,5.7,30289,0
AZ.US,D,20220201,000000,5.8,6,5.5,5.75,45082,0
AZ.US,D,20220202,000000,6,6.5,5.92,6.46,78714,0
AZ.US,D,20220203,000000,6.43,6.5,6.09,6.38,51674,0
AZ.US,D,20220204,000000,6.37,6.41,6.12,6.3253,18685,0
AZ.US,D,20220207,000000,6.5,6.72,6.3,6.35,36110,0
AZ.US,D,20220208,000000,6.498,6.5,6.25,6.38,19587,0
AZ.US,D,20220209,000000,6.25,6.84,6.24,6.7979,57225,0
AZ.US,D,20220210,000000,6.62,6.7902,6.62,6.7,37682,0
AZ.US,D,20220211,000000,6.85,7,6.7059,6.799,39937,0
AZ.US,D,20220214,000000,6.88,6.9099,6.6122,6.8,24193,0
AZ.US,D,20220215,000000,6.91,6.9999,6.88,6.9,31653,0
AZ.US,D,20220216,000000,6.7,6.76,6.04,6.4462,67653,0
AZ.US,D,20220217,000000,6.315,6.43,6.2,6.38,45830,0
AZ.US,D,20220218,000000,6.23,6.5,6.1,6.27,28318,0
AZ.US,D,20220222,000000,6.0421,6.12,5.781,6.1,24038,0
AZ.US,D,20220223,000000,6,6.2186,5.5601,5.79,28334,0
AZ.US,D,20220224,000000,5.4,5.85,5.35,5.5,76415,0
AZ.US,D,20220225,000000,5.58,6.5,5.39,6.09,188777,0
AZ.US,D,20220228,000000,6,6.48,5.7247,6.33,80227,0
AZ.US,D,20220301,000000,6,6.32,5.8325,5.95,16680,0
AZ.US,D,20220302,000000,6.25,6.28,5.86,5.9,9854,0
AZ.US,D,20220303,000000,5.6501,6.24,5.6501,6.1653,19028,0
AZ.US,D,20220304,000000,5.74,5.912,5.51,5.55,18088,0
AZ.US,D,20220307,000000,5.5,5.5,5.23,5.23,19018,0
AZ.US,D,20220308,000000,5.5,5.74,5.15,5.45,56055,0
AZ.US,D,20220309,000000,5.68,5.9,5.5141,5.66,39440,0
AZ.US,D,20220310,000000,5.5,5.8,5.45,5.7,27140,0
AZ.US,D,20220311,000000,5.73,5.91,5.6,5.855,23272,0
AZ.US,D,20220314,000000,5.94,5.97,5.36,5.8,38652,0
AZ.US,D,20220315,000000,5.74,5.94,5.6661,5.85,28631,0
AZ.US,D,20220316,000000,5.8,6,5.585,6,34259,0
AZ.US,D,20220317,000000,5.995,6,5.7,5.845,17229,0
AZ.US,D,20220318,000000,5.9,5.9,5.7,5.8,5879,0
AZ.US,D,20220321,000000,5.71,5.9,5.56,5.8,30209,0
AZ.US,D,20220322,000000,5.7,5.98,5.7,5.9,59741,0
AZ.US,D,20220323,000000,5.82,5.97,5.62,5.85,42039,0
AZ.US,D,20220324,000000,5.99,6.1,5.8468,6.1,35688,0
AZ.US,D,20220325,000000,6.12,6.62,5.94,6.58,65564,0
AZ.US,D,20220328,000000,6.6,6.7366,6.5,6.67,38249,0
AZ.US,D,20220329,000000,6.6,6.6699,6.36,6.6,32981,0
AZ.US,D,20220330,000000,6.63,6.63,6.36,6.37,42014,0
AZ.US,D,20220331,000000,6.52,6.56,6.2,6.28,37200,0
AZ.US,D,20220401,000000,6.45,6.45,6.3,6.37,6596,0
AZ.US,D,20220404,000000,6.31,6.37,6.1501,6.37,30007,0
AZ.US,D,20220405,000000,6.2,6.24,5.98,5.98,8192,0
AZ.US,D,20220406,000000,5.8505,6.1145,5.84,5.85,18338,0
AZ.US,D,20220407,000000,5.86,5.9,5.51,5.51,14326,0
AZ.US,D,20220408,000000,5.78,5.8048,5.57,5.63,6870,0
AZ.US,D,20220411,000000,5.77,5.85,4.92,5.02,52891,0
AZ.US,D,20220412,000000,5.03,5.32,5.03,5.25,25213,0
AZ.US,D,20220413,000000,5.09,5.67,5.09,5.63,16961,0
AZ.US,D,20220414,000000,5.49,5.69,5.4778,5.68,18202,0
AZ.US,D,20220418,000000,5.7,5.83,5.52,5.68,18880,0
AZ.US,D,20220419,000000,5.72,5.85,5.6,5.75,15578,0
AZ.US,D,20220420,000000,5.66,5.88,5.54,5.7,33127,0
AZ.US,D,20220421,000000,5.5,5.8,5.26,5.26,36645,0
AZ.US,D,20220422,000000,5.3932,5.3932,5.08,5.14,16347,0
AZ.US,D,20220425,000000,5.01,5.1664,4.92,5.09,53312,0
AZ.US,D,20220426,000000,4.97,5.2,4.95,5.2,7958,0
AZ.US,D,20220427,000000,5.2,5.2,4.845,5.11,34747,0
AZ.US,D,20220428,000000,5.04,5.4613,4.7,4.96,68243,0
AZ.US,D,20220429,000000,4.9,5.05,4.88,4.9,31496,0
AZ.US,D,20220502,000000,4.8,5.1329,4.63,4.7,24696,0
