<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UTRE.US,D,20230329,000000,49.8933,49.8933,49.8933,49.8933,63,0
UTRE.US,D,20230330,000000,49.9206,49.9206,49.9206,49.9206,53,0
UTRE.US,D,20230331,000000,50.0263,50.0263,50.0263,50.0263,53,0
UTRE.US,D,20230403,000000,50.01,50.125,50.01,50.125,603,0
UTRE.US,D,20230404,000000,50.3,50.3099,50.3,50.3051,411,0
UTRE.US,D,20230405,000000,50.38,50.38,50.38,50.38,10,0
UTRE.US,D,20230406,000000,50.3498,50.3498,50.3498,50.3498,2,0
UTRE.US,D,20230410,000000,50.24,50.24,50.11,50.11,1170,0
UTRE.US,D,20230411,000000,50.11,50.11,50.0902,50.0902,1111,0
UTRE.US,D,20230412,000000,50.1956,50.1956,50.1956,50.1956,11,0
UTRE.US,D,20230413,000000,50.211,50.211,50.211,50.211,25,0
UTRE.US,D,20230414,000000,50.0612,50.0612,50.0612,50.0612,2,0
UTRE.US,D,20230417,000000,49.95,49.95,49.95,49.95,93,0
UTRE.US,D,20230418,000000,49.9529,49.9529,49.9529,49.9529,2,0
UTRE.US,D,20230419,000000,49.8937,49.8937,49.8937,49.8937,20,0
UTRE.US,D,20230420,000000,50.0438,50.0438,50.0438,50.0438,12,0
UTRE.US,D,20230421,000000,50.0097,50.0097,50.0097,50.0097,12,0
UTRE.US,D,20230424,000000,50.095,50.095,50.095,50.095,12,0
UTRE.US,D,20230425,000000,50.396,50.396,50.396,50.396,12,0
UTRE.US,D,20230426,000000,50.3142,50.3142,50.3142,50.3142,10,0
UTRE.US,D,20230427,000000,50.22,50.22,50.1343,50.1402,344,0
UTRE.US,D,20230428,000000,50.2448,50.2448,50.2448,50.2448,13,0
UTRE.US,D,20230501,000000,49.8971,49.8971,49.8971,49.8971,73,0
UTRE.US,D,20230502,000000,49.95,50.1445,49.95,50.1445,530,0
UTRE.US,D,20230503,000000,50.23,50.3418,50.2263,50.3418,810,0
