<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HAIA.US,D,20220202,000000,9.84,9.86,9.82,9.82,113378,0
HAIA.US,D,20220204,000000,9.82,9.82,9.82,9.82,100044,0
HAIA.US,D,20220210,000000,9.83,9.84,9.83,9.84,6595,0
HAIA.US,D,20220211,000000,9.84,9.85,9.84,9.85,4000,0
HAIA.US,D,20220214,000000,9.85,9.85,9.85,9.85,31800,0
HAIA.US,D,20220225,000000,9.85,9.86,9.82,9.86,294808,0
HAIA.US,D,20220228,000000,9.88,9.9,9.87,9.9,637588,0
HAIA.US,D,20220301,000000,9.88,9.89,9.88,9.89,22000,0
HAIA.US,D,20220302,000000,9.88,9.88,9.88,9.88,100,0
HAIA.US,D,20220303,000000,9.8842,9.8842,9.875,9.875,445,0
HAIA.US,D,20220311,000000,9.9,9.9,9.87,9.9,319094,0
HAIA.US,D,20220317,000000,9.87,9.87,9.87,9.87,231,0
HAIA.US,D,20220321,000000,9.87,9.88,9.87,9.88,3343,0
HAIA.US,D,20220322,000000,9.88,9.88,9.88,9.88,204,0
HAIA.US,D,20220323,000000,9.87,9.87,9.87,9.87,1200,0
HAIA.US,D,20220324,000000,9.87,9.89,9.87,9.89,12402,0
HAIA.US,D,20220325,000000,9.87,9.87,9.87,9.87,350005,0
HAIA.US,D,20220328,000000,9.87,9.87,9.87,9.87,161,0
HAIA.US,D,20220329,000000,9.87,9.87,9.87,9.87,25050,0
HAIA.US,D,20220331,000000,9.9,9.9201,9.895,9.91,33998,0
HAIA.US,D,20220401,000000,9.94,9.94,9.94,9.94,567,0
HAIA.US,D,20220405,000000,9.87,9.915,9.87,9.915,2437,0
HAIA.US,D,20220406,000000,9.93,9.93,9.93,9.93,1776,0
HAIA.US,D,20220412,000000,9.915,9.94,9.9,9.93,32648,0
HAIA.US,D,20220413,000000,9.95,9.95,9.92,9.92,2026,0
HAIA.US,D,20220421,000000,9.91,9.91,9.91,9.91,601,0
HAIA.US,D,20220425,000000,9.93,9.93,9.93,9.93,113670,0
HAIA.US,D,20220426,000000,9.96,9.96,9.93,9.93,9040,0
HAIA.US,D,20220427,000000,9.94,9.94,9.94,9.94,121854,0
HAIA.US,D,20220428,000000,9.94,9.95,9.94,9.95,37000,0
HAIA.US,D,20220502,000000,9.96,9.96,9.96,9.96,9901,0
HAIA.US,D,20220503,000000,10,10.02,9.96,9.96,21216,0
HAIA.US,D,20220505,000000,9.942,9.942,9.94,9.94,1800,0
HAIA.US,D,20220509,000000,9.92,9.92,9.92,9.92,1100,0
HAIA.US,D,20220510,000000,9.93,10.2526,9.88,9.92,150740,0
HAIA.US,D,20220518,000000,9.88,9.88,9.88,9.88,410,0
HAIA.US,D,20220524,000000,9.91,9.91,9.91,9.91,150001,0
HAIA.US,D,20220526,000000,9.91,9.91,9.88,9.88,2711,0
HAIA.US,D,20220602,000000,9.92,9.94,9.92,9.93,129045,0
HAIA.US,D,20220609,000000,9.91,9.91,9.91,9.91,397300,0
HAIA.US,D,20220610,000000,9.91,9.91,9.91,9.91,3315,0
HAIA.US,D,20220614,000000,9.95,9.95,9.9,9.9,1079,0
HAIA.US,D,20220617,000000,10.61,10.61,10.61,10.61,17292,0
HAIA.US,D,20220621,000000,10.55,10.55,9.92,9.95,105036,0
HAIA.US,D,20220622,000000,9.91,9.95,9.91,9.94,277702,0
HAIA.US,D,20220628,000000,9.99,9.99,9.92,9.95,373295,0
HAIA.US,D,20220629,000000,10.82,10.82,9.92,9.92,17110,0
HAIA.US,D,20220630,000000,10.04,10.04,9.92,9.92,963,0
HAIA.US,D,20220701,000000,9.92,9.92,9.92,9.92,410,0
HAIA.US,D,20220705,000000,9.92,9.96,9.92,9.94,293872,0
HAIA.US,D,20220706,000000,9.92,9.92,9.92,9.92,649,0
HAIA.US,D,20220707,000000,9.89,9.92,9.89,9.92,480,0
HAIA.US,D,20220708,000000,9.92,9.92,9.92,9.92,4577,0
HAIA.US,D,20220711,000000,9.96,9.96,9.95,9.96,1884,0
HAIA.US,D,20220712,000000,9.945,9.945,9.93,9.93,1517,0
HAIA.US,D,20220714,000000,9.93,9.95,9.925,9.94,134176,0
HAIA.US,D,20220715,000000,9.94,9.94,9.94,9.94,50102,0
HAIA.US,D,20220720,000000,9.97,9.97,9.94,9.96,123845,0
HAIA.US,D,20220721,000000,9.975,9.975,9.97,9.97,1812,0
HAIA.US,D,20220722,000000,9.97,9.97,9.97,9.97,400109,0
HAIA.US,D,20220726,000000,9.96,9.9725,9.955,9.96,756973,0
HAIA.US,D,20220728,000000,9.97,9.97,9.97,9.97,100,0
HAIA.US,D,20220802,000000,9.98,9.98,9.97,9.97,2013,0
HAIA.US,D,20220803,000000,9.98,9.98,9.98,9.98,7601,0
HAIA.US,D,20220805,000000,9.98,9.98,9.98,9.98,120511,0
HAIA.US,D,20220810,000000,9.98,9.981,9.98,9.981,1001,0
HAIA.US,D,20220812,000000,9.98,9.99,9.98,9.99,53029,0
HAIA.US,D,20220815,000000,10.01,10.01,9.98,9.98,85115,0
HAIA.US,D,20220816,000000,10.01,10.01,9.98,9.98,822,0
HAIA.US,D,20220817,000000,9.97,10.01,9.96,9.97,656013,0
HAIA.US,D,20220819,000000,9.99,9.99,9.98,9.98,1317,0
HAIA.US,D,20220822,000000,10.055,10.055,10.055,10.055,205,0
HAIA.US,D,20220823,000000,10.06,10.06,10.06,10.06,4212,0
HAIA.US,D,20220824,000000,10.05,10.05,10.04,10.04,6608,0
HAIA.US,D,20220830,000000,10.02,10.02,10.02,10.02,143,0
HAIA.US,D,20220831,000000,10.02,10.02,10.02,10.02,100,0
HAIA.US,D,20220906,000000,10.02,10.03,10.02,10.02,1304,0
HAIA.US,D,20220907,000000,10.03,10.03,10.03,10.03,1200,0
HAIA.US,D,20220912,000000,10.03,10.03,10.03,10.03,612,0
HAIA.US,D,20220914,000000,10.02,10.03,10.01,10.03,5411,0
HAIA.US,D,20220915,000000,10.03,10.04,10.03,10.04,9402,0
HAIA.US,D,20220919,000000,10.03,10.05,10.01,10.025,2948,0
HAIA.US,D,20220926,000000,10.05,10.08,10.04,10.08,8704,0
HAIA.US,D,20220928,000000,10.07,10.08,10.06,10.08,3612,0
HAIA.US,D,20220929,000000,10.07,10.08,10.07,10.08,226101,0
HAIA.US,D,20220930,000000,10.08,10.09,10.08,10.085,44578,0
HAIA.US,D,20221003,000000,10.09,10.09,10.09,10.09,3472,0
HAIA.US,D,20221007,000000,10.04,10.05,10.04,10.05,5075,0
HAIA.US,D,20221010,000000,10.05,10.06,10.05,10.06,31125,0
HAIA.US,D,20221011,000000,10.0855,10.0855,10.0855,10.0855,1988,0
HAIA.US,D,20221012,000000,10.08,10.08,10.08,10.08,200000,0
HAIA.US,D,20221013,000000,10.05,10.05,10.05,10.05,4100,0
HAIA.US,D,20221017,000000,10.06,10.07,10.06,10.06,693419,0
HAIA.US,D,20221018,000000,10.06,10.06,10.06,10.06,3663,0
HAIA.US,D,20221019,000000,10.06,10.0601,10.06,10.0601,3880,0
HAIA.US,D,20221020,000000,10.11,10.11,10.11,10.11,111,0
HAIA.US,D,20221024,000000,10.12,10.12,10.12,10.12,2674,0
HAIA.US,D,20221025,000000,10.125,10.125,10.125,10.125,112,0
HAIA.US,D,20221027,000000,10.12,10.12,10.12,10.12,122629,0
HAIA.US,D,20221101,000000,10.13,10.13,10.13,10.13,4300,0
HAIA.US,D,20221104,000000,10.135,10.15,10.135,10.15,30825,0
HAIA.US,D,20221107,000000,10.12,10.13,10.12,10.13,2267,0
HAIA.US,D,20221109,000000,10.13,10.13,10.13,10.13,45236,0
HAIA.US,D,20221110,000000,10.13,10.16,10.13,10.14,89015,0
HAIA.US,D,20221114,000000,10.155,10.17,10.14,10.14,15212,0
HAIA.US,D,20221115,000000,10.17,10.17,10.16,10.17,100271,0
HAIA.US,D,20221116,000000,10.17,10.17,10.17,10.17,85047,0
HAIA.US,D,20221117,000000,10.155,10.17,10.155,10.17,342,0
HAIA.US,D,20221118,000000,10.17,10.17,10.17,10.17,182,0
HAIA.US,D,20221122,000000,10.18,10.32,10.18,10.32,116908,0
HAIA.US,D,20221128,000000,10.24,10.24,10.165,10.17,20777,0
HAIA.US,D,20221206,000000,10.19,10.19,10.19,10.19,559,0
HAIA.US,D,20221212,000000,10.23,10.23,10.23,10.23,3802,0
HAIA.US,D,20221220,000000,10.22,10.25,10.22,10.25,1815,0
HAIA.US,D,20221222,000000,10.24,10.2575,10.23,10.2575,5520,0
HAIA.US,D,20221223,000000,10.26,10.26,10.26,10.26,294,0
HAIA.US,D,20230103,000000,10.28,10.28,10.25,10.25,21421,0
HAIA.US,D,20230104,000000,10.25,10.25,10.25,10.25,2502,0
HAIA.US,D,20230105,000000,10.25,10.26,10.25,10.26,6603,0
HAIA.US,D,20230106,000000,10.26,10.26,10.26,10.26,7680,0
HAIA.US,D,20230109,000000,10.26,10.27,10.26,10.27,106423,0
HAIA.US,D,20230110,000000,10.27,10.3,10.27,10.3,50298,0
HAIA.US,D,20230112,000000,10.31,10.31,10.3,10.3,1013,0
HAIA.US,D,20230118,000000,10.3,10.3,10.3,10.3,25034,0
HAIA.US,D,20230119,000000,10.3,10.3,10.3,10.3,14257,0
HAIA.US,D,20230120,000000,10.3,10.3,10.3,10.3,42980,0
HAIA.US,D,20230123,000000,10.3,10.3,10.3,10.3,360,0
HAIA.US,D,20230124,000000,10.3,10.31,10.29,10.3,24975,0
HAIA.US,D,20230125,000000,10.3,10.3,10.3,10.3,1020,0
HAIA.US,D,20230126,000000,10.31,10.31,10.31,10.31,450806,0
HAIA.US,D,20230127,000000,10.32,10.33,10.31,10.31,24015,0
HAIA.US,D,20230130,000000,10.32,10.34,10.32,10.32,102519,0
HAIA.US,D,20230131,000000,10.32,10.335,10.32,10.32,1874844,0
HAIA.US,D,20230201,000000,10.34,10.34,10.32,10.32,52400,0
HAIA.US,D,20230202,000000,10.335,10.335,10.335,10.335,371,0
HAIA.US,D,20230203,000000,10.34,10.34,10.34,10.34,9042,0
HAIA.US,D,20230206,000000,10.345,10.35,10.34,10.34,247692,0
HAIA.US,D,20230207,000000,10.34,10.35,10.34,10.35,376212,0
HAIA.US,D,20230208,000000,10.35,10.46,10.35,10.36,19689,0
HAIA.US,D,20230210,000000,10.85,10.85,10.35,10.35,5586,0
HAIA.US,D,20230213,000000,10.35,10.365,10.35,10.35,201386,0
HAIA.US,D,20230214,000000,10.37,10.85,10.35,10.36,670,0
HAIA.US,D,20230215,000000,10.35,10.36,10.35,10.36,6570,0
HAIA.US,D,20230217,000000,10.365,10.365,10.36,10.36,2758,0
HAIA.US,D,20230222,000000,10.37,10.37,10.37,10.37,106,0
HAIA.US,D,20230224,000000,10.37,10.37,10.37,10.37,402,0
HAIA.US,D,20230227,000000,10.39,10.39,10.39,10.39,104,0
HAIA.US,D,20230228,000000,10.38,10.39,10.38,10.39,200,0
HAIA.US,D,20230301,000000,10.385,10.385,10.38,10.38,2269,0
HAIA.US,D,20230302,000000,10.39,10.41,10.39,10.395,2250410,0
HAIA.US,D,20230303,000000,10.85,10.85,10.385,10.42,27562,0
HAIA.US,D,20230306,000000,10.41,10.41,10.41,10.41,5969,0
HAIA.US,D,20230307,000000,10.4,10.41,10.4,10.4,785207,0
HAIA.US,D,20230308,000000,10.4,10.42,10.4,10.4,11356,0
HAIA.US,D,20230309,000000,10.41,10.41,10.41,10.41,203590,0
HAIA.US,D,20230310,000000,10.415,10.42,10.4,10.4,116378,0
HAIA.US,D,20230314,000000,10.41,10.41,10.41,10.41,116,0
HAIA.US,D,20230316,000000,10.41,10.41,10.41,10.41,351,0
HAIA.US,D,20230317,000000,10.41,10.41,10.41,10.41,229,0
HAIA.US,D,20230320,000000,10.41,10.41,10.41,10.41,145,0
HAIA.US,D,20230321,000000,10.41,10.42,10.41,10.42,7386,0
HAIA.US,D,20230323,000000,11,11,10.41,10.41,543,0
