<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEON.US,D,20210414,000000,9.75,10.05,9.74,9.8,100239,0
AEON.US,D,20210415,000000,9.8024,9.81,9.8024,9.81,8900,0
AEON.US,D,20210429,000000,9.9,9.9,9.78,9.78,9985,0
AEON.US,D,20210503,000000,9.71,9.8,9.71,9.8,802,0
AEON.US,D,20210506,000000,9.71,9.71,9.67,9.67,538,0
AEON.US,D,20210507,000000,9.835,9.835,9.835,9.835,244,0
AEON.US,D,20210511,000000,9.8,9.8,9.8,9.8,559,0
AEON.US,D,20210517,000000,9.67,9.67,9.67,9.67,4674,0
AEON.US,D,20210518,000000,9.65,9.65,9.65,9.65,3432,0
AEON.US,D,20210526,000000,9.7625,9.7625,9.72,9.72,1600,0
AEON.US,D,20210609,000000,9.75,9.75,9.7,9.71,50800,0
AEON.US,D,20210614,000000,9.66,9.76,9.21,9.7,48851,0
AEON.US,D,20210615,000000,9.7,9.7,9.7,9.7,23513,0
AEON.US,D,20210616,000000,9.7,9.7,9.65,9.65,85158,0
AEON.US,D,20210621,000000,9.65,9.65,9.65,9.65,1409,0
AEON.US,D,20210622,000000,9.73,9.73,9.7,9.73,1561,0
AEON.US,D,20210623,000000,9.66,9.695,9.66,9.695,1588,0
AEON.US,D,20210624,000000,9.66,9.66,9.66,9.66,610,0
AEON.US,D,20210625,000000,9.66,9.66,9.65,9.66,24508,0
AEON.US,D,20210628,000000,9.65,9.66,9.6,9.64,89511,0
AEON.US,D,20210630,000000,9.64,9.64,9.63,9.64,862,0
AEON.US,D,20210702,000000,9.65,9.655,9.63,9.65,21311,0
AEON.US,D,20210707,000000,9.65,9.65,9.65,9.65,1913,0
AEON.US,D,20210708,000000,9.63,9.66,9.63,9.655,162166,0
AEON.US,D,20210709,000000,9.65,9.66,9.65,9.65,6600,0
AEON.US,D,20210712,000000,9.65,9.65,9.65,9.65,2561,0
AEON.US,D,20210713,000000,9.65,9.66,9.65,9.655,36022,0
AEON.US,D,20210714,000000,9.66,9.66,9.65,9.655,9850,0
AEON.US,D,20210716,000000,9.64,9.68,9.64,9.655,5540,0
AEON.US,D,20210719,000000,9.64,9.655,9.64,9.65,5588,0
AEON.US,D,20210720,000000,9.63,9.63,9.63,9.63,1114,0
AEON.US,D,20210723,000000,9.66,9.67,9.66,9.67,2090,0
AEON.US,D,20210726,000000,9.67,9.67,9.67,9.67,200,0
AEON.US,D,20210727,000000,9.72,9.8,9.685,9.8,15742,0
AEON.US,D,20210804,000000,9.65,9.65,9.64,9.64,16439,0
AEON.US,D,20210806,000000,9.65,9.66,9.65,9.66,4230,0
AEON.US,D,20210810,000000,9.66,9.79,9.66,9.67,3501,0
AEON.US,D,20210811,000000,9.71,9.72,9.69,9.69,1802,0
AEON.US,D,20210812,000000,9.6983,9.725,9.69,9.69,150600,0
AEON.US,D,20210813,000000,9.69,9.725,9.69,9.69,822,0
AEON.US,D,20210816,000000,9.73,9.73,9.7,9.7,6851,0
AEON.US,D,20210817,000000,9.7,9.73,9.7,9.73,326,0
AEON.US,D,20210819,000000,9.68,9.76,9.68,9.76,150966,0
AEON.US,D,20210823,000000,9.75,9.75,9.75,9.75,259,0
AEON.US,D,20210824,000000,9.75,9.75,9.75,9.75,103,0
AEON.US,D,20210825,000000,9.75,9.75,9.75,9.75,100,0
AEON.US,D,20210830,000000,9.75,9.75,9.75,9.75,100,0
AEON.US,D,20210902,000000,9.7,9.75,9.7,9.75,25000,0
AEON.US,D,20210909,000000,9.7,9.7,9.7,9.7,100,0
AEON.US,D,20210914,000000,9.71,9.71,9.71,9.71,322,0
AEON.US,D,20210916,000000,9.71,9.75,9.67,9.75,2118,0
AEON.US,D,20210917,000000,9.63,9.78,9.63,9.77,2716,0
AEON.US,D,20210927,000000,9.77,9.78,9.74,9.78,347189,0
AEON.US,D,20210928,000000,9.73,9.73,9.73,9.73,493,0
AEON.US,D,20210930,000000,9.73,9.75,9.73,9.74,15967,0
AEON.US,D,20211001,000000,9.73,9.79,9.73,9.76,14845,0
AEON.US,D,20211004,000000,9.78,9.78,9.75,9.78,2937,0
AEON.US,D,20211005,000000,9.76,9.78,9.76,9.78,223492,0
AEON.US,D,20211006,000000,9.78,9.8,9.78,9.79,370275,0
AEON.US,D,20211007,000000,9.8,9.8,9.79,9.79,2056,0
AEON.US,D,20211008,000000,9.775,9.79,9.775,9.79,1700,0
AEON.US,D,20211012,000000,9.76,9.79,9.76,9.79,329010,0
AEON.US,D,20211013,000000,9.79,9.79,9.79,9.79,1901,0
AEON.US,D,20211014,000000,9.775,9.79,9.775,9.79,266,0
AEON.US,D,20211018,000000,9.76,9.79,9.76,9.79,4885,0
AEON.US,D,20211020,000000,9.76,9.79,9.76,9.78,163804,0
AEON.US,D,20211021,000000,9.76,9.76,9.76,9.76,819,0
AEON.US,D,20211025,000000,9.76,9.78,9.75,9.78,53140,0
AEON.US,D,20211029,000000,9.71,9.78,9.7,9.78,483204,0
AEON.US,D,20211101,000000,9.715,9.78,9.715,9.78,3035,0
AEON.US,D,20211103,000000,9.72,9.72,9.72,9.72,244,0
AEON.US,D,20211110,000000,9.76,9.78,9.76,9.78,2425,0
AEON.US,D,20211111,000000,9.7682,9.79,9.76,9.79,5997,0
AEON.US,D,20211112,000000,9.76,9.78,9.76,9.78,1219,0
AEON.US,D,20211116,000000,9.79,9.79,9.79,9.79,6246,0
AEON.US,D,20211117,000000,9.76,9.76,9.76,9.76,116,0
AEON.US,D,20211123,000000,9.78,9.79,9.78,9.79,11467,0
AEON.US,D,20211126,000000,9.75,9.75,9.69,9.75,131384,0
AEON.US,D,20211129,000000,9.75,9.77,9.73,9.77,15125,0
AEON.US,D,20211130,000000,9.73,9.78,9.72,9.77,13836,0
AEON.US,D,20211201,000000,9.74,9.79,9.73,9.79,35912,0
AEON.US,D,20211203,000000,9.75,9.75,9.75,9.75,100100,0
AEON.US,D,20211206,000000,9.74,9.78,9.74,9.78,679,0
AEON.US,D,20211209,000000,9.74,9.79,9.74,9.78,17630,0
AEON.US,D,20211210,000000,9.75,9.79,9.74,9.77,68734,0
AEON.US,D,20211213,000000,9.76,9.78,9.76,9.77,34388,0
AEON.US,D,20211214,000000,9.76,9.78,9.76,9.775,64946,0
AEON.US,D,20211215,000000,9.73,9.73,9.7,9.73,1307,0
AEON.US,D,20211216,000000,9.73,9.74,9.73,9.73,101489,0
AEON.US,D,20211217,000000,9.73,9.73,9.73,9.73,939,0
AEON.US,D,20211220,000000,9.73,9.73,9.73,9.73,205567,0
AEON.US,D,20211222,000000,9.72,9.73,9.72,9.73,10934,0
AEON.US,D,20211223,000000,9.72,9.72,9.72,9.72,4866,0
AEON.US,D,20211227,000000,9.73,9.73,9.72,9.73,12406,0
AEON.US,D,20211230,000000,9.71,9.71,9.71,9.71,617,0
AEON.US,D,20220103,000000,9.715,9.73,9.71,9.71,45727,0
AEON.US,D,20220104,000000,9.72,9.73,9.71,9.73,10771,0
AEON.US,D,20220105,000000,9.71,9.77,9.71,9.76,154952,0
AEON.US,D,20220107,000000,9.76,9.77,9.76,9.77,467,0
AEON.US,D,20220110,000000,9.73,9.77,9.7299,9.77,287979,0
AEON.US,D,20220112,000000,9.74,9.74,9.71,9.72,21004,0
AEON.US,D,20220113,000000,9.72,9.75,9.72,9.75,110428,0
AEON.US,D,20220118,000000,9.71,9.73,9.7,9.73,96170,0
AEON.US,D,20220119,000000,9.723,9.723,9.72,9.72,2494,0
AEON.US,D,20220121,000000,9.715,9.72,9.71,9.71,60418,0
AEON.US,D,20220124,000000,9.7,9.71,9.7,9.71,1676,0
AEON.US,D,20220125,000000,9.71,9.75,9.7,9.74,37640,0
AEON.US,D,20220126,000000,9.71,9.73,9.7,9.7,29588,0
AEON.US,D,20220127,000000,9.7,9.72,9.7,9.72,7210,0
AEON.US,D,20220128,000000,9.71,9.725,9.66,9.67,32947,0
AEON.US,D,20220131,000000,9.7,9.71,9.69,9.69,28628,0
AEON.US,D,20220201,000000,9.7,9.76,9.7,9.7,119541,0
AEON.US,D,20220202,000000,9.71,9.715,9.71,9.715,4663,0
AEON.US,D,20220203,000000,9.745,9.76,9.71,9.72,5726,0
AEON.US,D,20220207,000000,9.75,9.75,9.75,9.75,5036,0
AEON.US,D,20220208,000000,9.73,9.73,9.73,9.73,48017,0
AEON.US,D,20220210,000000,9.75,9.75,9.75,9.75,217,0
AEON.US,D,20220211,000000,9.74,9.74,9.74,9.74,6001,0
