<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIRO.US,D,20210624,000000,12,16.5212,10.96,15.24,3556948,0
MIRO.US,D,20210625,000000,14.56,15.9999,12.4,12.75,482361,0
MIRO.US,D,20210628,000000,12.75,13.92,12,12.125,156800,0
MIRO.US,D,20210629,000000,12.21,12.8964,12.02,12.595,107509,0
MIRO.US,D,20210630,000000,12.87,12.87,11.65,11.65,53413,0
MIRO.US,D,20210701,000000,11.65,11.8,10.02,10.4,80835,0
MIRO.US,D,20210702,000000,10.2037,10.758,10.01,10.3,30481,0
MIRO.US,D,20210706,000000,10.3,11.09,10.3,10.31,61425,0
MIRO.US,D,20210707,000000,10,10.2622,8.905,9.34,96929,0
MIRO.US,D,20210708,000000,8.9,9.2079,8.7,8.83,59308,0
MIRO.US,D,20210709,000000,9.83,9.83,8.445,8.65,100183,0
MIRO.US,D,20210712,000000,9.09,9.09,8.6,8.85,66462,0
MIRO.US,D,20210713,000000,8.72,9.163,7.8,8.3,170928,0
MIRO.US,D,20210714,000000,8.33,8.67,8.1,8.1,10489,0
MIRO.US,D,20210715,000000,8.16,8.16,7.82,7.89,65460,0
MIRO.US,D,20210716,000000,7.75,8.5899,7.75,8.01,64330,0
MIRO.US,D,20210719,000000,8.2,9.24,8.1101,9.2,72822,0
MIRO.US,D,20210720,000000,9.37,9.632,8.81,9.6,58871,0
MIRO.US,D,20210721,000000,9.68,9.94,8.735,9.46,98891,0
MIRO.US,D,20210722,000000,9.7,11.11,9.65,10.63,141062,0
MIRO.US,D,20210723,000000,10.4,11.43,10.11,10.8,32834,0
MIRO.US,D,20210726,000000,10.78,10.78,10.05,10.23,19755,0
MIRO.US,D,20210727,000000,10.4289,10.68,9.22,10.22,28397,0
MIRO.US,D,20210728,000000,9.3701,10.383,9.3701,10.12,16769,0
MIRO.US,D,20210729,000000,10.9265,10.9899,10.12,10.41,6126,0
MIRO.US,D,20210730,000000,10.9,11.3,10.705,11.1,19892,0
MIRO.US,D,20210802,000000,10.7586,11.199,10.7586,11.05,6745,0
MIRO.US,D,20210803,000000,11.15,12.84,10.915,12.75,51121,0
MIRO.US,D,20210804,000000,13,13,10.8,11.84,22820,0
MIRO.US,D,20210805,000000,11.47,12.5899,11.47,12.16,12336,0
MIRO.US,D,20210806,000000,11.94,12.5648,11.17,12.17,12074,0
MIRO.US,D,20210809,000000,12.45,12.45,11.6701,12.2,10134,0
MIRO.US,D,20210810,000000,12.84,12.84,11.8,12.45,12680,0
MIRO.US,D,20210811,000000,12.5,12.5,11.8,12,19768,0
MIRO.US,D,20210812,000000,12,12,11.26,11.97,17923,0
MIRO.US,D,20210813,000000,11.63,12.08,11.2,11.79,16583,0
MIRO.US,D,20210816,000000,11.7,12,11.23,11.69,7259,0
MIRO.US,D,20210817,000000,11.28,11.5999,10.45,10.71,19769,0
MIRO.US,D,20210818,000000,10.71,11.34,9.5,9.98,35849,0
MIRO.US,D,20210819,000000,10.07,10.36,9.56,9.9,31041,0
MIRO.US,D,20210820,000000,9.9,10.05,9.52,9.56,26406,0
