<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DPRO.US,D,20210802,000000,3.85,3.85,3.32,3.66,1093473,0
DPRO.US,D,20210803,000000,3.58,3.63,3.44,3.6,205192,0
DPRO.US,D,20210804,000000,3.74,4.04,3.45,3.51,1087708,0
DPRO.US,D,20210805,000000,3.48,3.7,3.45,3.59,144910,0
DPRO.US,D,20210806,000000,3.65,4.05,3.5633,3.83,624178,0
DPRO.US,D,20210809,000000,3.907,3.99,3.71,3.79,258108,0
DPRO.US,D,20210810,000000,3.95,3.96,3.46,3.52,455751,0
DPRO.US,D,20210811,000000,3.6,3.6079,3.12,3.26,429280,0
DPRO.US,D,20210812,000000,3.23,3.48,3.22,3.4,265282,0
DPRO.US,D,20210813,000000,3.4,3.4,3.25,3.26,148545,0
DPRO.US,D,20210816,000000,3.29,3.29,2.92,2.98,249103,0
DPRO.US,D,20210817,000000,2.93,3.1,2.8,2.86,199760,0
DPRO.US,D,20210818,000000,2.8,3.05,2.8,2.88,270700,0
DPRO.US,D,20210819,000000,2.86,2.98,2.61,2.69,429836,0
DPRO.US,D,20210820,000000,2.74,2.85,2.65,2.78,120647,0
DPRO.US,D,20210823,000000,2.75,2.99,2.75,2.934,131343,0
DPRO.US,D,20210824,000000,2.98,2.98,2.77,2.86,105283,0
DPRO.US,D,20210825,000000,2.83,3.16,2.83,2.9492,256349,0
DPRO.US,D,20210826,000000,3,3,2.77,2.81,214201,0
DPRO.US,D,20210827,000000,2.81,2.93,2.72,2.78,267712,0
DPRO.US,D,20210830,000000,2.8,3.08,2.8,2.87,307928,0
DPRO.US,D,20210831,000000,2.93,3.1321,2.92,3.03,220308,0
DPRO.US,D,20210901,000000,3.12,3.2399,3,3.02,263770,0
DPRO.US,D,20210902,000000,3.13,3.23,3.0542,3.07,292219,0
DPRO.US,D,20210903,000000,3.21,4.11,3.07,3.81,8184145,0
DPRO.US,D,20210907,000000,3.935,4.09,3.51,4.02,1131185,0
DPRO.US,D,20210908,000000,3.95,4.08,3.65,3.83,513242,0
DPRO.US,D,20210909,000000,3.9,4.19,3.7501,3.88,609618,0
DPRO.US,D,20210910,000000,3.9,3.94,3.75,3.8,211108,0
DPRO.US,D,20210913,000000,3.8135,3.9,3.55,3.65,218648,0
DPRO.US,D,20210914,000000,3.79,3.84,3.54,3.56,306623,0
DPRO.US,D,20210915,000000,3.61,3.7399,3.55,3.58,97280,0
DPRO.US,D,20210916,000000,3.58,3.6,3.3,3.44,327675,0
DPRO.US,D,20210917,000000,3.45,3.61,3.44,3.59,105770,0
