<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANZU.US,D,20210503,000000,9.76,9.76,9.71,9.7281,112054,0
ANZU.US,D,20210504,000000,9.7,9.77,9.7,9.77,13396,0
ANZU.US,D,20210505,000000,9.77,9.77,9.7636,9.77,1111,0
ANZU.US,D,20210506,000000,9.732,9.732,9.732,9.732,1800,0
ANZU.US,D,20210507,000000,9.73,9.74,9.73,9.73,2563,0
ANZU.US,D,20210510,000000,9.73,9.73,9.7275,9.73,4007,0
ANZU.US,D,20210511,000000,9.72,9.76,9.7,9.76,16144,0
ANZU.US,D,20210513,000000,9.76,9.76,9.76,9.76,701,0
ANZU.US,D,20210514,000000,9.74,9.74,9.73,9.7324,2000,0
ANZU.US,D,20210517,000000,9.73,9.73,9.73,9.73,1496,0
ANZU.US,D,20210520,000000,9.73,9.74,9.73,9.74,1531,0
ANZU.US,D,20210521,000000,9.74,9.74,9.65,9.65,507074,0
ANZU.US,D,20210524,000000,9.71,9.83,9.7,9.83,24350,0
ANZU.US,D,20210525,000000,9.725,9.725,9.67,9.67,115596,0
ANZU.US,D,20210526,000000,9.7325,9.75,9.65,9.67,8454,0
ANZU.US,D,20210527,000000,9.68,9.7,9.63,9.63,121400,0
ANZU.US,D,20210528,000000,9.68,9.68,9.68,9.68,1771,0
ANZU.US,D,20210601,000000,9.74,9.74,9.62,9.62,12147,0
ANZU.US,D,20210602,000000,9.68,9.73,9.62,9.73,3690,0
ANZU.US,D,20210603,000000,9.74,9.74,9.7232,9.7232,2065,0
ANZU.US,D,20210607,000000,9.71,9.71,9.71,9.71,124,0
ANZU.US,D,20210608,000000,9.71,9.71,9.69,9.69,4144,0
ANZU.US,D,20210614,000000,9.71,9.82,9.63,9.68,43119,0
ANZU.US,D,20210615,000000,9.71,10,9.69,9.74,48688,0
ANZU.US,D,20210616,000000,9.7,9.71,9.69,9.69,6000,0
ANZU.US,D,20210617,000000,9.7,9.82,9.7,9.82,851,0
ANZU.US,D,20210618,000000,9.7,9.7,9.69,9.7,8067,0
ANZU.US,D,20210621,000000,9.72,9.72,9.72,9.72,200,0
ANZU.US,D,20210622,000000,9.72,9.87,9.7,9.75,2861,0
ANZU.US,D,20210623,000000,9.71,9.71,9.7,9.7,1612,0
ANZU.US,D,20210624,000000,9.71,9.71,9.6958,9.7,2797,0
ANZU.US,D,20210625,000000,9.71,9.71,9.67,9.69,16608,0
ANZU.US,D,20210628,000000,9.7,9.7,9.67,9.7,34828,0
ANZU.US,D,20210629,000000,9.69,9.7,9.61,9.65,25279,0
ANZU.US,D,20210630,000000,9.7,9.7319,9.7,9.7319,102403,0
ANZU.US,D,20210701,000000,9.7,9.7,9.7,9.7,58613,0
ANZU.US,D,20210707,000000,9.65,9.7,9.63,9.64,6524,0
ANZU.US,D,20210708,000000,9.69,9.69,9.69,9.69,3123,0
ANZU.US,D,20210709,000000,9.68,9.69,9.64,9.66,14475,0
ANZU.US,D,20210712,000000,9.67,9.67,9.67,9.67,1295,0
ANZU.US,D,20210713,000000,9.66,9.66,9.66,9.66,732,0
ANZU.US,D,20210714,000000,9.65,9.67,9.642,9.67,1648,0
ANZU.US,D,20210719,000000,9.64,9.64,9.64,9.64,403,0
ANZU.US,D,20210727,000000,9.6501,9.74,9.65,9.74,9948,0
ANZU.US,D,20210728,000000,9.65,9.65,9.65,9.65,3064,0
