<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFFS.US,D,20220214,000000,9.88,9.88,9.88,9.88,5401,0
CFFS.US,D,20220218,000000,10,10,10,10,1416,0
CFFS.US,D,20220222,000000,9.95,9.95,9.95,9.95,5021,0
CFFS.US,D,20220223,000000,9.95,9.95,9.9,9.95,1801,0
CFFS.US,D,20220224,000000,9.86,9.86,9.86,9.86,14900,0
CFFS.US,D,20220228,000000,9.9,9.95,9.85,9.9,5769,0
CFFS.US,D,20220301,000000,9.85,9.85,9.85,9.85,2000,0
CFFS.US,D,20220303,000000,9.86,9.87,9.85,9.87,35425,0
CFFS.US,D,20220309,000000,9.875,9.89,9.85,9.89,7621,0
CFFS.US,D,20220310,000000,9.89,9.89,9.89,9.89,502,0
CFFS.US,D,20220311,000000,9.89,9.89,9.88,9.89,3439,0
CFFS.US,D,20220316,000000,9.88,9.93,9.83,9.93,14603,0
CFFS.US,D,20220321,000000,9.87,9.87,9.87,9.87,2000,0
CFFS.US,D,20220322,000000,9.86,9.86,9.86,9.86,106,0
CFFS.US,D,20220328,000000,9.93,9.93,9.93,9.93,3994,0
CFFS.US,D,20220401,000000,9.94,9.94,9.94,9.94,99001,0
CFFS.US,D,20220405,000000,9.91,9.91,9.91,9.91,5798,0
CFFS.US,D,20220406,000000,9.93,9.98,9.91,9.98,12100,0
CFFS.US,D,20220408,000000,9.93,9.98,9.93,9.98,10042,0
CFFS.US,D,20220411,000000,9.98,9.98,9.98,9.98,500,0
CFFS.US,D,20220413,000000,9.9,9.9,9.9,9.9,500,0
CFFS.US,D,20220414,000000,9.91,9.94,9.91,9.94,4092,0
CFFS.US,D,20220418,000000,9.89,9.92,9.89,9.92,4173,0
CFFS.US,D,20220419,000000,9.95,9.95,9.91,9.91,321,0
CFFS.US,D,20220420,000000,9.98,9.98,9.92,9.92,16149,0
CFFS.US,D,20220422,000000,9.92,9.92,9.92,9.92,844778,0
CFFS.US,D,20220426,000000,9.92,9.96,9.91,9.94,120921,0
CFFS.US,D,20220427,000000,9.93,9.98,9.93,9.93,6500,0
CFFS.US,D,20220428,000000,9.92,9.97,9.91,9.97,75600,0
CFFS.US,D,20220429,000000,9.97,9.97,9.93,9.93,2571,0
CFFS.US,D,20220502,000000,9.93,9.95,9.93,9.95,8595,0
CFFS.US,D,20220503,000000,9.95,9.99,9.93,9.99,18900,0
CFFS.US,D,20220504,000000,9.99,9.99,9.99,9.99,613,0
CFFS.US,D,20220505,000000,9.93,9.98,9.93,9.95,25935,0
CFFS.US,D,20220506,000000,9.95,9.95,9.95,9.95,305,0
CFFS.US,D,20220509,000000,9.95,9.95,9.92,9.92,49078,0
CFFS.US,D,20220510,000000,9.92,9.92,9.91,9.91,25264,0
CFFS.US,D,20220524,000000,9.89,9.905,9.86,9.905,51138,0
CFFS.US,D,20220525,000000,9.88,9.88,9.88,9.88,100001,0
CFFS.US,D,20220526,000000,9.94,9.94,9.91,9.91,1201,0
CFFS.US,D,20220531,000000,9.89,9.95,9.89,9.95,35953,0
CFFS.US,D,20220601,000000,9.92,9.92,9.87,9.92,35306,0
CFFS.US,D,20220602,000000,9.9,9.9,9.9,9.9,362,0
CFFS.US,D,20220603,000000,9.9,9.9,9.9,9.9,852,0
CFFS.US,D,20220607,000000,9.9,9.9,9.9,9.9,456100,0
CFFS.US,D,20220609,000000,9.97,9.97,9.97,9.97,100,0
CFFS.US,D,20220610,000000,9.97,9.97,9.97,9.97,809,0
CFFS.US,D,20220613,000000,9.9,9.93,9.9,9.93,26559,0
CFFS.US,D,20220621,000000,9.9,9.9,9.9,9.9,20421,0
CFFS.US,D,20220622,000000,9.87,9.9,9.87,9.9,112111,0
CFFS.US,D,20220628,000000,9.98,9.98,9.98,9.98,1060,0
CFFS.US,D,20220630,000000,9.95,10,9.92,10,7656,0
CFFS.US,D,20220706,000000,9.9,9.9,9.9,9.9,72524,0
CFFS.US,D,20220714,000000,9.92,9.95,9.92,9.92,11390,0
CFFS.US,D,20220715,000000,9.92,9.96,9.92,9.92,6610,0
CFFS.US,D,20220719,000000,9.92,9.95,9.92,9.95,2830,0
CFFS.US,D,20220720,000000,9.95,9.95,9.92,9.92,805,0
CFFS.US,D,20220721,000000,9.94,9.94,9.94,9.94,100,0
CFFS.US,D,20220722,000000,9.97,9.97,9.97,9.97,755,0
CFFS.US,D,20220726,000000,9.98,9.99,9.98,9.99,1045,0
CFFS.US,D,20220727,000000,9.945,9.96,9.93,9.93,89500,0
CFFS.US,D,20220728,000000,9.93,9.93,9.93,9.93,85500,0
CFFS.US,D,20220801,000000,9.96,9.96,9.95,9.95,958,0
CFFS.US,D,20220802,000000,9.96,9.96,9.96,9.96,729,0
CFFS.US,D,20220803,000000,9.96,9.96,9.96,9.96,2600,0
CFFS.US,D,20220805,000000,9.96,9.96,9.96,9.96,15016,0
CFFS.US,D,20220808,000000,9.99,9.99,9.99,9.99,1635,0
CFFS.US,D,20220815,000000,9.97,9.97,9.96,9.965,37428,0
CFFS.US,D,20220818,000000,9.94,9.95,9.94,9.94,462413,0
CFFS.US,D,20220823,000000,9.97,10,9.97,9.99,4271,0
CFFS.US,D,20220825,000000,9.95,9.95,9.95,9.95,1000,0
CFFS.US,D,20220830,000000,9.93,9.93,9.93,9.93,365,0
CFFS.US,D,20220901,000000,10.43,10.45,9.96,9.97,652001,0
CFFS.US,D,20220902,000000,9.88,9.99,9.88,9.99,8442,0
CFFS.US,D,20220906,000000,9.98,9.98,9.98,9.98,2426,0
CFFS.US,D,20220907,000000,9.98,9.99,9.96,9.98,7569,0
CFFS.US,D,20220914,000000,9.94,9.95,9.93,9.95,6840,0
CFFS.US,D,20220919,000000,9.97,9.97,9.97,9.97,5235,0
CFFS.US,D,20220920,000000,9.98,9.98,9.98,9.98,7017,0
CFFS.US,D,20220923,000000,9.97,9.97,9.96,9.97,8001,0
CFFS.US,D,20220927,000000,9.97,9.97,9.97,9.97,30105,0
CFFS.US,D,20220928,000000,9.98,10,9.97,10,303389,0
CFFS.US,D,20220929,000000,10,10,9.99,10,26575,0
CFFS.US,D,20221003,000000,10,10,10,10,1200,0
CFFS.US,D,20221004,000000,9.985,9.985,9.985,9.985,120,0
CFFS.US,D,20221005,000000,10.07,10.07,10,10.01,1474,0
CFFS.US,D,20221011,000000,10,10.0001,9.98,9.98,1328,0
CFFS.US,D,20221025,000000,10,10,10,10,5625,0
CFFS.US,D,20221026,000000,10,10,10,10,1581,0
CFFS.US,D,20221028,000000,9.98,10.01,9.98,10.01,101015,0
CFFS.US,D,20221101,000000,9.985,9.985,9.985,9.985,1700,0
CFFS.US,D,20221103,000000,9.99,10,9.99,10,1572,0
CFFS.US,D,20221107,000000,10.01,10.04,10,10.01,24339,0
CFFS.US,D,20221109,000000,10,10,10,10,325,0
CFFS.US,D,20221110,000000,10,10,9.98,9.98,888,0
CFFS.US,D,20221114,000000,10,10,10,10,312,0
CFFS.US,D,20221115,000000,10,10,10,10,2735,0
CFFS.US,D,20221117,000000,10,10,10,10,211,0
CFFS.US,D,20221118,000000,10.06,10.06,10.06,10.06,210,0
CFFS.US,D,20221122,000000,10.02,10.02,10.0196,10.0196,23341,0
CFFS.US,D,20221123,000000,10.025,10.03,10.025,10.03,1200,0
CFFS.US,D,20221128,000000,10.035,10.035,10.03,10.03,24211,0
CFFS.US,D,20221201,000000,10.03,10.04,10.03,10.04,30925,0
CFFS.US,D,20221202,000000,10.06,10.06,10.06,10.06,700,0
CFFS.US,D,20221205,000000,10.06,10.07,10.06,10.07,400027,0
CFFS.US,D,20221206,000000,10.07,10.09,10.07,10.09,27724,0
CFFS.US,D,20221207,000000,10.09,10.13,10.09,10.12,34386,0
CFFS.US,D,20221208,000000,10.12,10.125,10.12,10.12,150200,0
CFFS.US,D,20221209,000000,10.12,10.13,10.12,10.13,46700,0
CFFS.US,D,20221212,000000,10.08,10.12,10.08,10.105,141074,0
CFFS.US,D,20221215,000000,10.13,10.13,10.13,10.13,353,0
CFFS.US,D,20221216,000000,10.11,10.11,10.11,10.11,110,0
CFFS.US,D,20221220,000000,10.12,10.13,10.11,10.12,184903,0
CFFS.US,D,20221221,000000,10.11,10.15,10.07,10.12,331397,0
CFFS.US,D,20221222,000000,10.12,10.12,10.12,10.12,11719,0
CFFS.US,D,20221229,000000,10.13,10.16,10.13,10.16,2702,0
CFFS.US,D,20221230,000000,10.19,10.2,10.19,10.2,9106,0
CFFS.US,D,20230103,000000,10.14,10.14,10.14,10.14,100,0
CFFS.US,D,20230104,000000,10.14,10.14,10.14,10.14,22770,0
CFFS.US,D,20230105,000000,10.14,10.23,10.14,10.23,4760,0
CFFS.US,D,20230106,000000,10.17,10.1702,10.17,10.17,2490,0
CFFS.US,D,20230109,000000,10.15,10.17,10.15,10.17,426,0
CFFS.US,D,20230110,000000,10.165,10.17,10.15,10.17,5767,0
CFFS.US,D,20230111,000000,10.16,10.18,10.16,10.18,9126,0
CFFS.US,D,20230113,000000,10.19,10.19,10.19,10.19,6140,0
CFFS.US,D,20230117,000000,10.55,10.55,10.19,10.19,6904,0
CFFS.US,D,20230118,000000,10.2,10.21,10.2,10.205,257078,0
CFFS.US,D,20230119,000000,10.21,10.21,10.2,10.2,55975,0
CFFS.US,D,20230123,000000,10.21,10.24,10.2,10.24,5054,0
CFFS.US,D,20230124,000000,10.22,10.22,10.2,10.2,8835,0
CFFS.US,D,20230126,000000,10.22,10.22,10.22,10.22,239,0
CFFS.US,D,20230127,000000,10.22,10.23,10.22,10.225,2990,0
CFFS.US,D,20230130,000000,10.225,10.225,10.225,10.225,3000,0
CFFS.US,D,20230131,000000,10.22,10.22,10.21,10.22,16210,0
CFFS.US,D,20230206,000000,10.23,10.23,10.23,10.23,115,0
CFFS.US,D,20230207,000000,10.24,10.24,10.24,10.24,17013,0
CFFS.US,D,20230208,000000,10.24,10.24,10.24,10.24,118,0
CFFS.US,D,20230210,000000,10.23,10.23,10.23,10.23,16862,0
CFFS.US,D,20230216,000000,10.24,10.25,10.24,10.25,99085,0
CFFS.US,D,20230222,000000,10.26,10.27,10.25,10.27,503133,0
CFFS.US,D,20230227,000000,10.28,10.28,10.26,10.27,51703,0
CFFS.US,D,20230228,000000,10.27,10.27,10.26,10.26,51003,0
CFFS.US,D,20230301,000000,10.27,10.27,10.27,10.27,15489,0
CFFS.US,D,20230302,000000,10.26,10.26,10.26,10.26,3387,0
CFFS.US,D,20230306,000000,10.32,10.32,10.32,10.32,100,0
CFFS.US,D,20230308,000000,10.29,10.29,10.29,10.29,1000,0
CFFS.US,D,20230309,000000,10.3,10.3,10.3,10.3,157338,0
CFFS.US,D,20230315,000000,10.31,10.31,10.31,10.31,135,0
CFFS.US,D,20230321,000000,10.32,10.8,10.32,10.35,195955,0
CFFS.US,D,20230323,000000,10.34,10.35,10.33,10.33,514019,0
CFFS.US,D,20230324,000000,10.35,10.35,10.33,10.33,1853,0
CFFS.US,D,20230328,000000,10.36,10.36,10.33,10.33,1601,0
CFFS.US,D,20230329,000000,10.385,10.39,10.34,10.34,1526,0
CFFS.US,D,20230330,000000,10.36,10.36,10.33,10.33,730,0
CFFS.US,D,20230331,000000,10.34,10.35,10.34,10.34,28700,0
CFFS.US,D,20230403,000000,10.34,10.345,10.33,10.345,183176,0
CFFS.US,D,20230404,000000,10.34,10.34,10.34,10.34,95630,0
CFFS.US,D,20230405,000000,10.34,10.34,10.34,10.34,8284,0
CFFS.US,D,20230406,000000,10.34,10.35,10.34,10.34,6879,0
CFFS.US,D,20230410,000000,10.34,10.34,10.34,10.34,25000,0
CFFS.US,D,20230411,000000,10.34,10.34,10.34,10.34,13801,0
CFFS.US,D,20230412,000000,10.34,10.34,10.34,10.34,5243,0
CFFS.US,D,20230413,000000,10.34,10.34,10.34,10.34,5000,0
CFFS.US,D,20230414,000000,10.345,10.35,10.345,10.35,28149,0
CFFS.US,D,20230417,000000,10.35,10.35,10.35,10.35,2000,0
CFFS.US,D,20230418,000000,10.35,10.35,10.35,10.35,5179,0
CFFS.US,D,20230419,000000,10.35,10.35,10.35,10.35,140,0
CFFS.US,D,20230420,000000,10.35,10.35,10.34,10.34,1302,0
CFFS.US,D,20230424,000000,10.33,10.35,10.33,10.34,681713,0
CFFS.US,D,20230425,000000,10.34,10.36,10.34,10.36,3935,0
CFFS.US,D,20230426,000000,10.36,10.36,10.35,10.36,147502,0
CFFS.US,D,20230428,000000,10.37,10.37,10.355,10.36,379,0
CFFS.US,D,20230501,000000,10.36,10.36,10.36,10.36,97658,0
CFFS.US,D,20230502,000000,10.36,10.36,10.36,10.36,72700,0
CFFS.US,D,20230503,000000,10.36,10.37,10.34,10.36,51173,0
CFFS.US,D,20230504,000000,10.36,10.365,10.36,10.36,43591,0
CFFS.US,D,20230505,000000,10.36,10.36,10.36,10.36,100,0
CFFS.US,D,20230509,000000,10.38,10.3821,10.37,10.3821,13498,0
CFFS.US,D,20230510,000000,10.375,10.375,10.375,10.375,1200,0
CFFS.US,D,20230512,000000,10.38,10.38,10.38,10.38,25100,0
CFFS.US,D,20230516,000000,10.39,10.4,10.385,10.395,3363628,0
CFFS.US,D,20230517,000000,10.39,10.39,10.39,10.39,310189,0
CFFS.US,D,20230519,000000,10.39,10.4,10.39,10.4,101100,0
CFFS.US,D,20230522,000000,10.4,10.405,10.4,10.405,450845,0
CFFS.US,D,20230523,000000,10.4,10.41,10.4,10.41,211077,0
CFFS.US,D,20230524,000000,10.41,10.41,10.41,10.41,431623,0
CFFS.US,D,20230525,000000,10.41,10.41,10.41,10.41,79302,0
CFFS.US,D,20230526,000000,10.4,10.4,10.4,10.4,1290,0
CFFS.US,D,20230530,000000,10.4,10.4,10.4,10.4,4904,0
CFFS.US,D,20230601,000000,10.43,10.43,10.41,10.41,2272,0
CFFS.US,D,20230602,000000,10.41,10.4199,10.405,10.4199,35728,0
CFFS.US,D,20230605,000000,10.42,10.43,10.42,10.42,275705,0
CFFS.US,D,20230606,000000,10.4199,10.4201,10.415,10.4201,176034,0
CFFS.US,D,20230607,000000,10.41,10.43,10.41,10.43,378137,0
CFFS.US,D,20230608,000000,10.43,10.6501,10.43,10.45,609318,0
CFFS.US,D,20230609,000000,10.44,10.46,10.44,10.4501,801748,0
CFFS.US,D,20230612,000000,10.62,10.8005,10.45,10.46,29642,0
CFFS.US,D,20230613,000000,10.44,10.51,10.44,10.45,1637,0
CFFS.US,D,20230614,000000,10.43,10.5099,10.43,10.43,17947,0
CFFS.US,D,20230615,000000,10.47,10.51,10.4604,10.49,35591,0
CFFS.US,D,20230616,000000,10.5004,11.515,10.48,10.5,317902,0
CFFS.US,D,20230620,000000,10.5,10.5,10.48,10.48,23359,0
CFFS.US,D,20230621,000000,10.51,10.52,10.51,10.51,60422,0
CFFS.US,D,20230622,000000,10.51,10.67,10.51,10.51,68948,0
CFFS.US,D,20230623,000000,11.2326,11.33,10.54,10.54,55157,0
CFFS.US,D,20230626,000000,10.54,10.8,10.5,10.56,38028,0
CFFS.US,D,20230627,000000,11.2876,11.2876,10.6517,10.6517,722,0
CFFS.US,D,20230628,000000,10.65,10.95,10.59,10.6,12310,0
CFFS.US,D,20230629,000000,11.035,11.035,10.55,10.55,14264,0
CFFS.US,D,20230630,000000,10.59,10.61,10.58,10.58,2655,0
CFFS.US,D,20230703,000000,10.9,10.9264,10.62,10.65,53898,0
CFFS.US,D,20230705,000000,10.625,10.63,10.55,10.55,22321,0
CFFS.US,D,20230707,000000,10.6,10.61,10.6,10.6,7608,0
CFFS.US,D,20230712,000000,10.56,10.57,10.56,10.56,5108,0
CFFS.US,D,20230713,000000,10.56,10.56,10.56,10.56,1007,0
CFFS.US,D,20230714,000000,10.56,10.56,10.56,10.56,3300,0
CFFS.US,D,20230718,000000,10.56,10.56,10.56,10.56,1600,0
CFFS.US,D,20230720,000000,10.59,10.59,10.59,10.59,1011,0
CFFS.US,D,20230725,000000,10.57,10.57,10.57,10.57,11000,0
CFFS.US,D,20230726,000000,10.57,10.57,10.57,10.57,101,0
CFFS.US,D,20230727,000000,10.57,10.57,10.57,10.57,101,0
CFFS.US,D,20230728,000000,10.58,10.58,10.58,10.58,102,0
CFFS.US,D,20230801,000000,10.58,10.58,10.58,10.58,101,0
