<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLOER.US,D,20210913,000000,0.4,0.5,0.4,0.45,1216339,0
CLOER.US,D,20210914,000000,0.45,0.45,0.3986,0.4,230107,0
CLOER.US,D,20210915,000000,0.4,0.4,0.392499,0.4,62772,0
CLOER.US,D,20210916,000000,0.402,0.43,0.4,0.43,112819,0
CLOER.US,D,20210917,000000,0.43,0.43,0.41,0.4101,50009,0
CLOER.US,D,20210920,000000,0.4101,0.4102,0.4101,0.4101,7001,0
CLOER.US,D,20210921,000000,0.415,0.415,0.4025,0.414899,227001,0
CLOER.US,D,20210922,000000,0.4001,0.41,0.4001,0.41,500,0
CLOER.US,D,20210924,000000,0.4,0.40505,0.3801,0.3851,669419,0
CLOER.US,D,20210927,000000,0.395,0.411,0.395,0.402,10100,0
CLOER.US,D,20210928,000000,0.4,0.4,0.4,0.4,153000,0
CLOER.US,D,20210929,000000,0.44,0.44,0.44,0.44,2300,0
CLOER.US,D,20210930,000000,0.42,0.42,0.4194,0.4194,32704,0
CLOER.US,D,20211001,000000,0.42,0.45,0.42,0.42,50500,0
CLOER.US,D,20211004,000000,0.42,0.42,0.405,0.405,70000,0
CLOER.US,D,20211005,000000,0.4,0.43,0.4,0.4001,140000,0
CLOER.US,D,20211006,000000,0.4,0.4,0.366001,0.38,316123,0
CLOER.US,D,20211007,000000,0.375,0.375,0.375,0.375,25040,0
CLOER.US,D,20211011,000000,0.4,0.4325,0.375,0.382,22000,0
CLOER.US,D,20211012,000000,0.38,0.38,0.3786,0.3786,31100,0
CLOER.US,D,20211013,000000,0.382,0.382,0.382,0.382,2660,0
CLOER.US,D,20211014,000000,0.38,0.39,0.3796,0.38,34000,0
CLOER.US,D,20211015,000000,0.382,0.382,0.37,0.3701,27400,0
CLOER.US,D,20211018,000000,0.3726,0.4,0.372,0.4,32691,0
CLOER.US,D,20211019,000000,0.43,0.45,0.43,0.43,69288,0
CLOER.US,D,20211020,000000,0.44,0.44,0.44,0.44,76299,0
CLOER.US,D,20211021,000000,0.45,0.45,0.44,0.44,2300,0
CLOER.US,D,20211025,000000,0.42,0.42,0.42,0.42,618,0
CLOER.US,D,20211027,000000,0.44,0.534999,0.44,0.44,1602,0
CLOER.US,D,20211102,000000,0.5,0.5,0.5,0.5,15800,0
CLOER.US,D,20211103,000000,0.6,0.6,0.44,0.44,246717,0
CLOER.US,D,20211104,000000,0.4411,0.445,0.435,0.445,84000,0
CLOER.US,D,20211105,000000,0.445,0.4451,0.435,0.4451,10899,0
CLOER.US,D,20211109,000000,0.45,0.45,0.445999,0.445999,203,0
CLOER.US,D,20211110,000000,0.45,0.45,0.44,0.45,92326,0
CLOER.US,D,20211111,000000,0.435,0.4505,0.435,0.45,79499,0
CLOER.US,D,20211112,000000,0.55,0.55,0.442,0.442,2901,0
CLOER.US,D,20211115,000000,0.45,0.45,0.45,0.45,2324,0
CLOER.US,D,20211116,000000,0.48,0.48,0.44,0.44,50603,0
CLOER.US,D,20211117,000000,0.44,0.44,0.44,0.44,212,0
CLOER.US,D,20211118,000000,0.44,0.51,0.44,0.455,172354,0
CLOER.US,D,20211119,000000,0.44,0.4697,0.44,0.4697,412,0
CLOER.US,D,20211123,000000,0.4511,0.4511,0.44,0.44,22217,0
CLOER.US,D,20211124,000000,0.5,0.5,0.5,0.5,2200,0
CLOER.US,D,20211129,000000,0.5,0.5,0.46,0.46,481,0
CLOER.US,D,20211130,000000,0.44,0.44,0.44,0.44,13665,0
CLOER.US,D,20211201,000000,0.4405,0.4405,0.44,0.44,203955,0
CLOER.US,D,20211208,000000,0.48,0.48,0.48,0.48,155,0
CLOER.US,D,20211209,000000,0.48,0.48,0.48,0.48,220,0
CLOER.US,D,20211213,000000,0.45,0.45,0.45,0.45,150,0
CLOER.US,D,20211214,000000,0.45,0.45,0.45,0.45,7401,0
CLOER.US,D,20211215,000000,0.47,0.47,0.45,0.45,73724,0
CLOER.US,D,20211217,000000,0.45,0.45,0.44,0.44,13738,0
CLOER.US,D,20211221,000000,0.44,0.44,0.44,0.44,188,0
CLOER.US,D,20211222,000000,0.4994,0.61,0.4994,0.51,6759,0
CLOER.US,D,20211223,000000,0.4411,0.4411,0.4406,0.4406,241,0
CLOER.US,D,20211229,000000,0.4406,0.4406,0.43,0.44,45000,0
CLOER.US,D,20211230,000000,0.44,0.44,0.44,0.44,600,0
CLOER.US,D,20220103,000000,0.43,0.43,0.43,0.43,1208,0
CLOER.US,D,20220104,000000,0.43,0.43,0.43,0.43,4083,0
CLOER.US,D,20220107,000000,0.4494,0.4494,0.4494,0.4494,702,0
CLOER.US,D,20220112,000000,0.39,0.39,0.39,0.39,300,0
CLOER.US,D,20220114,000000,0.44,0.44,0.44,0.44,90000,0
CLOER.US,D,20220124,000000,0.35,0.35,0.35,0.35,182,0
CLOER.US,D,20220125,000000,0.35,0.378,0.35,0.35,103550,0
CLOER.US,D,20220126,000000,0.36,0.36,0.36,0.36,480,0
CLOER.US,D,20220127,000000,0.37,0.37,0.37,0.37,52150,0
CLOER.US,D,20220128,000000,0.35,0.35,0.35,0.35,500,0
CLOER.US,D,20220222,000000,0.3406,0.3406,0.3406,0.3406,601,0
CLOER.US,D,20220223,000000,0.3406,0.3406,0.34,0.34,500001,0
CLOER.US,D,20220228,000000,0.3306,0.3306,0.3306,0.3306,953,0
CLOER.US,D,20220301,000000,0.328,0.328,0.32,0.32,9964,0
CLOER.US,D,20220311,000000,0.3151,0.3151,0.3051,0.3051,2105,0
CLOER.US,D,20220315,000000,0.308,0.308,0.308,0.308,800,0
