<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRZA.US,D,20220812,000000,13.96,15,7.26,7.49,19249296,0
FRZA.US,D,20220815,000000,6.61,6.9199,5.81,6.06,3543951,0
FRZA.US,D,20220816,000000,8.44,10.6,7.11,8.25,34335376,0
FRZA.US,D,20220817,000000,7.46,7.79,6.65,6.73,2060788,0
FRZA.US,D,20220818,000000,7.39,8.4,6.6638,6.86,5992562,0
FRZA.US,D,20220819,000000,6.56,6.7202,6.08,6.28,1050843,0
FRZA.US,D,20220822,000000,6.14,6.28,5.68,5.8,760904,0
FRZA.US,D,20220823,000000,5.58,5.8,4.88,4.93,937539,0
FRZA.US,D,20220824,000000,5.02,5.29,4.4501,4.59,1001626,0
FRZA.US,D,20220825,000000,4.57,4.77,4.3,4.42,643850,0
FRZA.US,D,20220826,000000,4.25,4.3495,3.75,3.89,1028364,0
FRZA.US,D,20220829,000000,3.75,3.95,3.68,3.91,377036,0
FRZA.US,D,20220830,000000,3.79,3.9499,3.58,3.7,354647,0
FRZA.US,D,20220831,000000,3.67,3.91,3.56,3.77,595668,0
FRZA.US,D,20220901,000000,3.71,3.8348,3.51,3.72,415780,0
FRZA.US,D,20220902,000000,4.26,4.59,3.91,4.39,12124040,0
FRZA.US,D,20220906,000000,4.14,4.2414,3.38,3.4,1026434,0
FRZA.US,D,20220907,000000,3.33,3.37,3.05,3.3,387256,0
FRZA.US,D,20220908,000000,3.32,3.38,3.15,3.26,215145,0
FRZA.US,D,20220909,000000,3.25,3.543,2.83,3.36,547214,0
FRZA.US,D,20220912,000000,3.37,3.3791,3.075,3.14,305538,0
FRZA.US,D,20220913,000000,3,3.1099,2.7809,2.82,338996,0
FRZA.US,D,20220914,000000,2.87,3.0599,2.7801,2.96,237731,0
FRZA.US,D,20220915,000000,2.92,3.05,2.77,2.82,210465,0
FRZA.US,D,20220916,000000,2.77,2.8254,2.58,2.58,266659,0
FRZA.US,D,20220919,000000,2.58,2.68,2.3599,2.36,266432,0
FRZA.US,D,20220920,000000,2.33,2.54,2.24,2.28,202958,0
FRZA.US,D,20220921,000000,2.29,2.3501,2.18,2.19,122707,0
FRZA.US,D,20220922,000000,2.23,2.88,2.15,2.53,2412462,0
FRZA.US,D,20220923,000000,2.47,2.47,2.1,2.14,321089,0
FRZA.US,D,20220926,000000,2.14,2.25,2.1,2.11,164500,0
FRZA.US,D,20220927,000000,2.12,2.17,1.98,2.04,116043,0
FRZA.US,D,20220928,000000,2.015,2.159,2.001,2.1,101701,0
FRZA.US,D,20220929,000000,2.11,2.145,1.92,1.95,115447,0
FRZA.US,D,20220930,000000,1.95,2.04,1.87,1.93,85083,0
FRZA.US,D,20221003,000000,1.91,2,1.91,1.97,61460,0
FRZA.US,D,20221004,000000,2.03,2.07,2,2.02,49446,0
FRZA.US,D,20221005,000000,2.0874,2.0999,1.9601,2.05,49749,0
FRZA.US,D,20221006,000000,2.05,2.11,1.9513,2.08,70510,0
FRZA.US,D,20221007,000000,2,2.0667,1.87,1.93,54045,0
FRZA.US,D,20221010,000000,1.89,1.945,1.89,1.93,28117,0
FRZA.US,D,20221011,000000,1.89,2,1.8524,1.87,30757,0
FRZA.US,D,20221012,000000,1.96,1.96,1.8009,1.82,61398,0
FRZA.US,D,20221013,000000,1.78,1.86,1.68,1.8,111732,0
FRZA.US,D,20221014,000000,1.85,1.86,1.7601,1.8,46353,0
FRZA.US,D,20221017,000000,1.79,1.91,1.78,1.79,102480,0
FRZA.US,D,20221018,000000,1.82,1.8999,1.71,1.7356,34452,0
FRZA.US,D,20221019,000000,1.68,1.78,1.68,1.71,13721,0
FRZA.US,D,20221020,000000,1.72,1.8,1.6801,1.73,42931,0
FRZA.US,D,20221021,000000,1.71,1.7711,1.68,1.72,66217,0
FRZA.US,D,20221024,000000,1.68,1.74,1.53,1.59,85942,0
FRZA.US,D,20221025,000000,1.56,1.705,1.56,1.68,40748,0
FRZA.US,D,20221026,000000,1.6466,1.77,1.63,1.67,43649,0
FRZA.US,D,20221027,000000,1.74,1.74,1.63,1.63,23684,0
FRZA.US,D,20221028,000000,1.61,1.7207,1.61,1.67,33687,0
FRZA.US,D,20221031,000000,1.66,1.67,1.5763,1.66,33269,0
FRZA.US,D,20221101,000000,1.68,1.71,1.6109,1.69,35853,0
