<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GHIX.US,D,20220324,000000,9.68,9.68,9.68,9.68,119,0
GHIX.US,D,20220330,000000,9.72,9.72,9.72,9.72,4262,0
GHIX.US,D,20220331,000000,9.75,9.8,9.75,9.78,1905,0
GHIX.US,D,20220401,000000,9.75,9.75,9.75,9.75,201,0
GHIX.US,D,20220404,000000,9.72,9.72,9.7,9.7,986639,0
GHIX.US,D,20220405,000000,9.75,9.75,9.75,9.75,1571,0
GHIX.US,D,20220407,000000,9.7101,9.7101,9.71,9.71,306,0
GHIX.US,D,20220411,000000,9.9,9.9,9.9,9.9,127,0
GHIX.US,D,20220413,000000,9.9,9.9,9.9,9.9,1095,0
GHIX.US,D,20220414,000000,9.88,9.88,9.87,9.87,1926,0
GHIX.US,D,20220418,000000,9.87,9.87,9.87,9.87,150,0
GHIX.US,D,20220419,000000,9.87,9.9,9.87,9.9,448,0
GHIX.US,D,20220421,000000,9.78,9.78,9.78,9.78,8960,0
GHIX.US,D,20220425,000000,9.72,9.77,9.71,9.77,5135,0
GHIX.US,D,20220426,000000,9.77,9.78,9.75,9.75,7400,0
GHIX.US,D,20220427,000000,9.7,9.78,9.7,9.78,5100,0
GHIX.US,D,20220428,000000,9.79,9.79,9.72,9.77,19105,0
GHIX.US,D,20220429,000000,9.77,9.77,9.73,9.73,6555,0
GHIX.US,D,20220502,000000,9.73,9.73,9.72,9.73,1020295,0
GHIX.US,D,20220503,000000,9.73,9.76,9.73,9.76,13900,0
GHIX.US,D,20220504,000000,9.8,9.8,9.8,9.8,321,0
GHIX.US,D,20220505,000000,9.77,9.77,9.77,9.77,701,0
GHIX.US,D,20220506,000000,9.73,9.8,9.73,9.8,23650,0
GHIX.US,D,20220509,000000,9.75,9.78,9.75,9.755,701,0
GHIX.US,D,20220510,000000,9.77,9.77,9.68,9.7,80298,0
GHIX.US,D,20220511,000000,9.69,9.72,9.68,9.72,7800,0
GHIX.US,D,20220512,000000,9.68,9.69,9.65,9.67,79007,0
GHIX.US,D,20220513,000000,9.65,9.66,9.63,9.655,49174,0
GHIX.US,D,20220516,000000,9.65,9.7,9.63,9.65,509270,0
GHIX.US,D,20220517,000000,9.65,9.65,9.65,9.65,7719,0
GHIX.US,D,20220518,000000,9.65,9.65,9.64,9.65,6210,0
GHIX.US,D,20220519,000000,9.64,9.65,9.64,9.65,10704,0
GHIX.US,D,20220520,000000,9.65,9.65,9.65,9.65,1126,0
GHIX.US,D,20220523,000000,9.65,9.66,9.65,9.65,18348,0
GHIX.US,D,20220524,000000,9.6,9.65,9.6,9.64,52610,0
GHIX.US,D,20220525,000000,9.6395,9.65,9.6299,9.6299,421841,0
GHIX.US,D,20220526,000000,9.62,9.64,9.62,9.64,25103,0
GHIX.US,D,20220527,000000,9.66,9.66,9.645,9.645,190162,0
GHIX.US,D,20220531,000000,9.66,9.67,9.6,9.6375,24514,0
GHIX.US,D,20220601,000000,9.65,9.65,9.63,9.65,5509,0
GHIX.US,D,20220602,000000,9.61,9.67,9.61,9.67,90997,0
GHIX.US,D,20220603,000000,9.63,9.68,9.63,9.67,375305,0
GHIX.US,D,20220606,000000,9.64,9.66,9.62,9.625,15135,0
GHIX.US,D,20220607,000000,9.65,9.65,9.65,9.65,200,0
GHIX.US,D,20220608,000000,9.65,9.67,9.64,9.66,633612,0
GHIX.US,D,20220609,000000,9.64,9.65,9.62,9.65,2500,0
GHIX.US,D,20220610,000000,9.64,9.65,9.62,9.65,7201,0
GHIX.US,D,20220613,000000,9.65,9.65,9.62,9.62,28003,0
GHIX.US,D,20220615,000000,9.65,9.65,9.65,9.65,101,0
GHIX.US,D,20220616,000000,9.63,9.65,9.62,9.65,10113,0
GHIX.US,D,20220617,000000,9.65,9.9,9.65,9.9,30415,0
GHIX.US,D,20220622,000000,9.68,9.715,9.65,9.65,100301,0
GHIX.US,D,20220624,000000,9.7,9.7,9.65,9.65,101155,0
