<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PROCW.US,D,20211001,000000,1.03,1.24,1.03,1.0684,156574,0
PROCW.US,D,20211004,000000,1.0001,1.15,0.97,1.08,78205,0
PROCW.US,D,20211005,000000,0.99,1.1,0.98,1.035,43419,0
PROCW.US,D,20211006,000000,1.0383,1.07,0.96,1.05,20473,0
PROCW.US,D,20211007,000000,1.03,1.04,0.9901,1.04,36921,0
PROCW.US,D,20211008,000000,1.04,1.2,1.0005,1.2,32276,0
PROCW.US,D,20211011,000000,1.09,1.09,0.9701,1.05,48202,0
PROCW.US,D,20211012,000000,1.09,1.09,1.02,1.09,51012,0
PROCW.US,D,20211013,000000,1.12,1.12,0.9812,1.02,91193,0
PROCW.US,D,20211014,000000,1.03,1.03,0.96,1.03,131379,0
PROCW.US,D,20211015,000000,1.03,1.03,0.9601,0.9999,49087,0
PROCW.US,D,20211018,000000,1.03,1.03,0.96,0.9999,60425,0
PROCW.US,D,20211019,000000,0.999,1.02,0.9701,0.9975,27193,0
PROCW.US,D,20211020,000000,1.03,1.05,1,1.03,51956,0
PROCW.US,D,20211021,000000,1.04,1.14,1,1.05,68114,0
PROCW.US,D,20211022,000000,1.05,1.12,1.03,1.04,120527,0
PROCW.US,D,20211025,000000,1.05,1.09,0.98505,1.08,150006,0
PROCW.US,D,20211026,000000,1.06,1.06,0.96,1,36657,0
PROCW.US,D,20211027,000000,1.03,1.12,0.9601,1.12,26407,0
PROCW.US,D,20211028,000000,1.09,1.1,1.05,1.1,25700,0
PROCW.US,D,20211029,000000,1.17,1.17,0.98,1.03,73515,0
PROCW.US,D,20211101,000000,1.05,1.1,1.04,1.07,40300,0
PROCW.US,D,20211102,000000,1.03,1.06,1.02,1.0295,11039,0
PROCW.US,D,20211103,000000,1.07,1.07,1.02,1.0301,8100,0
PROCW.US,D,20211104,000000,1.08,1.08,0.99,1.03,173113,0
PROCW.US,D,20211105,000000,1.05,1.08,1.05,1.05,16809,0
PROCW.US,D,20211108,000000,1.08,1.08,1.02,1.05,47487,0
PROCW.US,D,20211109,000000,1.09,1.09,0.98,1.03,30941,0
PROCW.US,D,20211110,000000,1.09,1.09,0.9913,1.04,37047,0
PROCW.US,D,20211111,000000,1.09,1.09,0.995,1.01,28843,0
PROCW.US,D,20211112,000000,1.02,1.02,0.9975,1.0198,18627,0
PROCW.US,D,20211115,000000,0.9802,1.02,0.96,0.98,38459,0
PROCW.US,D,20211116,000000,0.9531,1.01,0.9302,0.9799,9024,0
PROCW.US,D,20211117,000000,0.96,1,0.91,0.920201,49351,0
PROCW.US,D,20211118,000000,0.99,0.99,0.9101,0.95,214391,0
PROCW.US,D,20211119,000000,0.97015,1.0199,0.91,0.9999,80781,0
PROCW.US,D,20211122,000000,0.9403,1.02,0.9,0.9202,52857,0
PROCW.US,D,20211123,000000,0.94,1.02,0.8902,0.971,39194,0
PROCW.US,D,20211124,000000,0.9897,1.02,0.9402,0.9701,23025,0
PROCW.US,D,20211126,000000,0.9233,1.02,0.91,0.99,30972,0
PROCW.US,D,20211129,000000,0.99,1.09,0.9,0.9499,43252,0
PROCW.US,D,20211130,000000,0.9001,0.9498,0.8899,0.94,5531,0
