<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGOL.US,D,20230113,000000,8.6,16.61,4.29,4.65,14431000,0
MGOL.US,D,20230117,000000,5.41,6.7,4.64,4.9,16055700,0
MGOL.US,D,20230118,000000,4.64,4.89,3.7,3.7,3666700,0
MGOL.US,D,20230119,000000,3.46,4.1,3.31,3.93,3009200,0
MGOL.US,D,20230120,000000,3.55,3.802,3.4,3.44,1346500,0
MGOL.US,D,20230123,000000,3.55,3.65,3.25,3.28,1170310,0
MGOL.US,D,20230124,000000,3.2,3.25,2.85,2.85,1831735,0
MGOL.US,D,20230125,000000,2.8,3.13,2.71,2.78,2463506,0
MGOL.US,D,20230126,000000,2.82,2.92,2.68,2.7,893316,0
MGOL.US,D,20230127,000000,2.69,2.85,2.55,2.57,1165149,0
MGOL.US,D,20230130,000000,2.57,2.5893,2.35,2.38,830007,0
MGOL.US,D,20230131,000000,2.35,2.44,2.26,2.4,906877,0
MGOL.US,D,20230201,000000,2.6,2.73,2.4,2.69,1581686,0
MGOL.US,D,20230202,000000,3,3,2.58,2.66,3891712,0
MGOL.US,D,20230203,000000,2.52,2.6,2.42,2.44,522318,0
MGOL.US,D,20230206,000000,2.39,2.5,2.31,2.33,623366,0
MGOL.US,D,20230207,000000,2.28,2.33,2.12,2.15,579505,0
MGOL.US,D,20230208,000000,2.12,2.15,1.91,1.97,719990,0
MGOL.US,D,20230209,000000,2.1,2.2,1.93,1.99,810908,0
MGOL.US,D,20230210,000000,1.95,1.95,1.77,1.84,582575,0
MGOL.US,D,20230213,000000,1.81,1.93,1.75,1.91,331075,0
MGOL.US,D,20230214,000000,1.87,1.95,1.81,1.85,177244,0
MGOL.US,D,20230215,000000,1.84,2.01,1.78,1.99,502606,0
MGOL.US,D,20230216,000000,1.92,2.27,1.88,2.19,1424594,0
MGOL.US,D,20230217,000000,2.2,2.2091,1.95,1.97,450390,0
MGOL.US,D,20230221,000000,1.94,2.05,1.82,1.835,388701,0
MGOL.US,D,20230222,000000,1.83,2.04,1.83,1.91,495872,0
MGOL.US,D,20230223,000000,1.96,2.689,1.9,2.1,5706142,0
MGOL.US,D,20230224,000000,2.1,2.1,1.85,1.86,701798,0
MGOL.US,D,20230227,000000,1.95,2.0799,1.91,2.01,538252,0
MGOL.US,D,20230228,000000,2,2.04,1.84,1.87,460087,0
MGOL.US,D,20230301,000000,1.89,1.91,1.81,1.85,205753,0
MGOL.US,D,20230302,000000,1.82,1.94,1.8117,1.89,177886,0
MGOL.US,D,20230303,000000,1.89,1.96,1.85,1.94,131621,0
MGOL.US,D,20230306,000000,1.95,1.9599,1.85,1.87,151545,0
MGOL.US,D,20230307,000000,1.8737,1.97,1.82,1.8878,175944,0
MGOL.US,D,20230308,000000,1.86,1.89,1.83,1.85,87844,0
MGOL.US,D,20230309,000000,1.84,1.88,1.7,1.74,161240,0
MGOL.US,D,20230310,000000,1.67,1.68,1.4,1.5,509834,0
MGOL.US,D,20230313,000000,1.42,1.47,1.37,1.395,223306,0
MGOL.US,D,20230314,000000,1.39,1.56,1.39,1.43,175270,0
MGOL.US,D,20230315,000000,1.38,1.3877,1.27,1.28,256908,0
MGOL.US,D,20230316,000000,1.3,1.33,1.2201,1.26,144325,0
MGOL.US,D,20230317,000000,1.3,1.31,1.21,1.21,160834,0
MGOL.US,D,20230320,000000,1.205,1.205,0.94,0.959,587561,0
MGOL.US,D,20230321,000000,0.97,1.0499,0.97,1,390504,0
MGOL.US,D,20230322,000000,1.03,1.03,0.98,0.9848,113307,0
MGOL.US,D,20230323,000000,1.0001,1.03,0.9805,1.01,114699,0
MGOL.US,D,20230324,000000,1.02,1.02,1.0025,1.02,47789,0
MGOL.US,D,20230327,000000,1.0206,1.03,1,1.0281,65216,0
MGOL.US,D,20230328,000000,1.04,1.5076,1.01,1.36,5371483,0
MGOL.US,D,20230329,000000,1.4,1.4,1.14,1.19,631856,0
MGOL.US,D,20230330,000000,1.19,1.43,1.15,1.3401,579912,0
MGOL.US,D,20230331,000000,1.31,1.5102,1.2901,1.4601,473314,0
MGOL.US,D,20230403,000000,1.52,1.7899,1.445,1.71,1046944,0
MGOL.US,D,20230404,000000,1.71,1.71,1.13,1.19,661301,0
MGOL.US,D,20230405,000000,1.22,1.22,0.9865,1.01,417441,0
MGOL.US,D,20230406,000000,1.02,1.09,1,1.03,971789,0
MGOL.US,D,20230410,000000,1,1.03,0.9601,0.971,271952,0
MGOL.US,D,20230411,000000,0.9637,1.08,0.961,1.0519,295165,0
MGOL.US,D,20230412,000000,1.05,1.08,0.981,0.9925,118578,0
MGOL.US,D,20230413,000000,1.01,1.07,0.982,1.06,128838,0
MGOL.US,D,20230414,000000,1.02,1.08,1.01,1.0469,75188,0
MGOL.US,D,20230417,000000,1.03,1.07,1.02,1.042,67503,0
MGOL.US,D,20230418,000000,1.02,1.05,1.0101,1.03,92695,0
MGOL.US,D,20230419,000000,0.9996,1.04,0.965,0.9965,93056,0
MGOL.US,D,20230420,000000,0.9666,0.9999,0.92,0.94,149910,0
MGOL.US,D,20230421,000000,0.975,1.21,0.975,1.16,4448967,0
MGOL.US,D,20230424,000000,1.08,1.12,1.01,1.025,761638,0
MGOL.US,D,20230425,000000,1.11,1.1299,0.94,1.04,1151498,0
MGOL.US,D,20230426,000000,1.01,1.06,0.9901,1.02,174439,0
MGOL.US,D,20230427,000000,1.02,1.06,0.9842,1.03,140340,0
MGOL.US,D,20230428,000000,1.04,1.15,1.04,1.0934,433196,0
MGOL.US,D,20230501,000000,1.1,1.14,1.08,1.09,150658,0
MGOL.US,D,20230502,000000,1.06,1.15,1,1.11,386259,0
MGOL.US,D,20230503,000000,1.15,1.19,1.0485,1.17,276711,0
MGOL.US,D,20230504,000000,1.19,1.2299,1.14,1.17,140682,0
MGOL.US,D,20230505,000000,1.18,1.18,1.12,1.18,79377,0
