<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MITAU.US,D,20210624,000000,9.89,9.9,9.88,9.9,223876,0
MITAU.US,D,20210625,000000,9.89,9.9,9.87,9.88,56629,0
MITAU.US,D,20210628,000000,9.92,9.93,9.86,9.9,220611,0
MITAU.US,D,20210629,000000,9.9,9.92,9.895,9.9,63091,0
MITAU.US,D,20210630,000000,9.89,9.9,9.87,9.88,36921,0
MITAU.US,D,20210701,000000,9.9,9.9,9.88,9.89,12527,0
MITAU.US,D,20210702,000000,9.82,9.93,9.82,9.93,1254964,0
MITAU.US,D,20210706,000000,9.92,9.93,9.88,9.91,107009,0
MITAU.US,D,20210707,000000,9.93,9.94,9.91,9.94,457627,0
MITAU.US,D,20210708,000000,9.915,9.94,9.89,9.89,4500,0
MITAU.US,D,20210709,000000,9.915,9.94,9.915,9.94,300,0
MITAU.US,D,20210712,000000,9.9,9.94,9.9,9.94,1600,0
MITAU.US,D,20210713,000000,9.9,9.94,9.9,9.94,13028,0
MITAU.US,D,20210715,000000,9.94,9.94,9.94,9.94,100,0
MITAU.US,D,20210716,000000,9.94,9.94,9.9,9.91,48555,0
MITAU.US,D,20210719,000000,9.93,9.93,9.89,9.91,23151,0
MITAU.US,D,20210720,000000,9.93,9.93,9.9,9.905,8846,0
MITAU.US,D,20210721,000000,9.9,9.92,9.88,9.89,48874,0
MITAU.US,D,20210722,000000,9.91,9.91,9.88,9.88,43984,0
MITAU.US,D,20210723,000000,9.9,9.9,9.88,9.88,5714,0
MITAU.US,D,20210726,000000,9.9,9.9,9.87,9.9,109832,0
MITAU.US,D,20210727,000000,9.89,9.9,9.88,9.89,19230,0
MITAU.US,D,20210728,000000,9.91,9.91,9.87,9.89,9510,0
MITAU.US,D,20210729,000000,9.89,9.89,9.86,9.89,14071,0
MITAU.US,D,20210730,000000,9.8878,9.89,9.86,9.89,5040,0
MITAU.US,D,20210802,000000,9.86,9.88,9.83,9.87,10809,0
MITAU.US,D,20210803,000000,9.89,9.89,9.83,9.88,3359,0
MITAU.US,D,20210804,000000,9.89,9.89,9.85,9.88,274562,0
MITAU.US,D,20210805,000000,9.88,9.88,9.86,9.88,4699,0
MITAU.US,D,20210806,000000,9.87,9.87,9.85,9.87,6191,0
MITAU.US,D,20210811,000000,9.86,9.86,9.85,9.85,2035,0
MITAU.US,D,20210812,000000,9.86,9.86,9.86,9.86,150,0
MITAU.US,D,20210813,000000,9.86,9.86,9.86,9.86,101,0
MITAU.US,D,20210816,000000,9.86,9.86,9.86,9.86,200,0
MITAU.US,D,20210817,000000,9.86,9.98,9.83,9.96,28900,0
MITAU.US,D,20210818,000000,9.95,9.95,9.89,9.9,23793,0
MITAU.US,D,20210819,000000,9.91,9.93,9.9,9.93,8632,0
MITAU.US,D,20210820,000000,9.8578,9.93,9.8578,9.92,1618,0
MITAU.US,D,20210901,000000,9.94,9.94,9.94,9.94,1320,0
