<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFTAW.US,D,20211005,000000,0.81,0.81,0.54,0.68,56678,0
PFTAW.US,D,20211006,000000,0.6501,0.66,0.65,0.66,7974,0
PFTAW.US,D,20211007,000000,0.68,0.75,0.68,0.75,615,0
PFTAW.US,D,20211012,000000,0.7,0.75,0.6999,0.73,10654,0
PFTAW.US,D,20211013,000000,0.748,0.8006,0.7461,0.8001,8590,0
PFTAW.US,D,20211014,000000,0.7101,0.848,0.71,0.75,20774,0
PFTAW.US,D,20211015,000000,0.75,0.75,0.75,0.75,3650,0
PFTAW.US,D,20211018,000000,0.76,0.76,0.76,0.76,601,0
PFTAW.US,D,20211019,000000,0.76,0.76,0.76,0.76,3299,0
PFTAW.US,D,20211020,000000,0.76,0.76,0.76,0.76,1400,0
PFTAW.US,D,20211025,000000,0.79,0.9,0.79,0.8,6310,0
PFTAW.US,D,20211026,000000,0.81,0.81,0.81,0.81,22123,0
PFTAW.US,D,20211029,000000,0.8,0.9966,0.8,0.9966,827,0
PFTAW.US,D,20211103,000000,1.05,1.05,0.9813,0.9813,1391,0
PFTAW.US,D,20211104,000000,1.01,1.01,0.9133,0.9133,2212,0
PFTAW.US,D,20211105,000000,0.97,0.97,0.97,0.97,100,0
PFTAW.US,D,20211108,000000,0.98,0.98,0.853,0.853,19778,0
PFTAW.US,D,20211109,000000,0.8501,0.8999,0.8501,0.87,1500,0
PFTAW.US,D,20211110,000000,0.8511,0.8511,0.8511,0.8511,162,0
PFTAW.US,D,20211111,000000,0.8501,0.86,0.85,0.86,23092,0
PFTAW.US,D,20211112,000000,0.86,0.9,0.84,0.89,32744,0
PFTAW.US,D,20211118,000000,0.95,0.95,0.85,0.85,1800,0
PFTAW.US,D,20211119,000000,0.88,0.88,0.811,0.845,10200,0
PFTAW.US,D,20211122,000000,0.7901,0.81,0.79,0.79,16300,0
PFTAW.US,D,20211123,000000,0.9058,0.9058,0.76,0.76,16157,0
PFTAW.US,D,20211124,000000,0.75,0.8,0.75,0.8,300,0
PFTAW.US,D,20211129,000000,0.799899,0.799899,0.7498,0.7799,57104,0
PFTAW.US,D,20211201,000000,0.77,0.77,0.6599,0.6599,7464,0
PFTAW.US,D,20211202,000000,0.6502,0.7072,0.5931,0.7072,4292,0
PFTAW.US,D,20211203,000000,0.7073,0.7073,0.7,0.7,1999,0
PFTAW.US,D,20211206,000000,0.7,0.7002,0.69,0.6995,4220,0
PFTAW.US,D,20211207,000000,0.7,0.715,0.6201,0.7098,3759,0
PFTAW.US,D,20211208,000000,0.75,0.77,0.75,0.75,1901,0
PFTAW.US,D,20211209,000000,0.76,0.77,0.76,0.77,425,0
PFTAW.US,D,20211210,000000,0.74,0.74,0.74,0.74,1000,0
PFTAW.US,D,20211214,000000,0.7299,0.7399,0.6843,0.6902,24362,0
PFTAW.US,D,20211215,000000,0.6999,0.6999,0.65,0.65,3600,0
PFTAW.US,D,20211216,000000,0.65,0.65,0.65,0.65,500,0
PFTAW.US,D,20211220,000000,0.65,0.65,0.65,0.65,1622,0
PFTAW.US,D,20211223,000000,0.65,0.65,0.65,0.65,2000,0
PFTAW.US,D,20211227,000000,0.6301,0.6657,0.61,0.6657,15566,0
PFTAW.US,D,20211230,000000,0.6499,0.6499,0.62,0.62,1200,0
PFTAW.US,D,20211231,000000,0.62,0.6499,0.62,0.649799,1000,0
PFTAW.US,D,20220103,000000,0.6399,0.65,0.6399,0.65,2121,0
PFTAW.US,D,20220105,000000,0.6501,0.6501,0.6501,0.6501,2400,0
PFTAW.US,D,20220106,000000,0.6703,0.6703,0.6703,0.6703,100,0
PFTAW.US,D,20220107,000000,0.6599,0.66,0.6599,0.6599,2900,0
PFTAW.US,D,20220110,000000,0.6596,0.6596,0.6421,0.6421,1100,0
PFTAW.US,D,20220111,000000,0.63995,0.6598,0.6399,0.64,2300,0
PFTAW.US,D,20220113,000000,0.6499,0.66,0.63189,0.66,3118,0
PFTAW.US,D,20220114,000000,0.6385,0.64,0.6385,0.6385,500,0
PFTAW.US,D,20220118,000000,0.6,0.6,0.6,0.6,1000,0
PFTAW.US,D,20220120,000000,0.5901,0.5901,0.5701,0.5701,5000,0
PFTAW.US,D,20220124,000000,0.5402,0.5402,0.51,0.5325,24201,0
PFTAW.US,D,20220126,000000,0.5,0.563,0.5,0.52995,532900,0
PFTAW.US,D,20220201,000000,0.5823,0.5851,0.5,0.5,71218,0
PFTAW.US,D,20220202,000000,0.55,0.55,0.55,0.55,200,0
PFTAW.US,D,20220204,000000,0.510101,0.52,0.51,0.514748,6900,0
PFTAW.US,D,20220207,000000,0.52,0.6,0.5,0.5,36490,0
PFTAW.US,D,20220209,000000,0.5,0.553933,0.5,0.553933,1576,0
PFTAW.US,D,20220210,000000,0.5,0.51,0.5,0.5,8798,0
PFTAW.US,D,20220215,000000,0.5,0.5,0.4999,0.5,5475,0
PFTAW.US,D,20220217,000000,0.5,0.5,0.5,0.5,300,0
PFTAW.US,D,20220218,000000,0.5,0.5,0.5,0.5,200,0
PFTAW.US,D,20220224,000000,0.51,0.51,0.493801,0.493801,5966,0
PFTAW.US,D,20220228,000000,0.500101,0.500999,0.5,0.500999,13293,0
PFTAW.US,D,20220301,000000,0.5,0.5,0.4875,0.4988,104394,0
PFTAW.US,D,20220303,000000,0.4988,0.4988,0.4988,0.4988,441,0
PFTAW.US,D,20220307,000000,0.4987,0.49948,0.49,0.4981,5337,0
PFTAW.US,D,20220325,000000,0.4206,0.4206,0.325,0.3874,9540,0
PFTAW.US,D,20220328,000000,0.5562,0.6223,0.338978,0.3765,4568,0
PFTAW.US,D,20220329,000000,0.5557,0.5557,0.34,0.41,9735,0
PFTAW.US,D,20220330,000000,0.6221,0.6221,0.4,0.44,2308,0
PFTAW.US,D,20220331,000000,0.507,0.507,0.469,0.469,768,0
PFTAW.US,D,20220401,000000,0.4582,0.4583,0.4427,0.4583,401,0
PFTAW.US,D,20220404,000000,0.5363,0.5364,0.4836,0.4836,703,0
PFTAW.US,D,20220406,000000,0.41,0.4599,0.3897,0.4599,15334,0
PFTAW.US,D,20220407,000000,0.4777,0.4812,0.3761,0.4812,5303,0
PFTAW.US,D,20220408,000000,0.4582,0.4582,0.41,0.41,2403,0
PFTAW.US,D,20220411,000000,0.3589,0.5655,0.3402,0.43,6291,0
PFTAW.US,D,20220412,000000,0.5655,0.5655,0.5315,0.5315,604,0
PFTAW.US,D,20220413,000000,0.4204,0.4598,0.4204,0.44,2117,0
PFTAW.US,D,20220414,000000,0.57,0.57,0.4,0.4172,1711,0
PFTAW.US,D,20220418,000000,0.5167,0.5167,0.3601,0.4468,515950,0
PFTAW.US,D,20220420,000000,0.3963,0.4013,0.363,0.363,3344,0
PFTAW.US,D,20220421,000000,0.395,0.4499,0.35,0.424,10020,0
PFTAW.US,D,20220422,000000,0.4499,0.4499,0.35,0.4499,3013,0
PFTAW.US,D,20220425,000000,0.44,0.44,0.4091,0.4208,1405,0
PFTAW.US,D,20220426,000000,0.43,0.43,0.4,0.4073,3717,0
PFTAW.US,D,20220429,000000,0.39,0.39,0.3457,0.3761,1303,0
PFTAW.US,D,20220502,000000,0.36,0.44,0.35,0.39,4096,0
PFTAW.US,D,20220504,000000,0.335,0.3613,0.3175,0.3613,6249,0
PFTAW.US,D,20220505,000000,0.3827,0.3827,0.3827,0.3827,100,0
PFTAW.US,D,20220506,000000,0.31,0.3623,0.31,0.3623,1604,0
PFTAW.US,D,20220510,000000,0.3001,0.35,0.2867,0.2867,2435,0
PFTAW.US,D,20220513,000000,0.3199,0.3199,0.2502,0.2639,9922,0
PFTAW.US,D,20220516,000000,0.2462,0.45,0.21,0.2735,15685,0
PFTAW.US,D,20220517,000000,0.3818,0.49,0.23,0.2715,24940,0
PFTAW.US,D,20220518,000000,0.34,0.34,0.2,0.2799,188512,0
