<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCAFR.US,D,20210730,000000,0.46,0.48,0.45,0.45,176476,0
MCAFR.US,D,20210802,000000,0.46,0.5,0.44,0.44,25816,0
MCAFR.US,D,20210803,000000,0.4501,0.4638,0.4101,0.4101,355509,0
MCAFR.US,D,20210804,000000,0.42,0.42,0.3602,0.4,345798,0
MCAFR.US,D,20210805,000000,0.4,0.415,0.39,0.3901,60988,0
MCAFR.US,D,20210806,000000,0.392,0.392,0.382,0.3822,43100,0
MCAFR.US,D,20210809,000000,0.3821,0.3822,0.3821,0.3822,4479,0
MCAFR.US,D,20210810,000000,0.385101,0.39,0.385,0.3899,2955,0
MCAFR.US,D,20210811,000000,0.39,0.39,0.3894,0.39,25000,0
MCAFR.US,D,20210812,000000,0.39,0.39,0.3838,0.3838,3997,0
MCAFR.US,D,20210813,000000,0.405,0.405,0.380198,0.380201,21850,0
MCAFR.US,D,20210816,000000,0.4,0.4,0.4,0.4,2200,0
MCAFR.US,D,20210817,000000,0.4,0.4001,0.37,0.39,174577,0
MCAFR.US,D,20210818,000000,0.3801,0.3809,0.38,0.3809,20300,0
MCAFR.US,D,20210819,000000,0.38,0.3801,0.3666,0.3801,148063,0
MCAFR.US,D,20210820,000000,0.38,0.399,0.38,0.398,5200,0
MCAFR.US,D,20210823,000000,0.38,0.39,0.38,0.39,27220,0
MCAFR.US,D,20210824,000000,0.38,0.3875,0.38,0.3801,15590,0
MCAFR.US,D,20210826,000000,0.39,0.39,0.39,0.39,2070,0
MCAFR.US,D,20210827,000000,0.38,0.38,0.375,0.38,35536,0
MCAFR.US,D,20210830,000000,0.3801,0.3801,0.38,0.38,16000,0
MCAFR.US,D,20210831,000000,0.39,0.39,0.380101,0.385,10950,0
MCAFR.US,D,20210902,000000,0.39,0.4,0.39,0.39,6669,0
MCAFR.US,D,20210903,000000,0.3908,0.3908,0.3908,0.3908,400,0
MCAFR.US,D,20210909,000000,0.4,0.4025,0.4,0.4,109659,0
MCAFR.US,D,20210910,000000,0.402,0.406,0.402,0.402,23558,0
MCAFR.US,D,20210913,000000,0.4,0.4,0.3984,0.3996,25000,0
MCAFR.US,D,20210914,000000,0.38,0.38,0.38,0.38,200,0
MCAFR.US,D,20210916,000000,0.41,0.41,0.41,0.41,3150,0
